statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS147-1-structure-a,Evidence of arrangements for a named senior manager to have responsibility for making employee health and wellbeing a core organisational priority.,NA,NA,"Data can be collected from information recorded locally, for example, job descriptions, minutes of senior management meetings and organisational policies related to health and wellbeing. The Chartered Institute of Personnel and Development's annual health and wellbeing survey collects data on whether organisations have a formal standalone wellbeing strategy as part of their wider organisation strategy and whether employee health is on senior leaders' agendas."
1,structure,b,QS147-1-structure-b,Evidence of arrangements for implementing an employee health and wellbeing strategy.,NA,NA,"Data can be collected from information recorded locally, for example, an employee health and wellbeing strategy with metrics and details of the progress made. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey collects data on the focus of wellbeing activities, budgets allocated for wellbeing and employee wellbeing benefits."
1,structure,c,QS147-1-structure-c,Evidence of arrangements to incorporate health and wellbeing in all relevant policies and communications.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally, for example, minutes of management strategy, planning and board meetings and communications with staff."
1,outcome,a,QS147-1-outcome-a,Employee sickness absence rates.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, HR management systems. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey collects data on employee short-term and long-term absence. The Office of National Statistics reports on sickness rates in the UK labour market, including days lost and reasons for absence."
1,outcome,b,QS147-1-outcome-b,Employee retention rates.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, HR management systems. The Office of National Statistics Labour Force Survey contains the question 'When did you start in your current employment?'"
1,outcome,c,QS147-1-outcome-c,Employee satisfaction rates.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, staff survey results such as the NHS staff survey. The Chartered Institute of Personnel and Development's annual UK working lives survey collects data on various aspects of job quality."
2,structure,a,QS147-2-structure-a,Evidence that supporting employee health and wellbeing is included in any documents outlining the skills and knowledge that line managers need.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally, for example, job descriptions and performance reviews."
2,process,a,QS147-2-process-a,Proportion of line managers whose job descriptions include supporting employee health and wellbeing.,The number in the denominator whose job description includes supporting employee health and wellbeing.,The number of line managers in the organisation.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally, for example, job descriptions."
2,process,b,QS147-2-process-b,Proportion of line managers whose performance reviews include an evaluation of how they support employee health and wellbeing.,The number in the denominator whose performance reviews include an evaluation of how they support employee health and wellbeing.,The number of line managers in the organisation.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally, for example, appraisal documentation."
2,outcome,a,QS147-2-outcome-a,Employee sickness absence rates.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, HR management systems. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey collects data on employee short-term and long-term absence. The Office of National Statistics reports on sickness rates in the UK labour market, including days lost and reasons for absence."
2,outcome,b,QS147-2-outcome-b,Employee retention rates.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, HR management systems. The Office of National Statistics Labour Force Survey contains the question 'When did you start in your current employment?'"
3,structure,a,QS147-3-structure-a,Evidence of arrangements to ensure that line managers are given training in how to recognise and support employees when they are experiencing stress.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally, for example, training records and copies of training documentation."
3,process,a,QS147-3-process-a,Proportion of line managers who are trained to use a stress risk assessment to identify and respond to sources of stress.,The number in the denominator who are trained to use a stress risk assessment to identify and respond to sources of stress.,The number of line managers in the organisation.,"Data can be collected from information recorded locally, for example, training records and copies of training documentation. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey collects data on risk assessments or stress audits being carried out."
3,process,b,QS147-3-process-b,Proportion of line managers who are trained to recognise the causes of stress.,The number in the denominator who are trained to recognise the causes of stress.,The number of line managers in the organisation.,"Data can be collected from information recorded locally, for example, training records and copies of training documentation. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey includes details of organisations that have trained line managers to identify and manage stress in their team."
3,process,c,QS147-3-process-c,Proportion of line managers who receive information on sources of support for stress both inside and outside the workplace.,The number in the denominator who receive information on sources of support for stress both inside and outside the workplace.,The number of line managers in the organisation.,"Data can be collected from information recorded locally, for example, from induction and training records and copies of training documentation. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey collects data on the proportion of organisations that have managers who are confident to signpost staff to expert sources of help if needed."
3,outcome,a,QS147-3-outcome-a,Identification of stress in employees.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, records of referrals and support offered to employees experiencing stress. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey collects data on methods used to reduce stress (including employee assistance programmes)."
3,outcome,b,QS147-3-outcome-b,Support for employees experiencing stress.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, staff survey results, such as the NHS staff survey. The Chartered Institute of Personnel and Development's annual health and wellbeing at work survey includes details of organisations that have introduced flexible working options, changes in work organisation (such as job role adaptations) and training provided to build personal resilience."
4,structure,a,QS147-4-structure-a,Evidence of arrangements for staff engagement forums that enable employees to contribute to decision-making.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally, for example, dates of staff engagement forums, communications with staff encouraging attendance, staff engagement forum agendas and minutes (including contributions made by staff)."
4,structure,b,QS147-4-structure-b,Evidence of arrangements for feedback to employees on actions taken as a result of their contribution.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally, for example, staff engagement forum and team meeting minutes, organisational newsletters, posters or emails."
4,outcome,a,QS147-4-outcome-a,Employee satisfaction rates.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, staff survey results such as the NHS staff survey. The Chartered Institute of Personnel and Development's annual UK working lives survey collects data on various aspects of job quality."
4,outcome,b,QS147-4-outcome-b,Employee engagement.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, numbers attending staff engagement forums and staff survey results such as the NHS staff survey."
4,outcome,c,QS147-4-outcome-c,Employee retention rates.,To be determined locally,To be determined locally,"Data can be collected from information recorded locally, for example, HR management systems. The Office of National Statistics Labour Force Survey contains the question 'When did you start in your current employment?'"
