statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS128-1-structure-a,Evidence of local arrangements to ensure that parents of children under 5 have a discussion during each of the 5 key contacts about factors that may pose a risk to their child's social and emotional wellbeing.,NA,NA
1,process,a,QS128-1-process-a,Proportion of parents and carers who have a discussion at the antenatal health visitor appointment about factors that may pose a risk to their child's social and emotional wellbeing.,The number in the denominator who have a discussion about factors that may pose a risk to their child's social and emotional wellbeing.,The number of parents and carers who are eligible to attend the antenatal health visitor appointment.
1,process,b,QS128-1-process-b,Proportion of parents and carers who have a discussion at the new baby health visitor appointment about factors that may pose a risk to their child's social and emotional wellbeing.,The number in the denominator who have a discussion about factors that may pose a risk to their child's social and emotional wellbeing.,The number of parents and carers who are eligible to attend the new baby health visitor appointment.
1,process,c,QS128-1-process-c,To 8‑week health visitor appointment about factors that may pose a risk to their child's social and emotional wellbeing.,The number in the denominator who have a discussion about factors that may pose a risk to their child's social and emotional wellbeing.,Week health visitor appointment.
1,process,d,QS128-1-process-d,To 12‑month developmental review about factors that may pose a risk to their child's social and emotional wellbeing.,The number in the denominator who have a discussion about factors that may pose a risk to their child's social and emotional wellbeing.,Month developmental review.
1,process,e,QS128-1-process-e,Proportion of parents and carers who have a discussion at the 2 to 2½ year integrated review about factors that may pose a risk to their child's social and emotional wellbeing.,The number in the denominator who have a discussion about factors that may pose a risk to their child's social and emotional wellbeing.,The number of parents and carers who are eligible to attend the 2 to 2½ year integrated review.
1,outcome,a,QS128-1-outcome-a,Behaviour and developmental difficulties.,NA,NA
1,outcome,b,QS128-1-outcome-b,Harm and other poor mental health outcomes later in childhood.,NA,NA
2,structure,a,QS128-2-structure-a,Evidence of local arrangements to ensure that children's speech and language skills are assessed at their 2 to 2½ year integrated review.,NA,NA
2,process,a,QS128-2-process-a,Proportion of children who have the 2 to 2½ year integrated review.,The number in the denominator who have the 2 to 2½ year integrated review.,The number of children aged 2 to 2½.
2,process,b,QS128-2-process-b,Proportion of children having the 2 to 2 ½ year integrated review who have their speech and language skills assessed.,The number in the denominator who have their speech and language skills assessed.,The number of children who have the 2 to 2½ year integrated review.
2,outcome,a,QS128-2-outcome-a,Speech and language skills in children under 5.,NA,NA
2,outcome,b,QS128-2-outcome-b,School readiness of children under 5.,NA,NA
2,outcome,c,QS128-2-outcome-c,"Social, emotional and behavioural difficulties.",NA,NA
2,outcome,d,QS128-2-outcome-d,Mental health difficulties.,NA,NA
