statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS53-1-structure-a,"Evidence of local arrangements for people with a suspected anxiety disorder to receive an assessment that identifies whether they have a specific anxiety disorder, the severity of symptoms and associated functional impairment.",NA,NA,Local data collection.
1,structure,b,QS53-1-structure-b,Evidence of local arrangements to ensure that healthcare professionals receive training to perform assessments of anxiety disorders.,NA,NA,Local data collection.
1,process,a,QS53-1-process-a,"Proportion of people with a suspected anxiety disorder who receive an assessment that identifies whether they have a specific anxiety disorder, the severity of symptoms and associated functional impairment.","The number of people in the denominator who receive an assessment that identifies whether they have a specific anxiety disorder, the severity of symptoms and associated functional impairment.",The number of people with a suspected anxiety disorder.,Local data collection.
2,structure,a,QS53-2-structure-a,Evidence of local arrangements to ensure that people with an anxiety disorder are offered evidence-based psychological interventions.,NA,NA,Local data collection.
2,process,a,QS53-2-process-a,Proportion of people with an anxiety disorder who receive evidence-based psychological interventions.,The number of people in the denominator who receive evidence-based psychological interventions.,The number of people with an anxiety disorder.,Local data collection. National data are collected in the Improving Access to Psychological Therapies (IAPT) Data Set and National Audit of Psychological Therapies for Anxiety and Depression (standard 1b).
3,structure,a,QS53-3-structure-a,Evidence of local monitoring arrangements to ensure that people with an anxiety disorder are not prescribed a benzodiazepine or an antipsychotic to treat their disorder unless specifically indicated.,NA,NA,Local data collection.
3,process,a,QS53-3-process-a,Proportion of people who have an anxiety disorder and are prescribed a benzodiazepine that is not specifically indicated.,The number of people in the denominator for whom a benzodiazepine is not specifically indicated.,The number of people with an anxiety disorder who are prescribed a benzodiazepine.,NA
3,process,b,QS53-3-process-b,Proportion of people who have an anxiety disorder and are prescribed an antipsychotic that is not specifically indicated.,The number of people in the denominator for whom an antipsychotic is not specifically indicated.,The number of people with an anxiety disorder who are prescribed an antipsychotic.,Local data collection.
3,outcome,a,QS53-3-outcome-a,Rates of prescribing benzodiazepines.,To be determined locally,To be determined locally,NA
3,outcome,b,QS53-3-outcome-b,Rates of prescribing antipsychotics.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS53-4-structure-a,Evidence of local arrangements to monitor response to treatment for people being treated for an anxiety disorder at each treatment session and use the findings to adjust delivery of interventions.,NA,NA,Local data collection.
4,process,a,QS53-4-process-a,Proportion of people receiving treatment for an anxiety disorder who have their response to treatment recorded at initial contact and each subsequent treatment session.,The number of people in the denominator whose response to treatment is recorded at initial contact and each subsequent treatment session.,The number of people receiving treatment for an anxiety disorder.,"Local data collection. Routine outcome monitoring is part of the Improving Access to Psychological Therapies (IAPT) Data Set, the Children and Young People's IAPT Programme and the National Audit of Psychological Therapies for Anxiety and Depression (standard 9)."
4,outcome,a,QS53-4-outcome-a,Evidence from feedback that people receiving treatment for an anxiety disorder are aware of their progress.,To be determined locally,To be determined locally,Local data collection.
