statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS87-1-structure-a,Evidence of local arrangements to ensure that adults aged 45 or over are diagnosed with osteoarthritis clinically without investigations if they have activity‑related joint pain and any morning joint stiffness lasts no longer than 30 minutes.,NA,NA,Local data collection.
1,process,a,QS87-1-process-a,Proportion of adults aged 45 years or over who have activity‑related joint pain and in whom any morning joint stiffness lasts no longer than 30 minutes who are diagnosed with osteoarthritis clinically without investigations.,The number in the denominator who are diagnosed with osteoarthritis clinically without investigations.,The number of adults aged 45 years or over who have activity‑related joint pain and in whom any morning joint stiffness lasts no longer than 30 minutes who are diagnosed with osteoarthritis.,Local data collection.
2,structure,a,QS87-2-structure-a,"Evidence of local arrangements to ensure that adults newly diagnosed with osteoarthritis have an assessment that includes pain, impact on daily activities and quality of life.",NA,NA,Local data collection.
2,process,a,QS87-2-process-a,"Proportion of adults newly diagnosed with osteoarthritis who have an assessment that includes pain, impact on daily activities and quality of life.","The number in the denominator who have an assessment that includes pain, impact on daily activities and quality of life.",The number of adults newly diagnosed with osteoarthritis.,Local data collection. Data on assessment of pain and function are included in the Keele Primary Care Consortium Osteoarthritis (OA) e-template for primary care consultations (endorsed by NICE).
2,outcome,a,QS87-2-outcome-a,Patient satisfaction with assessment of their osteoarthritis.,To be determined locally,To be determined locally,Local data collection.
3,structure,a,QS87-3-structure-a,Evidence of local arrangements to ensure that adults with osteoarthritis participate in developing a self‑management plan that directs them to any support they may need.,NA,NA,Local data collection.
3,process,a,QS87-3-process-a,Proportion of adults with osteoarthritis with a record of having received written information about osteoarthritis and its management.,The number in the denominator with a record of having received written information about osteoarthritis and its management.,The number of adults newly diagnosed with osteoarthritis.,Local data collection. Data on the provision of information about osteoarthritis are included in the Keele Primary Care Consortium Osteoarthritis (OA) e-template for primary care consultations (endorsed by NICE).
3,process,b,QS87-3-process-b,Proportion of adults diagnosed with osteoarthritis who participate in developing a self‑management plan.,The number in the denominator who participate in developing a self‑management plan.,The number of adults newly diagnosed with osteoarthritis.,Local data collection. Data on self‑management plans are included in the 'care.data' extract for the Health and Social Care Information Centre (not specific to people with osteoarthritis).
3,process,c,QS87-3-process-c,Proportion of adults with osteoarthritis who participate in reviewing a self‑management plan.,The number in the denominator who participate in reviewing a self‑management plan.,The number of adults with osteoarthritis attending for a scheduled review of their care.,Local data collection.
3,outcome,a,QS87-3-outcome-a,Adults with osteoarthritis are satisfied that they have the knowledge and confidence they need to self‑manage their condition.,To be determined locally,To be determined locally,Local data collection.
