statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS38-1-structure-a,Evidence of local arrangements to ensure that people with acute upper gastrointestinal bleeding receive a risk assessment using a validated risk score.,NA,NA,Local data collection.
1,process,a,QS38-1-process-a,Proportion of people with acute upper gastrointestinal bleeding who receive a risk assessment using a validated risk score.,The number of people in the denominator who receive a risk assessment using a validated risk score.,The number of people with acute upper gastrointestinal bleeding.,"Local data collection. Contained in NICE audit support for Acute upper gastrointestinal bleeding: initial management (NICE clinical guideline 141). The British Society of Gastroenterology's UK comparative audit of upper gastrointestinal bleeding and the use of blood (2007) asks, 'Does your hospital routinely calculate and document a risk score (for example, Rockall or Blatchford scores) for patients with suspected upper GI bleeding?'"
2,structure,a,QS38-2-structure-a,Evidence of local arrangements to ensure that people with severe acute upper gastrointestinal bleeding who are haemodynamically unstable are given an endoscopy within 2 hours of optimal resuscitation.,NA,NA,Local data collection.
2,process,a,QS38-2-process-a,Proportion of people with severe acute upper gastrointestinal bleeding who are haemodynamically unstable who receive endoscopy within 2 hours of optimal resuscitation.,The number of people in the denominator who receive endoscopy within 2 hours of optimal resuscitation.,The number of people with severe acute upper gastrointestinal bleeding who are haemodynamically unstable.,Local data collection. Contained in NICE audit support for Acute upper gastrointestinal bleeding: initial management (NICE clinical guideline 141).
3,structure,a,QS38-3-structure-a,Evidence of local arrangements to ensure that people admitted to hospital with acute upper gastrointestinal bleeding who are haemodynamically stable are given an endoscopy within 24 hours of admission.,NA,NA,Local data collection.
3,process,a,QS38-3-process-a,Proportion of people admitted to hospital with acute upper gastrointestinal bleeding who are haemodynamically stable who receive endoscopy within 24 hours of admission.,The number of people in the denominator who receive endoscopy within 24 hours of admission.,The number of people admitted to hospital with acute upper gastrointestinal bleeding who are haemodynamically stable.,Local data collection. Contained in NICE audit support for Acute upper gastrointestinal bleeding: initial management (NICE clinical guideline 141).
3,outcome,a,QS38-3-outcome-a,Length of hospital stay for people with acute upper gastrointestinal bleeding who are haemodynamically stable.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS38-4-structure-a,Evidence of local arrangements to ensure that people with non-variceal acute upper gastrointestinal bleeding and stigmata of recent haemorrhage are offered endoscopic treatments (combination or a mechanical method).,NA,NA,Local data collection.
4,process,a,QS38-4-process-a,Proportion of people with non-variceal acute upper gastrointestinal bleeding and stigmata of recent haemorrhage who receive endoscopic treatments (combination or a mechanical method).,The number of people in the denominator who receive endoscopic treatments (combination or a mechanical method).,The number of people with non-variceal acute upper gastrointestinal bleeding and stigmata of recent haemorrhage.,Local data collection. Contained in NICE audit support for Acute upper gastrointestinal bleeding: non-variceal (NICE clinical guideline 141). The British Society of Gastroenterology's UK comparative audit of upper gastrointestinal bleeding and the use of blood (2007) asks 'Were any therapeutic endoscopic procedures undertaken?'
4,outcome,a,QS38-4-outcome-a,Proportion of people with non-variceal acute upper gastrointestinal bleeding and stigmata of recent haemorrhage who have uncontrolled bleeding or re-bleeding within 48 hours.,To be determined locally,To be determined locally,Local data collection.
