statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS32-1-structure-a,Evidence of local arrangements to ensure that pregnant women who have had 1 or more previous caesarean births have a documented discussion of the option to plan a vaginal birth.,NA,NA,Local data collection.
1,process,a,QS32-1-process-a,The proportion of pregnant women who have had 1 or more previous caesarean births who have a documented discussion of the option to plan a vaginal birth.,The number of women in the denominator who have a documented discussion of the option to plan a vaginal birth.,The number of pregnant women who have had 1 or more previous caesarean births.,Local data collection.
1,outcome,a,QS32-1-outcome-a,Women's satisfaction that they were supported in their choice for planned birthing option.,To be determined locally,To be determined locally,Local data collection.
1,outcome,b,QS32-1-outcome-b,Rates of delivery modes for women who have had previous caesarean births.,To be determined locally,To be determined locally,The NHS Digital Maternity services secondary uses dataset collects data on delivery method and previous caesarean sections.
2,structure,a,QS32-2-structure-a,Evidence of local arrangements to ensure that pregnant women who request a caesarean birth (when there is no medical indication) have a documented discussion with members of the maternity team about the overall benefits and risks of a caesarean birth compared with vaginal birth.,NA,NA,Local data collection.
2,process,a,QS32-2-process-a,The proportion of pregnant women who request a caesarean birth (when there is no medical indication) who have a documented discussion with members of the maternity team about the overall benefits and risks of a caesarean birth compared with vaginal birth.,The number of women in the denominator who have a documented discussion with at least 1 member of the maternity team about the overall benefits and risks of a caesarean birth compared with vaginal birth.,The number of pregnant women who request a caesarean birth when there is no medical indication.,Local data collection.
2,outcome,a,QS32-2-outcome-a,Women's satisfaction with the process of discussing options with the maternity team.,To be determined locally,To be determined locally,Local data collection.
3,structure,a,QS32-3-structure-a,Evidence of local arrangements to ensure that pregnant women who request a caesarean birth because of anxiety about childbirth are offered a referral to a healthcare professional with expertise in perinatal mental health support.,NA,NA,Local data collection.
3,process,a,QS32-3-process-a,The proportion of pregnant women who request a caesarean birth because of anxiety about childbirth who are referred to a healthcare professional with expertise in perinatal mental health support.,The number of women in the denominator who are referred to a healthcare professional with expertise in perinatal mental health support.,The number of pregnant women who request a caesarean birth because of anxiety about childbirth.,Local data collection.
3,outcome,a,QS32-3-outcome-a,Women's satisfaction with the support provided for anxiety about childbirth.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS32-4-structure-a,Evidence of local arrangements to ensure that pregnant women who may require a planned caesarean birth have consultant involvement in decision making.,NA,NA,Local data collection.
4,process,a,QS32-4-process-a,The proportion of pregnant women who may require a planned caesarean birth who have consultant involvement in decision making.,The number of women in the denominator who have a consultant involved in decision making.,The number of pregnant women who may require a planned caesarean birth.,Local data collection.
4,outcome,a,QS32-4-outcome-a,Women's satisfaction with the decision-making process.,To be determined locally,To be determined locally,Local data collection.
5,structure,a,QS32-5-structure-a,"Evidence of local arrangements to ensure that pregnant women having a planned caesarean birth have the procedure at or after 39 weeks, unless an earlier delivery is necessary because of maternal or fetal indications.",NA,NA,Local data collection.
5,process,a,QS32-5-process-a,The proportion of pregnant women having a planned caesarean birth and not needing an earlier delivery because of maternal and fetal indications who have the procedure carried out at or after 39 weeks.,The number of women in the denominator who have the caesarean birth carried out at or after 39 weeks.,The number of pregnant women having a planned caesarean birth who do not need an earlier delivery because of maternal or fetal indications.,The NHS Digital Maternity services secondary uses data set collects data on delivery method and gestational length at birth.
6,structure,a,QS32-6-structure-a,Evidence of local arrangements to ensure that women being considered for an unplanned caesarean birth have a consultant obstetrician involved in the decision.,NA,NA,Local data collection.
6,process,a,QS32-6-process-a,The proportion of women being considered for an unplanned caesarean birth who have a consultant obstetrician involved in the decision.,The number of women in the denominator who have a consultant obstetrician involved in the decision.,The number of women being considered for an unplanned caesarean birth.,Local data collection.
6,outcome,a,QS32-6-outcome-a,Unplanned caesarean birth rates.,To be determined locally,To be determined locally,The NHS Digital Maternity services secondary uses data set collects data on delivery method.
6,outcome,b,QS32-6-outcome-b,Women's satisfaction with the decision-making process.,To be determined locally,To be determined locally,Local data collection.
7,error,NA,QS32-7-error,NA,NA,NA,NA
8,structure,a,QS32-8-structure-a,Evidence of local arrangements to ensure that women who have had an emergency or unplanned caesarean birth are offered a discussion and are given written information about the reasons for their caesarean birth and birth options for future pregnancies.,NA,NA,Local data collection.
8,process,a,QS32-8-process-a,The proportion of women who have had an emergency or unplanned caesarean birth who have had a discussion and were given written information about the reasons for their caesarean birth and birth options for future pregnancies.,The number of women in the denominator who have had a discussion and were given written information about the reasons for their caesarean birth and birth options for future pregnancies.,The number of women who have had an emergency or unplanned caesarean birth.,Local data collection.
8,outcome,a,QS32-8-outcome-a,Women's satisfaction with post-caesarean birth discussion and information.,To be determined locally,To be determined locally,Local data collection.
9,structure,a,QS32-9-structure-a,Evidence of local arrangements to ensure that women who have had a caesarean birth are monitored for immediate postoperative complications.,NA,NA,Local data collection.
9,process,a,QS32-9-process-a,The proportion of women who have had a caesarean birth who were monitored for immediate postoperative complications.,The number of women in the denominator who are monitored for immediate postoperative complications.,The number of women who have a caesarean birth.,Local data collection.
9,outcome,a,QS32-9-outcome-a,Rates of complications in women who have had a caesarean birth.,To be determined locally,To be determined locally,Local data collection.
