statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS76-1-structure-a,Evidence of local arrangements to ensure that people who are at risk of acute kidney injury are made aware of the potential causes.,NA,NA,Local data collection.
1,process,a,QS76-1-process-a,Proportion of people who are at risk of acute kidney injury who are made aware of the potential causes.,The number in the denominator who are made aware of the potential causes of acute kidney injury in a documented discussion with their healthcare professional.,The number of people who are at risk of acute kidney injury.,Local data collection.
1,outcome,a,QS76-1-outcome-a,Incidence of acute kidney injury.,To be determined locally,To be determined locally,Local data collection.
2,structure,a,QS76-2-structure-a,Evidence of local arrangements to ensure that people who present with an illness with no clear acute component and 1 or more indications or risk factors for acute kidney injury are assessed for acute kidney injury.,NA,NA,Local data collection.
2,process,a,QS76-2-process-a,Proportion of presentations of illness with no clear acute component along with 1 or more indications or risk factors for acute kidney injury where an assessment for acute kidney injury is done.,The number in the denominator where an assessment for acute kidney injury is done.,The number of presentations of illness with no clear acute component along with 1 or more indications or risk factors for acute kidney injury.,Local data collection.
2,outcome,a,QS76-2-outcome-a,Incidence of acute kidney injury.,To be determined locally,To be determined locally,Local data collection.
3,structure,a,QS76-3-structure-a,Evidence of local arrangements to ensure that people in hospital who are at risk of acute kidney injury have their serum creatinine level and urine output monitored.,NA,NA,Local data collection.
3,process,a,QS76-3-process-a,Proportion of admissions to hospital of people who are at risk of acute kidney injury where serum creatinine level and urine output are monitored.,The number in the denominator where serum creatinine level and urine output are monitored.,The number of admissions to hospital of people who are at risk of acute kidney injury.,Local data collection.
3,outcome,a,QS76-3-outcome-a,Incidence of acute kidney injury.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS76-4-structure-a,Evidence of local arrangements to ensure that people have a urine dipstick test performed as soon as acute kidney injury is suspected or detected.,NA,NA,Local data collection.
4,process,a,QS76-4-process-a,Proportion of presentations where a urine dipstick test is performed within 6 hours of acute kidney injury being suspected or detected.,The number in the denominator where a urine dipstick test is performed within 6 hours of acute kidney injury being suspected or detected.,The number of presentations in which acute kidney injury is suspected or detected.,Local data collection.
4,outcome,a,QS76-4-outcome-a,Preventing serious consequences resulting from not treating the causes of acute kidney injury.,To be determined locally,To be determined locally,Local data collection.
5,structure,a,QS76-5-structure-a,Evidence of local arrangements to ensure that people with acute kidney injury who are at risk of intrinsic renal disease or have stage 3 acute kidney injury or a renal transplant have the management of their condition discussed with a nephrologist as soon as possible and within 24 hours of detection.,NA,NA,Local data collection.
5,process,a,QS76-5-process-a,Proportion of presentations of people with acute kidney injury who are at risk of intrinsic renal disease or have stage 3 acute kidney injury or a renal transplant where management is discussed with a nephrologist within 24 hours of detection.,The number in the denominator where management is discussed with a nephrologist within 24 hours of detection of acute kidney injury.,The number of presentations of people with acute kidney injury who are at risk of intrinsic renal disease or have stage 3 acute kidney injury or a renal transplant.,Local data collection.
5,outcome,a,QS76-5-outcome-a,Mortality from acute kidney injury.,To be determined locally,To be determined locally,Mortality statistics from the Office for National Statistics.
5,outcome,b,QS76-5-outcome-b,Progression of acute kidney injury.,To be determined locally,To be determined locally,Local data collection.
6,structure,a,QS76-6-structure-a,Evidence of local arrangements to ensure that people with acute kidney injury who meet the criteria for renal replacement therapy are referred immediately to a nephrologist or critical care specialist and transferred according to local protocols.,NA,NA,Local data collection.
6,process,a,QS76-6-process-a,Proportion of people with acute kidney injury who meet the criteria for renal replacement therapy who are referred immediately to a nephrologist or critical care specialist.,The number in the denominator who are referred immediately to a nephrologist or critical care specialist.,The number of people with acute kidney injury who meet the criteria for renal replacement therapy.,Local data collection.
6,outcome,a,QS76-6-outcome-a,Duration of renal replacement therapy for acute kidney injury.,To be determined locally,To be determined locally,Local data collection.
6,outcome,b,QS76-6-outcome-b,Mortality from acute kidney injury.,To be determined locally,To be determined locally,Mortality statistics from the Office for National Statistics.
