statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS90-1-structure-a,Evidence of local arrangements to ensure a full clinical assessment is undertaken before a diagnosis of urinary tract infection is made in adults aged 65 years and over.,NA,NA
1,process,a,QS90-1-process-a,Proportion of adults aged 65 years and over who received a full clinical assessment before being diagnosed with a urinary tract infection.,The number in the denominator diagnosed with a urinary tract infection based on a full clinical assessment.,The number of adults aged 65 years and over diagnosed with a urinary tract infection.
1,outcome,a,QS90-1-outcome-a,Antibiotic prescription rates for urinary tract infections.,NA,NA
2,structure,a,QS90-2-structure-a,Evidence of local arrangements to ensure healthcare professionals do not use dipstick testing to diagnose urinary tract infections in adults with urinary catheters.,NA,NA
2,process,a,QS90-2-process-a,Proportion of episodes of suspected urinary tract infection in adults with urinary catheters that are investigated using dipstick testing.,The number in the denominator assessed using dipstick testing.,The number of episodes of suspected urinary tract infection in adults with urinary catheters.
3,structure,a,QS90-3-structure-a,Evidence of local arrangements to ensure that men with symptoms of an upper urinary tract infection are referred for urological investigations.,NA,NA
3,process,a,QS90-3-process-a,Proportion of episodes of suspected upper urinary tract infection in men that are referred for urological investigations.,The number in the denominator referred for urological investigations.,The number of episodes of suspected upper urinary tract infection in men.
4,structure,a,QS90-4-structure-a,Evidence of local arrangements to ensure adults with urinary tract infections who do not respond to initial antibiotic treatment have a urine culture.,NA,NA
4,process,a,QS90-4-process-a,Proportion of episodes of a urinary tract infection not responding to initial antibiotic treatment investigated with a urine culture.,The number in the denominator investigated with a urine culture.,The number of episodes of a urinary tract infection not responding to initial antibiotic treatment.
5,structure,a,QS90-5-structure-a,Evidence of local arrangements to ensure healthcare professionals do not prescribe antibiotics to treat asymptomatic bacteriuria in adults with catheters and non‑pregnant women.,NA,NA
5,structure,b,QS90-5-structure-b,Evidence of local arrangements to ensure healthcare professionals do not prescribe antibiotics to treat asymptomatic bacteriuria in adults with catheters and non‑pregnant women.,NA,NA
5,process,a,QS90-5-process-a,Proportion of episodes of asymptomatic bacteriuria in adults with catheters treated with antibiotics.,The number in the denominator treated with antibiotics.,The number of episodes of asymptomatic bacteriuria in adults with a catheter.
5,process,b,QS90-5-process-b,Proportion of episodes of asymptomatic bacteriuria in non‑pregnant women treated with antibiotics.,The number in the denominator treated with antibiotics.,The number of episodes of asymptomatic bacteriuria in non‑pregnant women.
6,structure,a,QS90-6-structure-a,Evidence of local arrangements to ensure healthcare professionals do not prescribe antibiotic prophylaxis to adults with long‑term indwelling catheters to prevent symptomatic urinary tract infection unless there is a history of recurrent or severe urinary tract infection.,NA,NA
6,process,a,QS90-6-process-a,Proportion of adults with long‑term indwelling catheters and no current symptomatic urinary tract infection and no history of recurrent or severe urinary tract infections who are being treated with antibiotic prophylaxis to prevent symptomatic urinary tract infection.,The number in the denominator who are being treated with antibiotic prophylaxis to prevent symptomatic urinary tract infection.,The number of adults with long‑term indwelling catheters and no current symptomatic urinary tract infection and no history of recurrent or severe urinary tract infection.
7,placeholder,NA,NA,NA,NA,NA
