statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS56-1-structure-a,"Evidence of local arrangements and written clinical protocols to ensure that adults at high risk of developing MSCC, and their families or carers (as appropriate), are given information that describes the symptoms of MSCC and what to do if they develop symptoms.",NA,NA,Local data collection. Department of Health Acute Oncology Measures 11‑1E‑105y (Network Information on Early Detection of MSCC) and 11‑3Y‑311 (Patient Information on Early Detection of MSCC) Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011).
1,process,a,QS56-1-process-a,"Proportion of adults identified as at high risk of developing MSCC, or their families or carers, who receive information that describes the symptoms of MSCC and what to do if they develop symptoms.",The number of adults in the denominator or their family member or carer who receive information when they are identified as at risk that describes the symptoms of MSCC and what to do if they develop symptoms.,The number of adults identified as at high risk of developing MSCC.,Local data collection. NICE audit support for Metastatic spinal cord compression (NICE clinical guideline 75).
2,structure,a,QS56-2-structure-a,"Evidence of local arrangements and written protocols to ensure that adults with spinal pain suggestive of spinal metastases, but with no neurological symptoms or signs, have an MRI of the whole spine and any necessary treatment plan agreed within 1 week of the suspected diagnosis.",NA,NA,Local data collection.
2,process,a,QS56-2-process-a,"Proportion of adults with spinal pain suggestive of spinal metastases, but with no neurological symptoms or signs, who receive an MRI of the whole spine within 1 week of the suspected diagnosis.","The number of adults in the denominator who receive an MRI of the whole spine within 1 week of presenting with spinal pain suggestive of spinal metastases, but with no neurological symptoms or signs.","The number of adults who present with spinal pain suggestive of spinal metastases, but with no neurological symptoms or signs.",NA
2,process,b,QS56-2-process-b,"Proportion of adults with spinal metastases confirmed by MRI of the whole spine, but with no neurological symptoms or signs, who have a treatment plan agreed within 1 week of the suspected diagnosis.","The number of adults in the denominator who have a treatment plan agreed within 1 week of presenting with spinal pain suggestive of spinal metastases, but with no neurological symptoms or signs.","The number of adults with spinal metastases confirmed by MRI of the whole spine, but with no neurological symptoms or signs.",Local data collection. British Spine Registry Spinal tumour data (2013).
2,outcome,a,QS56-2-outcome-a,Proportion of adults with spinal metastases who are able to walk within 3 months of treatment.,To be determined locally,To be determined locally,NA
2,outcome,b,QS56-2-outcome-b,Proportion of adults with spinal metastases who are able to walk within 2 years of treatment.,To be determined locally,To be determined locally,NA
2,outcome,c,QS56-2-outcome-c,Rates of mortality within 30 days of treatment.,To be determined locally,To be determined locally,Local data collection. British Spine Registry Spinal tumour data (2013).
3,structure,a,QS56-3-structure-a,"Evidence of local arrangements and written protocols to ensure that adults with suspected MSCC, who present with neurological symptoms or signs, have an MRI of the whole spine and any necessary treatment plan agreed within 24 hours of the suspected diagnosis.",NA,NA,Local data collection. Department of Health Acute Oncology Measures 11‑1E‑110y (The MSCC Case Discussion Policy) and 11‑1E‑111y (The Audit of Timeliness of the Investigation of MSCC) Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011).
3,process,a,QS56-3-process-a,Proportion of adults with suspected MSCC who present with neurological symptoms or signs who receive an MRI of the whole spine within 24 hours of the suspected diagnosis.,The number of adults in the denominator who receive an MRI of the whole spine within 24 hours of presenting with suspected MSCC and neurological symptoms or signs.,The number of adults with suspected MSCC who present with neurological symptoms or signs.,Local data collection. Department of Health Acute Oncology Measures 11‑1E‑111y (The Audit of Timeliness of the Investigation of MSCC) Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011). British Spine Registry Spinal tumour data (2013).
3,process,b,QS56-3-process-b,"Proportion of adults with MSCC confirmed by MRI of the whole spine, who presented with neurological symptoms or signs, who have a treatment plan agreed within 24 hours of the suspected diagnosis.",The number of adults in the denominator who have a treatment plan agreed within 24 hours of presenting with suspected MSCC and neurological symptoms or signs.,"The number of adults with MSCC confirmed by MRI of the whole spine who presented with neurological symptoms or signs, who have a diagnosis of MSCC confirmed after an MRI of the whole spine.",Local data collection. NICE audit support for Metastatic spinal cord compression (NICE clinical guideline 75). British Spine Registry Spinal tumour data (2013).
3,outcome,a,QS56-3-outcome-a,Proportion of adults with MSCC who are able to walk within 3 months of treatment.,To be determined locally,To be determined locally,NA
3,outcome,b,QS56-3-outcome-b,Proportion of adults with MSCC who are able to walk within 2 years of treatment.,To be determined locally,To be determined locally,NA
3,outcome,c,QS56-3-outcome-c,Rates of mortality within 30 days of treatment.,To be determined locally,To be determined locally,Local data collection. Department of Health Acute Oncology Measures 11‑1E‑113y Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011). British Spine Registry Spinal tumour data (2013).
4,structure,a,QS56-4-structure-a,Evidence of local arrangements for identifying individuals responsible for performing the role of MSCC coordinator.,NA,NA,NA
4,structure,b,QS56-4-structure-b,Evidence of local arrangements to ensure that adults with suspected MSCC who present with neurological symptoms or signs have their diagnostic investigations coordinated by an MSCC coordinator.,NA,NA,Local data collection. Department of Health Acute Oncology Measures 11‑3Y‑304 Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011).
4,process,a,QS56-4-process-a,"Proportion of adults with suspected MSCC who present with neurological symptoms or signs who have an assessment of their requirement for, and urgency of investigations, undertaken by an MSCC coordinator.","The number of adults in the denominator who have an assessment of their requirement for, and urgency of investigations, undertaken by an MSCC coordinator.",The number of adults with suspected MSCC who present with neurological symptoms or signs.,Local data collection.
5,structure,a,QS56-5-structure-a,Evidence of local arrangements for identifying individuals responsible for performing the role of MSCC coordinator.,NA,NA,NA
5,structure,b,QS56-5-structure-b,Evidence of local arrangements to ensure that adults with MSCC have their ongoing care coordinated by an MSCC coordinator.,NA,NA,Local data collection. Department of Health Acute Oncology Measures 11‑3Y‑304 (The MSCC Coordinator Service) Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011).
6,structure,a,QS56-6-structure-a,Evidence of local arrangements and written protocols to ensure that adults with MSCC who present with neurological symptoms or signs start definitive treatment (if appropriate) within 24 hours of the confirmed diagnosis.,NA,NA,Local data collection. Department of Health Acute Oncology Measures 11‑1E‑112y (The Audit of Timeliness of Definitive Treatment of MSCC) Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011).
6,process,a,QS56-6-process-a,Proportion of adults with MSCC who present with neurological symptoms or signs who start definitive treatment (if appropriate) within 24 hours of the confirmed diagnosis.,The number of adults in the denominator who start definitive treatment within 24 hours of the confirmed diagnosis.,The number of adults with MSCC who present with neurological symptoms or signs for whom it is appropriate to start definitive treatment within 24 hours.,Local data collection. Department of Health Acute Oncology Measures 11‑1E‑112y (The Audit of Timeliness of Definitive Treatment of MSCC) Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011).
6,outcome,a,QS56-6-outcome-a,Proportion of adults with MSCC who are able to walk within 3 months of treatment.,To be determined locally,To be determined locally,NA
6,outcome,b,QS56-6-outcome-b,Proportion of adults with MSCC who are able to walk within 2 years of treatment.,To be determined locally,To be determined locally,NA
6,outcome,c,QS56-6-outcome-c,Rates of mortality within 30 days of treatment.,To be determined locally,To be determined locally,Local data collection. Department of Health Acute Oncology Measures 11‑1E‑113y Manual for cancer services: acute oncology – including metatastic spinal cord compression measures (2011). British Spine Registry Spinal tumour data (2013).
7,structure,a,QS56-7-structure-a,Evidence of local arrangements and written protocols to ensure that management planning for adults with MSCC includes an assessment of ongoing care and rehabilitation needs.,NA,NA,Local data collection.
7,process,a,QS56-7-process-a,Proportion of adults with MSCC who are discharged from hospital with a management plan that includes an assessment of ongoing care and rehabilitation needs.,The number of adults in the denominator who have a management plan on discharge.,The number of adults with MSCC who are admitted to hospital.,Local data collection.
