statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS140-1-structure-a,", or immediately if they enter children's services after school year 9.",NA,NA
1,process,a,QS140-1-process-a,Who will move from children's to adults' services who have started planning their transition.,The number in the denominator who have started planning their transition.,Who will move from children's to adults' services.
1,process,b,QS140-1-process-b,Proportion of young people entering children's services after school year 9 and who will move to adults' services who started planning their transition immediately.,The number in the denominator who started planning their transition immediately.,The number of young people entering children's services after school year 9 and who will move to adults' services.
1,outcome,a,QS140-1-outcome-a,Satisfaction with planning for transition and transfer as reported by young people and their carers.,NA,NA
1,outcome,b,QS140-1-outcome-b,.,NA,NA
1,outcome,c,QS140-1-outcome-c,"Proportion of young people who have transferred from children's services, who do not attend their first meeting or appointment with each adults' service.",NA,NA
2,structure,a,QS140-2-structure-a,Evidence of local arrangements to ensure that young people who will move from children's to adults' services have an annual meeting to review transition planning.,NA,NA
2,process,a,QS140-2-process-a,"Proportion of young people, older than school year 9, who will move from children's to adults' services who have had a meeting in the previous 12 months to review transition planning.",The number in the denominator who have had a meeting in the previous 12 months to review transition planning.,The number of young people older than school year 9 who will move from children's to adults' services.
2,outcome,a,QS140-2-outcome-a,Satisfaction with planning for transition and transfer as reported by young people and their carers.,NA,NA
2,outcome,b,QS140-2-outcome-b,.,NA,NA
2,outcome,c,QS140-2-outcome-c,"Proportion of young people who have transferred from children's services, who do not attend their first meeting or appointment with each adults' service.",NA,NA
3,structure,a,QS140-3-structure-a,"Evidence of local arrangements to ensure that all young people who are moving from children's to adults' services have a named worker to coordinate care and support before, during and after transfer.",NA,NA
3,process,a,QS140-3-process-a,"Proportion of young people who are moving from children's to adults' services who have a named worker to coordinate care and support before, during and after transfer.","The number in the denominator who have a named worker to coordinate care and support before, during and after transfer.",The number of young people who are moving from children's to adults' services.
3,outcome,a,QS140-3-outcome-a,Satisfaction with planning for transition and transfer as reported by young people and their carers.,NA,NA
3,outcome,b,QS140-3-outcome-b,.,NA,NA
3,outcome,c,QS140-3-outcome-c,"Proportion of young people who have transferred from children's services, who do not attend their first meeting or appointment with each adults' service.",NA,NA
4,structure,a,QS140-4-structure-a,Evidence of local arrangements to ensure that young people who will move from children's to adults' services meet a practitioner from each adults' service they will move to before they transfer.,NA,NA
4,process,a,QS140-4-process-a,Proportion of young people who moved from children's to adults' services who met a practitioner from each adults' service they moved to before they transferred.,The number in the denominator who met a practitioner from each adults' service they moved to before they transferred.,The number of young people who moved from children's to adults' services.
4,outcome,a,QS140-4-outcome-a,Satisfaction with planning for transition and transfer as reported by young people and their carers.,NA,NA
4,outcome,b,QS140-4-outcome-b,.,NA,NA
4,outcome,c,QS140-4-outcome-c,"Proportion of young people who have transferred from children's services, who do not attend their first meeting or appointment with each adults' service.",NA,NA
5,structure,a,QS140-5-structure-a,Up arrangements for young people who have moved from children's to adults' services but do not attend their first meeting or appointment.,NA,NA
5,process,a,QS140-5-process-a,Proportion of young people who have moved from children's to adults' services but did not attend their first meeting or appointment who were contacted by adults' services and given further opportunities to engage.,The number in the denominator who were contacted by adults' services and given further opportunities to engage.,The number of young people who have moved from children's to adults' services but did not attend their first meeting or appointment.
5,outcome,a,QS140-5-outcome-a,"Proportion of young people who have transferred from children's services, who are discharged from each adults' services without attending a meeting or appointment.",NA,NA
