statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS112-1-structure-a,Evidence of local arrangements to ensure that parents and carers attending postnatal appointments are given information about GOR in infants.,NA,NA
1,process,a,QS112-1-process-a,Proportion of infants aged 8 weeks and under whose parents or carers received information about GOR during 1 of the postnatal appointments.,The number in the denominator whose parents received information about GOR during 1 of the postnatal appointments.,The number of infants aged 8 weeks and under who had at least 1 postnatal appointment.
1,outcome,a,QS112-1-outcome-a,Parental anxiety around infant GOR.,NA,NA
1,outcome,b,QS112-1-outcome-b,GP visits regarding GOR.,NA,NA
2,structure,a,QS112-2-structure-a,Evidence of local arrangements to ensure that breast-fed infants with frequent regurgitation associated with marked distress have their feeding assessed before other treatments are offered.,NA,NA
2,process,a,QS112-2-process-a,Proportion of breast‑fed infants with frequent regurgitation associated with marked distress who have a breastfeeding assessment.,Number in the denominator who have a breastfeeding assessment.,Number of breast‑fed infants presenting with frequent regurgitation associated with marked distress.
2,outcome,a,QS112-2-outcome-a,Breast‑fed infants with frequent regurgitation associated with marked distress presenting in healthcare settings.,NA,NA
3,structure,a,QS112-3-structure-a,Evidence of local arrangements to ensure that formula‑fed infants with frequent regurgitation associated with marked distress have their symptoms managed using a stepped‑care approach.,NA,NA
3,process,a,QS112-3-process-a,Proportion of formula‑fed infants with frequent regurgitation associated with marked distress that have their feeding history reviewed.,Number in the denominator who have their feeding history reviewed.,Number of formula‑fed infants presenting with frequent regurgitation associated with marked distress.
3,process,b,QS112-3-process-b,Proportion of formula‑fed infants with frequent regurgitation associated with marked distress that had excessive feed volumes reduced.,Number in the denominator whose excessive feed volumes were reduced.,Number of formula‑fed infants presenting with frequent regurgitation associated with marked distress who receive excessive feed volumes.
3,process,c,QS112-3-process-c,Proportion of formula‑fed infants with frequent regurgitation associated with marked distress who received a trial of smaller and more frequent feeds.,Number in the denominator who received a trial of smaller and more frequent feeds.,Number of formula‑fed infants presenting with frequent regurgitation associated with marked distress receiving appropriate total daily amount of milk.
3,process,d,QS112-3-process-d,Proportion of formula‑fed infants with frequent regurgitation associated with marked distress given a trial of thickened formula.,Number in the denominator given a trial of thickened formula.,Number of formula‑fed infants with frequent regurgitation associated with marked distress receiving appropriate total daily amount of milk and receiving trial of small and frequent feeds.
3,outcome,a,QS112-3-outcome-a,Infants with frequent regurgitation associated with marked distress presenting in healthcare settings.,NA,NA
4,structure,a,QS112-4-structure-a,Evidence of local arrangements to ensure that infants with frequent regurgitation associated with marked distress have a trial of alginate therapy if first‑line management is unsuccessful.,NA,NA
