statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS182-1-structure-a,"Evidence of local arrangements to ensure that care and support needs assessments include documented discussion with the person on their strengths, preferences, aspirations and needs.",NA,NA,"Local data collection, for example staff training records and care and support needs assessments protocols."
1,structure,b,QS182-1-structure-b,"Evidence of local arrangements to ensure that people who have substantial difficulty with involvement and no appropriate individual to support them, as defined by the Care Act 2014, have enough time with an independent advocate before the care and support needs assessment takes place so that they can prepare for it.",NA,NA,"Local data collection, for example records of independent advocacy use and surveys on the experience of people who have had a care and support needs assessment."
1,process,a,QS182-1-process-a,"Proportion of care and support needs assessments where a discussion and agreement of the person's strengths, preferences, aspirations and needs is documented.","The number in the denominator where a discussion and agreement of the person's strengths, preferences, aspirations and needs is documented.",The number of care and support needs assessments.,"Local data collection, for example care and support needs assessment records and surveys on the experience of people who have had a care and support needs assessment."
1,process,b,QS182-1-process-b,"Proportion of care and support needs assessments where people who have substantial difficulty with involvement and no appropriate individual to support them, as defined by the Care Act 2014, have access to an independent advocate.",The number in the denominator where people have access to an independent advocate.,"The number of care and support needs assessments where people have substantial difficulty with involvement and no appropriate individual to support them, as defined by the Care Act 2014.","Local data collection, for example care and support needs assessment records, independent advocacy records and surveys on the experience of people who have had a care and support needs assessment."
1,outcome,a,QS182-1-outcome-a,Satisfaction of people with the extent to which the care and support needs assessment promoted their interests and independence.,To be determined locally,To be determined locally,"Local data collection, for example surveys on the experience of people who have had a care and support needs assessment."
1,outcome,b,QS182-1-outcome-b,Satisfaction of people using adult social care services with the support they receive to achieve their self-defined outcomes.,To be determined locally,To be determined locally,"Local data collection, for example audits of care and support needs assessment records and surveys on the experience of people who have had a care and support needs assessment."
2,structure,a,QS182-2-structure-a,Evidence of local arrangements to inform people who have a personal budget for social care services funded by the local council and who are using adult social care services that they have the option to control their budget to buy the services that are important to them.,NA,NA,"Local data collection, such as audits of care and needs support assessments and care and support plans."
2,structure,b,QS182-2-structure-b,Evidence of local arrangements to inform people who have a personal budget for social care services funded by the local council and who are using adult social care services of the different options for managing their budget.,NA,NA,"Local data collection, for example audits of care and needs support assessments and care and support plans."
2,structure,c,QS182-2-structure-c,Evidence of local arrangements for providing accessible information on personal budgets and peer support on using them.,NA,NA,"Local data collection, for example information services, audits of the availability of peer support such as user-led centres for independent living, and surveys on the experience of people using adult social care services."
2,process,a,QS182-2-process-a,Proportion of people using adult social care services who have a personal budget for social care services funded by the local council and whose views were included when their support was planned.,The number in the denominator whose views were included during support planning.,The number of people using adult social care services who have a personal budget for social care services funded by the local council.,Think Local Act Personal's Personal Outcomes Evaluation Tool for adults in receipt of social care support includes a question on whether people's views were included when their support was planned.
2,outcome,a,QS182-2-outcome-a,Satisfaction of people using adult social care services who have a personal budget for social care services funded by the local council with the help they receive to use their budget to choose the support that is the most important to them.,To be determined locally,To be determined locally,Think Local Act Personal's Personal Outcomes Evaluation Tool for adults in receipt of social care support includes a question on the choice and control that people using adult social care services have on how their personal budget is spent. Local data collection such as surveys on the experience of people using adult social care services can also be used.
3,structure,a,QS182-3-structure-a,Evidence of local arrangements to ensure that services are available to provide continuity of care and support for people using adult social care services.,NA,NA,"Local data collection, for example service specifications and plans for service provision."
3,structure,b,QS182-3-structure-b,Evidence of local arrangements to ensure a consistent team of care workers for people using adult social care services.,NA,NA,"Local data collection, for example local care protocols on the organisation of care workers providing care and support."
3,process,a,QS182-3-process-a,Total number of care workers providing care to a person using adult social care services.,NA,NA,"Local data collection, for example audits of care records, including names of care workers."
3,outcome,a,QS182-3-outcome-a,Satisfaction of people using adult social care services with the continuity of their care and support.,To be determined locally,To be determined locally,Local data collection such as surveys on the experience of people using adult social care services.
3,outcome,b,QS182-3-outcome-b,Quality of life of people using adult social care services.,To be determined locally,To be determined locally,"Think Local, Act Personal's Personal Outcomes Evaluation Tool for adults in receipt of social care support includes a question on the impact of people's support on their quality of life and local data collection such as surveys on the experience of people using adult social care services."
4,structure,a,QS182-4-structure-a,Evidence of local arrangements to ask for feedback from people using adult social care services to inform service improvement.,NA,NA,"Local data collection, for example records of individual and group meetings, surveys and comment forms."
4,structure,b,QS182-4-structure-b,Evidence of local arrangements to implement the single complaints statement and encourage people using adult social care services to use it (see Local Government and Social Care Ombudsman resources on the single complaints statement).,NA,NA,"Local data collection, for example policies and initiatives on the single complaints statement and strategies for public involvement (see Local Government and Social Care Ombudsman resources on the single complaints statement)."
4,structure,c,QS182-4-structure-c,Evidence of local arrangements for supporting people using adult social care services to provide feedback on their experience using services.,NA,NA,"Local data collection, for example records of independent advocacy use."
4,structure,d,QS182-4-structure-d,Evidence of local arrangements for people who have provided feedback on adult social care services to be informed of improvements made as a result of their input.,NA,NA,"Local data collection, for example records of meetings with people using services, and posters and leaflets explaining changes made as a result of feedback from people using services."
4,process,a,QS182-4-process-a,Proportion of people using adult social care services who are asked to provide their opinion of a service.,The number in the denominator who are asked to provide their opinion of a service.,The number of people using adult social care services.,"Local data collection, for example engagement records."
4,outcome,a,QS182-4-outcome-a,Improvements to adult social care services which are informed by feedback from people using services.,To be determined locally,To be determined locally,"Local data collection, for example surveys of people using services."
4,outcome,b,QS182-4-outcome-b,Satisfaction of people using adult social care services with the way their feedback has been used.,To be determined locally,To be determined locally,"Local data collection, for example surveys of people using services."
