statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS148-1-structure-a,Evidence of local arrangements for involving members of the local community in setting priorities for health and wellbeing initiatives.,NA,NA
1,outcome,a,QS148-1-outcome-a,Priorities for health and wellbeing initiatives reflect what is important to members of the local communities.,NA,NA
1,outcome,b,QS148-1-outcome-b,"Community ownership of health and wellbeing initiatives, such as levels of participation, and breadth of local community representation on committees, boards and other groups.",NA,NA
2,structure,a,QS148-2-structure-a,Evidence of local arrangements for involving members of the local community in monitoring and evaluating local health and wellbeing initiatives as soon as the priorities are agreed.,NA,NA
2,structure,b,QS148-2-structure-b,Evidence of local arrangements for involving members of the local community in agreeing what to measure to illustrate the impact of the initiative once the priorities are agreed.,NA,NA
2,process,a,QS148-2-process-a,Proportion of local health and wellbeing initiatives monitored against measures agreed within the evaluation plan.,Number in the denominator monitored against measures agreed within the plan.,Number of local health and wellbeing initiatives with an evaluation plan.
2,process,b,QS148-2-process-b,Proportion of local health and wellbeing initiatives with an evaluation plan that provide feedback to the engaged members of the local communities.,Number in the denominator that provide feedback to the engaged members of the local communities.,Number of local health and wellbeing initiatives with an evaluation plan.
2,outcome,a,QS148-2-outcome-a,Evaluation providing information as identified within the evaluation plan.,NA,NA
2,outcome,b,QS148-2-outcome-b,Increased social engagement within local communities.,NA,NA
2,outcome,c,QS148-2-outcome-c,Empowered members of local communities that understand the impact of the initiatives they are involved in.,NA,NA
3,structure,a,QS148-3-structure-a,Evidence of local arrangements to ensure that members of the local community are involved in identifying skills within the community as part of health and wellbeing initiatives.,NA,NA
3,structure,b,QS148-3-structure-b,Evidence of local arrangements to ensure that members of the local community are involved in identifying knowledge within the community as part of health and wellbeing initiatives.,NA,NA
3,structure,c,QS148-3-structure-c,Evidence of local arrangements to ensure that members of the local community are involved in identifying networks within the community as part of health and wellbeing initiatives.,NA,NA
3,structure,d,QS148-3-structure-d,Evidence of local arrangements to ensure that members of the local community are involved in identifying relationships within the community as part of health and wellbeing initiatives.,NA,NA
3,structure,e,QS148-3-structure-e,Evidence of local arrangements to ensure that members of the local community are involved in identifying facilities within the community as part of health and wellbeing initiatives.,NA,NA
3,structure,f,QS148-3-structure-f,Evidence of local arrangements to ensure that the joint strategic needs assessment includes the identification of community assets.,NA,NA
3,outcome,a,QS148-3-outcome-a,Community members are recognised as assets and feel valued by the commissioners.,NA,NA
3,outcome,b,QS148-3-outcome-b,Local communities and commissioners work together to recognise existing assets that health and wellbeing initiatives can be built on.,NA,NA
4,structure,a,QS148-4-structure-a,Evidence of local arrangements to actively recruit members of the community to take on peer and lay roles for local health and wellbeing initiatives.,NA,NA
4,structure,b,QS148-4-structure-b,Evidence of local specification of the roles and responsibilities of members of the community taking on peer and lay roles.,NA,NA
4,structure,c,QS148-4-structure-c,Evidence of local arrangements to support members of the community taking on peer and lay roles to fulfil these roles.,NA,NA
4,outcome,a,QS148-4-outcome-a,Community members are provided with information and support to improve their health and wellbeing by members of the same community or from people with similar backgrounds.,NA,NA
4,outcome,b,QS148-4-outcome-b,"Effective communication between statutory, community and voluntary organisations and members of the local community.",NA,NA
4,outcome,c,QS148-4-outcome-c,Community members in peer and lay roles are actively involved in organising and delivering health and wellbeing initiatives.,NA,NA
