statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS183-1-structure-a,Evidence that local authorities have a physical activity champion at a senior level.,NA,NA,"Local data collection, for example, a review of local authority staff organograms."
1,structure,b,QS183-1-structure-b,Evidence that healthcare commissioning groups have a physical activity champion at a senior level.,NA,NA,"Local data collection, for example, a review of healthcare commissioner staff organograms."
1,structure,c,QS183-1-structure-c,"Evidence that physical activity champions are responsible for developing and implementing local strategies, policies and plans.",NA,NA,"Local data collection, for example, a review of personal development plans (PDPs), local authority and healthcare commissioner programmes, annual implementation reports and council portfolios."
1,structure,d,QS183-1-structure-d,"Evidence that physical activity champions ensure community engagement approaches have been used to develop and review local strategies, policies and plans.",NA,NA,"Local data collection, for example, a review of joint strategic needs assessments and joint health and wellbeing strategy (see Department of Health and Social Care guidance on joint strategic needs assessment and joint health and wellbeing strategies), local cycling and walking infrastructure plans (see Department for Transport guidance on planning local cycling and walking networks), sustainability and transformation plans, and integrated care system plans."
1,outcome,a,QS183-1-outcome-a,Proportion of adults meeting the recommendations in the UK Chief Medical Officers' physical activity guidelines.,The number in the denominator who meet the recommendations in the UK Chief Medical Officers' physical activity guidelines.,The number of adults.,National and local data on adult sport and physical activity is available from Sport England's Active Lives Adult survey and Public Health England's physical activity tool. The Public health outcomes framework for England 2016 to 2019 includes an indicator for adults 2.13i Proportion of adults achieving at least 150 minutes of physical activity per week in accordance with UK CMO recommended guidelines on physical activity.
1,outcome,b,QS183-1-outcome-b,Proportion of children and young people meeting the recommendations in the UK Chief Medical Officers' physical activity guidelines.,The number in the denominator who meet the recommendations in the UK Chief Medical Officers' physical activity guidelines.,The number of children and young people.,National and local data on sport and physical activity for children and young people is available from Sport England's Active Lives Children and Young People survey and Public Health England's physical activity tool.
1,outcome,c,QS183-1-outcome-c,Percentage of children aged 5 to 16 sufficiently physically active for good health.,To be determined locally,To be determined locally,National data is included in the Public health outcomes framework for England 2019 to 2020 (indicator in development).
1,outcome,d,QS183-1-outcome-d,"Proportion of adults, children and young people who are physically inactive.",The number in the denominator who are physically inactive.,"The number of adults, children and young people.",National data for adults is included in Public health outcomes framework for England 2016 to 2019 indicator 2.13ii Proportion of adults classified as inactive. National and local data on sport and physical activity for inactive children and young people is available from Sport England's Active Lives Children and Young People survey.
2,structure,a,QS183-2-structure-a,"Evidence that local authorities prioritise pedestrians, cyclists and people who use public transport when developing and maintaining connected travel routes.",NA,NA,"Local data collection, for example, review of local authority travel route plans, local cycling and walking infrastructure plans (see Department for Transport guidance on planning local cycling and walking networks), local plans (see Ministry of Housing, Communities and Local Government guidance on plan-making), joint strategic needs assessments and Health and Wellbeing Board Strategy (see Department of Health and Social Care guidance on joint strategic needs assessment and joint health and wellbeing strategies)."
2,structure,b,QS183-2-structure-b,Evidence that local authorities reallocate road space to support physically active modes of transport such as walking and cycling.,NA,NA,"Local data collection, for example, review of local cycling and walking infrastructure plans (see Department for Transport guidance on planning local cycling and walking networks), local plans (see Ministry of Housing, Communities and Local Government guidance on plan-making), local authority travel route and transport plans."
2,structure,c,QS183-2-structure-c,"Evidence that local authorities implement plans to make it as easy as possible for people with limited mobility, such as older people and people with disabilities (including sensory, visual or learning disabilities), to move around their local area.",NA,NA,"Local data collection, for example, review of local plans (see Ministry of Housing, Communities and Local Government guidance on plan-making), local authority travel route plans, equality impact assessments and public meeting minutes with relevant third sector organisations."
2,outcome,a,QS183-2-outcome-a,Percentage of people cycling for travel.,To be determined locally,To be determined locally,National and local data on adult and children and young people's sport and physical activity is available from Sport England's Active Lives Adult survey and Children and Young People survey. Public Health England's physical activity tool indicator – Percentage of adults cycling for travel at least 3 days a week.
2,outcome,b,QS183-2-outcome-b,Percentage of people walking for travel.,To be determined locally,To be determined locally,National and local data on adult and children and young people's sport and physical activity is available from Sport England's Active Lives Adult survey and Children and Young People survey. Public Health England's physical activity tool indicator – Percentage of adults walking for travel at least 3 days a week.
2,outcome,c,QS183-2-outcome-c,Number of pedestrians and cyclists reported killed or seriously injured on the roads.,To be determined locally,To be determined locally,"National data on road safety by road-user type, gender and age in Great Britain is available from Department for Transport's Reported road casualties Great Britain: annual report 2014."
3,structure,a,QS183-3-structure-a,Evidence that local authorities and community members work in partnership to make decisions on the design and management of public open spaces.,NA,NA,"Local data collection, for example, health impact assessments, management plans, consultation reports, council meeting minutes and public open space user surveys."
3,structure,b,QS183-3-structure-b,Evidence that local authorities encourage community members to help to maintain public open spaces by reporting any problems affecting accessibility and use.,NA,NA,"Local data collection, for example, council websites, council meeting minutes and public open space user surveys."
3,outcome,a,QS183-3-outcome-a,Percentage of people using outdoor space for exercise or health reasons.,To be determined locally,To be determined locally,National data is included in the Public health outcomes framework for England 2016 to 2019 indicators 1.16 Utilisation of outdoor space for exercise/health reasons.
4,structure,a,QS183-4-structure-a,Evidence that workplaces have a physical activity programme to encourage employees to move more and be more physically active.,NA,NA,"Local data collection, for example, a review of the organisation's plan or policy that includes a physical activity programme."
4,structure,b,QS183-4-structure-b,Evidence that workplaces monitor their physical activity programme to encourage employees to move more and be more physically active.,NA,NA,"Local data collection, for example, workplace health and travel staff surveys."
4,structure,c,QS183-4-structure-c,Evidence that workplaces liaise with neighbouring businesses and other partners to improve and promote accessible walking and cycling routes and accessible links to work sites.,NA,NA,"Local data collection, for example, a review of the organisation's planning application forms in terms of accessible walking and cycling routes and accessible links to work sites."
4,structure,d,QS183-4-structure-d,"Evidence that employees receive information tailored to the workplace about accessible walking and cycling routes which include public transport options, distances involved, cycle parking, maps, routes, alternative route directions and safety.",NA,NA,"Local data collection, for example, a review of workplace staff travel information including maps, routes and travel safety."
4,outcome,a,QS183-4-outcome-a,Percentage of adults who actively travel to and from workplaces.,To be determined locally,To be determined locally,National data on commuter trips is available from Department for Transport's national travel survey.
4,outcome,b,QS183-4-outcome-b,Percentage of adults cycling for travel at least 3 days a week.,To be determined locally,To be determined locally,National and local data on adult sport and physical activity is available from Sport England's Active Lives Adult survey and Public Health England's physical activity tool.
4,outcome,c,QS183-4-outcome-c,Percentage of adults walking for travel at least 3 days a week.,To be determined locally,To be determined locally,National and local data on adult sport and physical activity is available from Sport England's Active Lives Adult survey and Public Health England's physical activity tool.
4,outcome,d,QS183-4-outcome-d,Level of satisfaction among employees who feel supported about their health and wellbeing.,To be determined locally,To be determined locally,"Local data collection, for example staff surveys. The NHS staff survey (2018) contained the following question: 11 Does my organisation take positive action on health and wellbeing?"
5,structure,a,QS183-5-structure-a,Evidence that schools and early years settings have travel plans that include performance targets to increase active travel.,NA,NA,"Local data collection, for example, an audit of policies in schools and early years settings."
5,structure,b,QS183-5-structure-b,Evidence that schools and early years settings monitor and update their travel plans annually to ensure these continue to be fully aligned with other local authority plans.,NA,NA,"Local data collection, for example, an audit of policies in schools and early years settings."
5,outcome,a,QS183-5-outcome-a,Percentage of children's travel to and from schools and early years settings that is active.,To be determined locally,To be determined locally,National and local data on children's active travel to and from school is available from Department for Transport's national travel survey: travel to school and Sport England's Active Lives Children and Young People survey.
