statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS25-1-structure-a,Evidence of local arrangements or referral pathways to asthma diagnostic hubs to ensure that people aged 5 years and over with suspected asthma have objective tests to support diagnosis.,NA,NA,"Local data collection, for example, service protocol or referral pathways."
1,structure,b,QS25-1-structure-b,Evidence of local arrangements to ensure that healthcare professionals are trained and competent to carry out and interpret objective tests to support diagnosis of asthma.,NA,NA,"Local data collection, for example, training records and competency assessments."
1,structure,c,QS25-1-structure-c,Evidence of local processes to ensure that the basis for a diagnosis of asthma is documented.,NA,NA,"Local data collection, for example, service protocol."
1,process,a,QS25-1-process-a,Proportion of adults aged 17 years and over with newly diagnosed asthma who have a record of a fractional exhaled nitric oxide (FeNO) test to support diagnosis.,The number in the denominator who have a record of a FeNO test to support diagnosis.,The number of adults aged 17 years and over with newly diagnosed asthma.,"Local data collection, for example, audit of patient health records."
1,process,b,QS25-1-process-b,Proportion of people aged 5 years and over with newly diagnosed asthma who have a record of a spirometry test to support diagnosis.,The number in the denominator who have a record of a spirometry test to support diagnosis.,The number of people aged 5 years and over with newly diagnosed asthma.,"Local data collection, for example, audit of patient health records."
1,process,c,QS25-1-process-c,Proportion of people aged 5 years and over with newly diagnosed asthma who have a record of the objective tests used to support diagnosis.,The number in the denominator who have a record of the objective tests used to support diagnosis.,The number of people aged 5 years and over with newly diagnosed asthma.,"Local data collection, for example, audit of patient health records."
1,outcome,a,QS25-1-outcome-a,Prevalence of asthma.,To be determined locally,To be determined locally,Local data collection.
2,structure,a,QS25-2-structure-a,Evidence of a local framework and guidance for healthcare professionals on providing asthma education and developing a written personalised action plan for people aged 5 years and over with asthma.,NA,NA,"Local data collection, for example, service protocol."
2,structure,b,QS25-2-structure-b,Evidence of local arrangements to ensure that people aged 5 years and over with asthma discuss and agree a written personalised action plan with their healthcare professional.,NA,NA,"Local data collection, for example, service protocol."
2,process,a,QS25-2-process-a,Proportion of people aged 5 years and over with asthma who have a record of a discussion to agree a written personalised action plan.,The number of people in the denominator who have a record of a discussion to agree a written personalised action plan.,The number of people aged 5 years and over with asthma.,"Local data collection, for example, audit of patient health records."
