statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS63-1-structure-a,"Evidence of local arrangements to ensure that adults newly admitted to hospital or long-term care who are at risk of delirium are assessed for recent changes in behaviour, including cognition, perception, physical function and social behaviour.",NA,NA
1,process,a,QS63-1-process-a,"Proportion of adults newly admitted to hospital or long-term care who are at risk of delirium who are assessed for recent changes in behaviour, including cognition, perception, physical function and social behaviour.","The number in the denominator who are assessed for recent changes in behaviour, including cognition, perception, physical function and social behaviour.",The number of adults newly admitted to hospital or long-term care who are at risk of delirium.
1,outcome,a,QS63-1-outcome-a,Detection of delirium.,NA,NA
2,structure,a,QS63-2-structure-a,Evidence of local arrangements to ensure that adults newly admitted to hospital or long-term care who are at risk of delirium receive a range of tailored interventions to prevent delirium.,NA,NA
2,process,a,QS63-2-process-a,Proportion of adults newly admitted to hospital or long-term care who are at risk of delirium who are assessed for clinical factors that may contribute to the development of delirium within 24 hours of their admission.,The number in the denominator who are assessed for clinical factors that may contribute to the development of delirium within 24 hours of their admission.,The number of adults newly admitted to hospital or long-term care who are at risk of delirium.
2,process,b,QS63-2-process-b,Proportion of adults newly admitted to hospital or long-term care who are at risk of delirium who receive a range of tailored interventions to prevent delirium.,The number in the denominator who receive a range of tailored interventions to prevent delirium.,The number of adults newly admitted to hospital or long-term care who are at risk of delirium who have an assessment for clinical factors that may contribute to the development of delirium.
2,outcome,a,QS63-2-outcome-a,Incidence of delirium.,NA,NA
3,structure,a,QS63-3-structure-a,Evidence of local arrangements to ensure that adults with delirium in hospital or long-term care who are distressed or are a risk to themselves or others are not prescribed antipsychotic medication unless de-escalation techniques are ineffective or inappropriate.,NA,NA
3,process,a,QS63-3-process-a,Proportion of adults with delirium in hospital or long-term care who have been prescribed antipsychotic medication who were distressed or a risk to themselves or others and for whom de-escalation techniques were ineffective or inappropriate.,The number in the denominator who were distressed or a risk to themselves or others and for whom de-escalation techniques were ineffective or inappropriate.,The number of adults with delirium in hospital or long-term care who have been prescribed antipsychotic medication.
3,outcome,a,QS63-3-outcome-a,Antipsychotic medication prescribing rates.,NA,NA
4,structure,a,QS63-4-structure-a,"Evidence of local arrangements to ensure that adults with delirium in hospital or long-term care, and their family members and carers, are given information that explains the condition and describes other people's experiences of delirium.",NA,NA
4,process,a,QS63-4-process-a,Proportion of adults with delirium in hospital or long-term care who are given information that explains the condition and describes other people's experiences of delirium.,The number in the denominator who are given information that explains the condition and describes other people's experiences of delirium.,The number of adults with delirium in hospital or long-term care.
4,process,b,QS63-4-process-b,Proportion of family members or carers of adults with delirium in hospital or long-term care who are given information that explains the condition and describes other people's experiences of delirium.,The number in the denominator whose family members or carers are given information that explains the condition and describes other people's experiences of delirium.,The number of adults with delirium in hospital or long-term care.
4,outcome,a,QS63-4-outcome-a,Patient and carer experience.,NA,NA
5,structure,a,QS63-5-structure-a,Evidence of local arrangements to ensure that adults with current or resolved delirium who are discharged from hospital have their diagnosis of delirium communicated to their GP.,NA,NA
5,process,a,QS63-5-process-a,Proportion of adults with current or resolved delirium who are discharged from hospital who have their diagnosis of delirium communicated to their GP.,The number in the denominator who have their diagnosis of delirium communicated to their GP.,The number of adults with current or resolved delirium who are discharged from hospital.
5,outcome,a,QS63-5-outcome-a,Continuity of care from hospital to home.,NA,NA
