statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS99-1-structure-a,Evidence of local arrangements to ensure that adults admitted to hospital with an MI have an assessment of left ventricular function before discharge.,NA,NA,Local data collection.
1,process,a,QS99-1-process-a,Proportion of discharges from hospital after an MI where the patient had an assessment of left ventricular function while in hospital.,The number in the denominator where the patient had an assessment of left ventricular function while in hospital.,The number of discharges from hospital after an MI.,Local data collection.
2,structure,a,QS99-2-structure-a,Evidence of local arrangements to ensure that adults admitted to hospital with an MI are referred for cardiac rehabilitation before discharge.,NA,NA,Local data collection.
2,process,a,QS99-2-process-a,Proportion of discharges from hospital after an MI where the patient was referred for cardiac rehabilitation while in hospital.,The number in the denominator where the patient was referred for cardiac rehabilitation while in hospital.,The number of discharges from hospital after an MI.,Local data collection.
2,outcome,a,QS99-2-outcome-a,Uptake rates of cardiac rehabilitation programmes.,To be determined locally,To be determined locally,Local data collection. National data on the uptake of cardiac rehabilitation are available from the British Heart Foundation National Audit of Cardiac Rehabilitation (NACR).
3,structure,a,QS99-3-structure-a,Evidence of local arrangements to ensure that adults admitted to hospital with an MI have the results of investigations and a plan for future treatment and monitoring shared with their GP.,NA,NA,Local data collection.
3,process,a,QS99-3-process-a,Proportion of discharges from hospital after an MI where the patient had the results of investigations shared with their GP.,The number in the denominator where the patient had the results of investigations shared with their GP.,The number of discharges from hospital after an MI.,Local data collection.
3,process,b,QS99-3-process-b,Proportion of discharges from hospital after an MI where the patient had plans for future treatment and monitoring shared with their GP.,The number in the denominator where the patient had plans for future treatment and monitoring shared with their GP.,The number of discharges from hospital after an MI.,Local data collection.
3,outcome,a,QS99-3-outcome-a,Readmission rates.,To be determined locally,To be determined locally,NHS Digital national data on emergency readmissions within 30 days of discharge from hospital.
3,outcome,b,QS99-3-outcome-b,Rates of uptake and adherence to cardiac rehabilitation.,To be determined locally,To be determined locally,Local data collection.
3,outcome,c,QS99-3-outcome-c,Patient experience of GP services.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS99-4-structure-a,Evidence of local arrangements to ensure that adults referred to a cardiac rehabilitation programme after an MI have an assessment appointment within 10 days of discharge from hospital.,NA,NA,Local data collection.
4,process,a,QS99-4-process-a,Proportion of referrals to a cardiac rehabilitation programme from hospital where the patient attends an assessment appointment within 10 days of discharge after an MI.,The number in the denominator where the patient attends an assessment appointment within 10 days of discharge.,The number of referrals to a cardiac rehabilitation programme from hospital after admission for an MI.,Local data collection. National data on adherence to cardiac rehabilitation are available from the British Heart Foundation National Audit of Cardiac Rehabilitation (NACR).
4,outcome,a,QS99-4-outcome-a,Uptake rates of cardiac rehabilitation programmes.,To be determined locally,To be determined locally,Local data collection. National data on the uptake of cardiac rehabilitation are available from the British Heart Foundation National Audit of Cardiac Rehabilitation (NACR).
5,structure,a,QS99-5-structure-a,"Evidence of local arrangements to provide cardiac rehabilitation programmes during and outside working hours and the choice of undertaking programmes at home, in the community or in a hospital setting.",NA,NA,Local data collection.
5,process,a,QS99-5-process-a,"Proportion of people referred to a cardiac rehabilitation programme who are offered sessions during and outside working hours and the choice of undertaking the programme at home, in the community or in a hospital setting.","The number in the denominator offered sessions during and outside working hours and the choice of undertaking the programme at home, in the community or in a hospital setting.",The number of people referred to a cardiac rehabilitation programme after an MI.,NA
5,outcome,a,QS99-5-outcome-a,Rates of uptake of and adherence to cardiac rehabilitation programmes.,To be determined locally,To be determined locally,NA
5,outcome,b,QS99-5-outcome-b,Patient experience of cardiac rehabilitation programmes.,To be determined locally,To be determined locally,Local data collection. National data on the uptake of cardiac rehabilitation are available from the British Hearth Foundation National Audit of Cardiac Rehabilitation (NACR).
