statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS75-1-structure-a,Evidence of local arrangements to ensure that pregnant women whose babies are at risk of early‑onset neonatal infection are offered intrapartum antibiotic prophylaxis and given the first dose as soon as possible.,NA,NA
1,process,a,QS75-1-process-a,Proportion of pregnant women whose babies are at risk of early-onset neonatal infection who receive intrapartum antibiotic prophylaxis.,The number in the denominator who receive intrapartum antibiotic prophylaxis.,The number of pregnant women whose babies are at risk of early-onset neonatal infection.
1,process,b,QS75-1-process-b,Proportion of pregnant women receiving intrapartum antibiotic prophylaxis who are given it as soon as possible.,The number in the denominator whose intrapartum antibiotic prophylaxis is given as soon as possible.,The number of pregnant women who receive intrapartum antibiotic prophylaxis.
1,outcome,a,QS75-1-outcome-a,Rates of early-onset neonatal infection.,NA,NA
2,structure,a,QS75-2-structure-a,Evidence of local arrangements and written protocols to ensure that pregnant women and newborn babies receive a comprehensive clinical assessment for the risks or indicators of early-onset neonatal infection.,NA,NA
2,process,a,QS75-2-process-a,Proportion of pregnant women who are assessed for risk factors for early-onset neonatal infection.,The number in the denominator who are assessed for risk factors for early-onset neonatal infection.,The number of pregnant women.
2,process,b,QS75-2-process-b,Proportion of newborn babies who are assessed for clinical indicators of early-onset neonatal infection.,The number in the denominator who are assessed for clinical indicators of early-onset neonatal infection.,The number of newborn babies.
2,process,c,QS75-2-process-c,Proportion of newborn babies with risk factors or clinical indicators of early-onset neonatal infection who receive an immediate physical examination including an assessment of the vital signs.,The number in the denominator who receive an immediate physical examination including an assessment of the vital signs.,The number of newborn babies identified with risk factors or clinical indicators of early-onset neonatal infection.
3,structure,a,QS75-3-structure-a,Evidence of local arrangements to ensure that newborn babies who need antibiotic treatment receive it within 1 hour of the decision to treat.,NA,NA
3,process,a,QS75-3-process-a,Proportion of newborn babies who need antibiotic treatment who receive it within 1 hour of the decision to treat.,The number in the denominator who receive antibiotics within 1 hour of the decision to treat.,The number of newborn babies who need antibiotic treatment.
4,structure,a,QS75-4-structure-a,Evidence of local arrangements to ensure that newborn babies who start antibiotic treatment for possible early-onset neonatal infection have their need for it reassessed at 36 hours.,NA,NA
4,process,a,QS75-4-process-a,Proportion of newborn babies who start antibiotic treatment for possible early-onset neonatal infection who have their need for it reassessed at 36 hours.,The number in the denominator who have their need for antibiotic treatment reassessed at 36 hours.,The number of newborn babies who start antibiotic treatment for possible early-onset neonatal infection.
5,structure,a,QS75-5-structure-a,Evidence of local arrangements and protocols to ensure that parents or carers of newborn babies in whom early-onset neonatal infection has been a concern are given verbal and written information about neonatal infection before discharge.,NA,NA
5,process,a,QS75-5-process-a,Proportion of parents or carers of newborn babies in whom early-onset neonatal infection has been a concern who are given verbal and written information about neonatal infection before discharge.,The number in the denominator whose parents or carers receive verbal and written information about neonatal infection before discharge.,The number of newborn babies in whom early-onset neonatal infection has been a concern.
6,placeholder,NA,QS75-6-placeholder,NA,NA,NA
