statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS173-1-structure-a,Evidence that information about the support provided by the local intermediate care service is available.,NA,NA,"Local data collection, for example, leaflets or booklets or pamphlets tailored to local services."
1,structure,b,QS173-1-structure-b,Evidence of local processes to ensure that adults being assessed for intermediate care have a discussion about the support the service will and will not provide.,NA,NA,"Local data collection, for example, service protocol."
1,process,a,QS173-1-process-a,Proportion of adults being assessed for intermediate care who have a record of a discussion about the support the service will and will not provide.,The number in the denominator who have a record of a discussion about the support the service will and will not provide.,The number of adults being assessed for intermediate care.,"Local data collection, for example, audit of electronic records."
1,outcome,a,QS173-1-outcome-a,Level of awareness of the support the service provides among adults assessed for intermediate care and their families and carers.,To be determined locally,To be determined locally,"Local data collection, for example, survey of adults assessed for intermediate care and their families and carers."
2,structure,a,QS173-2-structure-a,Evidence of local arrangements to ensure that bed-based intermediate care can be started within 2 days of referral.,NA,NA,"Local data collection, for example, referral pathways from hospital and the community and service protocols."
2,process,a,QS173-2-process-a,Proportion of adults accepted for bed-based intermediate care from hospital who start the service within 2 days of referral.,The number in the denominator who start the service within 2 days of referral.,The number of adults accepted for bed-based intermediate care from hospital.,"Local data collection, for example, audit of electronic records. The NHS Benchmarking Network National Audit of Intermediate Care includes data on waiting times for bed-based intermediate care."
2,process,b,QS173-2-process-b,Proportion of adults accepted for bed-based intermediate care from the community who start the service within 2 days of referral.,The number in the denominator who start the service within 2 days of referral.,The number of adults accepted for bed-based intermediate care from the community.,"Local data collection, for example, audit of electronic records. The NHS Benchmarking Network National Audit of Intermediate Care includes data on waiting times for bed-based intermediate care."
2,process,c,QS173-2-process-c,Proportion of referrals for bed-based intermediate care that were not accepted due to insufficient capacity.,The number in the denominator that were not accepted due to insufficient capacity.,The number of referrals for bed-based intermediate care.,"Local data collection, for example, audit of referral records. The NHS Benchmarking Network National Audit of Intermediate Care includes data on reasons for not being accepted onto the scheme including a lack of capacity."
2,outcome,a,QS173-2-outcome-a,Rate of unplanned hospital admissions for chronic ambulatory care sensitive conditions.,To be determined locally,To be determined locally,Data on unplanned hospital admissions for chronic ambulatory care sensitive conditions are available from NHS Digital's Clinical Indicators as part of the NHS outcomes framework – indicator 2.3i.
2,outcome,b,QS173-2-outcome-b,Rate of delayed transfer of care from hospital for adults.,To be determined locally,To be determined locally,"Data on average number of delayed transfers of care from hospital per 100,000 population are available from NHS Digital's Clinical Indicators as part of the adult social care outcomes framework – indicator 2c."
