statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS13-1-structure-a,Evidence of local systems established to systematically identify adults who are likely to be approaching the end of their life.,NA,NA,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local protocols on identification of adults approaching the end of their life, including the use of tools such as the Gold Standards Framework Proactive Identification Guidance, the AMBER care bundle or the Supportive and Palliative Care Indicators Tool."
1,outcome,a,QS13-1-outcome-a,The proportion of adults who have died with progressive life-limiting conditions who were on the palliative care register or had evidence of end of life care planning.,The number in the denominator who were on the palliative care register or had evidence of end of life care planning.,The number of adults who have died with progressive life-limiting conditions.,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records and palliative care registers. Quality Outcomes Framework indicator PC001 requires the contractor to establish and maintain a register of all patients in need of palliative care or support irrespective of age."
2,structure,a,QS13-2-structure-a,Evidence of local arrangements to ensure that adults approaching the end of their life have opportunities to discuss advance care planning.,NA,NA,"Data can be collected from information recorded locally by health and social care practitioners and provider organisations, for example, from service specifications or local protocols on advance care planning."
2,structure,b,QS13-2-structure-b,Evidence of local arrangements to ensure that advance care planning for adults approaching the end of their life takes into account their holistic needs assessment.,NA,NA,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local protocols on advance care planning."
2,process,a,QS13-2-process-a,Proportion of adults approaching the end of their life who have documented discussions about advance care planning.,The number in the denominator who have documented discussions about advance care planning.,The number of adults approaching the end of their life.,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records and palliative care registers. The National Audit of Care at the End of Life measures the number of people with an advance care plan on arrival at their final admission to hospital."
2,process,b,QS13-2-process-b,Proportion of adults approaching the end of their life whose documented advance care plan takes into account their holistic needs assessment.,The number in the denominator whose documented advance care plan takes into account their holistic needs assessment.,The number of adults approaching the end of their life who have a documented advance care plan.,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example from local audit of patient records."
2,outcome,a,QS13-2-outcome-a,Satisfaction of adults approaching the end of their life with the support they receive to plan their future care.,The number in the denominator who are satisfied with the support they receive to plan their future care.,The number of adults approaching the end of their life.,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, through face-to-face discussions with adults approaching the end of their life and their carers, from local patient and carer experience surveys, and from bereavement surveys."
3,structure,a,QS13-3-structure-a,Evidence of local processes to coordinate end of life care.,NA,NA,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example from service specifications and joint working agreements between health and social care. This could include processes to ensure appointments with different specialities are on the same day to avoid the person making repeated visits."
3,structure,b,QS13-3-structure-b,Evidence of local arrangements for relevant information about adults approaching the end of their life to be shared with the members of the multipractitioner team involved in their care.,NA,NA,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local information-sharing protocols and electronic information-sharing systems."
3,process,a,QS13-3-process-a,Proportion of adults approaching the end of their life whose advance care plan is shared with the practitioners involved in their care.,The number in the denominator whose advance care plan is shared with the practitioners involved in their care.,The number of adults approaching the end of their life who have an advance care plan.,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audit of patient records."
