statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS2-1-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults presenting at an A&E department with suspected stroke are admitted to a specialist acute stroke unit within 4 hours of arrival.,NA,NA
1,process,a,QS2-1-process-a,Proportion of A&E department presentations of suspected stroke in adults in which the person is admitted to a specialist acute stroke unit within 4 hours of arrival.,The number in the denominator in which the person is admitted to a specialist acute stroke unit within 4 hours of arrival.,The number of A&E department presentations of suspected stroke.
1,outcome,a,QS2-1-outcome-a,Mortality rates of adults who have a stroke.,NA,NA
1,outcome,b,QS2-1-outcome-b,Change in Modified Rankin Score at 6 months after a stroke.,NA,NA
2,structure,a,QS2-2-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults having stroke rehabilitation in hospital or in the community are offered at least 45 minutes of each relevant therapy for a minimum of 5 days a week.,NA,NA
2,process,a,QS2-2-process-a,Proportion of adults having stroke rehabilitation in hospital who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week.,The number in the denominator who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week.,The number of adults having stroke rehabilitation in hospital.
2,process,b,QS2-2-process-b,Proportion of adults having stroke rehabilitation in the community who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week.,The number in the denominator who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week.,The number of adults having stroke rehabilitation in the community.
2,outcome,a,QS2-2-outcome-a,Change in Modified Rankin Score at 6 months after a stroke.,NA,NA
3,structure,a,QS2-3-structure-a,Evidence of local arrangements and protocols to ensure that services providing stroke care have a core multidisciplinary stroke rehabilitation team that includes a clinical psychologist with expertise in stroke rehabilitation.,NA,NA
3,outcome,a,QS2-3-outcome-a,Quality of life for adults who have had a stroke.,NA,NA
4,structure,a,QS2-4-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults who have had a stroke are offered early supported discharge if the core multidisciplinary stroke team assess that it is suitable for them.,NA,NA
4,process,a,QS2-4-process-a,Proportion of adults who have had a stroke and are assessed as suitable for early supported discharge by the core multidisciplinary stroke team who receive it.,The number in the denominator who receive early supported discharge.,The number of adults who have had a stroke and are assessed as suitable for early supported discharge by the core multidisciplinary stroke team.
4,process,b,QS2-4-process-b,Proportion of adults who have had stroke who are treated by an early supported discharge team.,The number in the denominator who are treated by an early supported discharge team.,The number of adults who have had a stroke.
4,outcome,a,QS2-4-outcome-a,Length of hospital stay for adults who have had a stroke.,NA,NA
4,outcome,b,QS2-4-outcome-b,Quality of life for adults who have had a stroke.,NA,NA
5,structure,a,QS2-5-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults who have had a stroke are offered active management to return to work if they wish to do so.,NA,NA
5,process,a,QS2-5-process-a,Proportion of adults who have had a stroke who receive active management to return to work if they wish to do so.,The number in the denominator who receive active management to help them return to work.,The number of adults who have had a stroke who wish to return to work.
5,outcome,a,QS2-5-outcome-a,Quality of life for adults who have had a stroke.,NA,NA
5,outcome,b,QS2-5-outcome-b,Quality of life for carers of adults who have had a stroke.,NA,NA
6,structure,a,QS2-6-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults who have had a stroke have their rehabilitation goals reviewed at regular intervals.,NA,NA
6,process,a,QS2-6-process-a,Proportion of adults who have had a stroke who have their rehabilitation goals agreed within 5 days of arrival at A&E.,The number in the denominator who have their rehabilitation goals agreed within 5 days of arrival at A&E.,The number of adults who have had a stroke.
6,process,b,QS2-6-process-b,Proportion of adults who have had a stroke who have their rehabilitation goals reviewed at regular intervals.,The number in the denominator who have their rehabilitation goals reviewed at regular intervals.,The number of adults who have had a stroke with agreed rehabilitation goals.
6,outcome,a,QS2-6-outcome-a,Quality of life for adults who have had a stroke.,NA,NA
6,outcome,b,QS2-6-outcome-b,Readmission rates of adults who have had a stroke.,NA,NA
7,structure,a,QS2-7-structure-a,"Evidence of local arrangements and written protocols to ensure that adults who have had a stroke have a structured health and social care review at 6 months and 1 year after the stroke, and then annually.",NA,NA
7,process,a,QS2-7-process-a,Proportion of adults who have had a stroke who have a structured health and social care review at 6 months after the stroke.,The number in the denominator who have a structured health and social care review at 6 months after the stroke.,The number of adults who have had a stroke.
7,process,b,QS2-7-process-b,Proportion of adults who have had a stroke and had a structured health and social care review at 6 months after the stroke who have a review 1 year after the stroke.,The number in the denominator who have a review 1 year after the stroke.,The number of adults who have had a stroke and had a structured health and social care review at 6 months after the stroke.
7,process,c,QS2-7-process-c,"Proportion of adults who have had a stroke and had a structured health and social care review at 6 months and 1 year after the stroke, who have annual reviews thereafter.",The number in the denominator who have annual reviews.,The number of adults who have had a stroke and had a structured health and social care review at 6 months and 1 year after the stroke.
7,outcome,a,QS2-7-outcome-a,Quality of life for adults who have had a stroke.,NA,NA
7,outcome,b,QS2-7-outcome-b,Readmission rates of adults who have had a stroke.,NA,NA
