statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS9-1-structure-a,Evidence of local arrangements to ensure that adults with suspected chronic heart failure referred for diagnosis have an echocardiogram and specialist assessment.,NA,NA
1,process,a,QS9-1-process-a,Proportion of adults with suspected chronic heart failure referred for diagnosis who have an echocardiogram and specialist assessment.,The number in the denominator who have an echocardiogram and specialist assessment.,The number of adults with suspected chronic heart failure who are referred for diagnosis.
2,structure,a,QS9-2-structure-a,"Evidence of local arrangements and written clinical protocols to ensure that adults with suspected chronic heart failure and very high levels of serum natriuretic peptides, who have been referred for diagnosis, have an echocardiogram and specialist assessment within 2 weeks.",NA,NA
2,process,a,QS9-2-process-a,"Proportion of adults with suspected chronic heart failure and very high levels of serum natriuretic peptides, who have been referred for diagnosis, who have an echocardiogram and specialist assessment within 2 weeks of referral.",The number in the denominator who have an echocardiogram and a specialist assessment within 2 weeks of referral.,The number of adults referred for diagnosis with suspected chronic heart failure and very high levels of serum natriuretic peptides.
2,outcome,a,QS9-2-outcome-a,Mortality due to heart failure.,NA,NA
2,outcome,b,QS9-2-outcome-b,"Hospital admissions, inpatient hospital days and readmissions due to heart failure.",NA,NA
3,structure,a,QS9-3-structure-a,"Evidence of local arrangements to ensure that adults with chronic heart failure who have reduced ejection fraction are started on low‑dose ACE inhibitor and beta‑blocker medications, which are gradually increased until the target or optimal tolerated doses are reached.",NA,NA
3,process,a,QS9-3-process-a,Proportion of adults diagnosed with chronic heart failure who have reduced ejection fraction prescribed ACE inhibitor medication who are on a dose that is higher than the starting dose.,The number in the denominator who are on a dose of ACE inhibitor medication that is higher than the starting dose.,The number of adults diagnosed with chronic heart failure who have reduced ejection fraction who are prescribed ACE inhibitor medication.
3,process,b,QS9-3-process-b,Proportion of adults diagnosed with chronic heart failure who have reduced ejection fraction prescribed beta‑blocker medication who are on a dose that is higher than the starting dose.,Blocker medication that is higher than the starting dose.,The number of adults diagnosed with chronic heart failure who have reduced ejection fraction who are prescribed beta‑blocker medication.
3,outcome,a,QS9-3-outcome-a,Mortality due to heart failure.,NA,NA
3,outcome,b,QS9-3-outcome-b,"Hospital admissions, inpatient hospital days and readmissions due to heart failure.",NA,NA
4,structure,a,QS9-4-structure-a,Evidence of local arrangements to ensure that adults with chronic heart failure have a review within 2 weeks of any change in the dose or type of their heart failure medication.,NA,NA
4,process,a,QS9-4-process-a,Proportion of changes to dose or type of chronic heart failure medication in which the person is reviewed within 2 weeks of a change.,The number in the denominator in which the person is reviewed within 2 weeks of the change in medication.,The number of changes to dose or type of chronic heart failure medication in adults with chronic heart failure.
4,outcome,a,QS9-4-outcome-a,Renal impairment.,NA,NA
4,outcome,b,QS9-4-outcome-b,"Hospital admissions, inpatient hospital days and readmissions.",NA,NA
5,structure,a,QS9-5-structure-a,Evidence of local arrangements to ensure that adults with stable chronic heart failure have a review of their condition at least every 6 months.,NA,NA
5,process,a,QS9-5-process-a,Proportion of adults with stable chronic heart failure who have had a review of their condition during the past 6 months.,The number in the denominator who have had a review of their condition during the past 6 months.,The number of adults with stable chronic heart failure.
5,outcome,a,QS9-5-outcome-a,Quality of life.,NA,NA
5,outcome,b,QS9-5-outcome-b,Renal impairment.,NA,NA
6,structure,a,QS9-6-structure-a,Evidence of local arrangements to ensure that adults with stable chronic heart failure are offered an exercise‑based programme of cardiac rehabilitation.,NA,NA
6,process,a,QS9-6-process-a,Proportion of adults diagnosed with stable chronic heart failure who have been referred to an exercise‑based programme of cardiac rehabilitation.,The number in the denominator who have a record of referral to an exercise‑based programme of cardiac rehabilitation.,The number of adults with stable chronic heart failure.
6,outcome,a,QS9-6-outcome-a,Rates of uptake of and adherence to programmes of cardiac rehabilitation.,NA,NA
6,outcome,b,QS9-6-outcome-b,Patient experience of programmes of cardiac rehabilitation.,NA,NA
7,structure,a,QS9-7-structure-a,"Evidence of local arrangements to provide programmes of cardiac rehabilitation during and outside working hours, and the choice of undertaking programmes at home, in the community or in a hospital setting.",NA,NA
7,process,a,QS9-7-process-a,"Proportion of people referred to a programme of cardiac rehabilitation who are offered sessions during and outside working hours, and the choice of undertaking the programme at home, in the community or in a hospital setting.","The number in the denominator offered sessions during and outside working hours, and the choice of undertaking the programme at home, in the community or in a hospital setting.",The number of adults with chronic heart failure referred to a programme of cardiac rehabilitation.
7,outcome,a,QS9-7-outcome-a,Rates of uptake of and adherence to programmes of cardiac rehabilitation.,NA,NA
7,outcome,b,QS9-7-outcome-b,Patient experience of programmes of cardiac rehabilitation.,NA,NA
