statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS145-1-structure-a,Evidence of local arrangements to ensure that children and young people who do not attend their immunisation appointment are followed up with a written recall invitation.,NA,NA
1,structure,b,QS145-1-structure-b,Evidence of local arrangements to ensure that children and young people who do not attend their immunisation appointment are followed up with a phone call or text message.,NA,NA
1,process,a,QS145-1-process-a,Proportion of children and young people who do not attend their immunisation appointment who are followed up with a written recall invitation.,The number in the denominator who are followed up with a written recall invitation.,The number of children and young people who do not attend an immunisation appointment.
1,process,b,QS145-1-process-b,Proportion of children and young people who do not attend their immunisation appointment who are followed up with a phone call or text message.,The number in the denominator who are followed up with a phone call or text message.,The number of children and young people who do not attend an immunisation appointment.
1,outcome,a,QS145-1-outcome-a,Immunisation after a recall invitation in under 19s.,NA,NA
2,structure,a,QS145-2-structure-a,Evidence of local arrangements to ensure that children and young people identified as having missed a childhood vaccination are offered the outstanding vaccination.,NA,NA
2,process,a,QS145-2-process-a,Proportion of children and young people identified as having missed a childhood vaccination who are offered the outstanding vaccination.,The number in the denominator who are offered the outstanding vaccination.,The number of children and young people identified as having missed a childhood vaccination.
2,process,b,QS145-2-process-b,Proportion of children and young people identified as having missed a childhood vaccination who are offered a referral to a service where they can receive an outstanding vaccination.,The number in the denominator who are offered a referral to a service where they can receive an outstanding vaccination.,The number of children and young people identified as having missed a childhood vaccination.
2,outcome,a,QS145-2-outcome-a,Immunisation after identification of missed immunisation appointments in under 19s.,NA,NA
3,structure,a,QS145-3-structure-a,Evidence of local arrangements to ensure that children and young people receiving a vaccination have it recorded electronically in their GP record.,NA,NA
3,structure,b,QS145-3-structure-b,Evidence of local arrangements to ensure that children and young people receiving a vaccination have it recorded on the CHIS.,NA,NA
3,structure,c,QS145-3-structure-c,Evidence of local arrangements to ensure that children and young people receiving a vaccination have it recorded in their personal child health record.,NA,NA
3,process,a,QS145-3-process-a,Proportion of children and young people receiving a vaccination who have it recorded on their GP record and personal child health record.,The number in the denominator who have their vaccination recorded on their GP record and personal child health record.,The number of children and young people receiving a vaccination identified as receiving one by CHIS.
3,outcome,a,QS145-3-outcome-a,Accurate planning for future population immunisation programmes and appointment requirements.,NA,NA
3,outcome,b,QS145-3-outcome-b,Timely administration of vaccines to children and young people.,NA,NA
4,structure,a,QS145-4-structure-a,Evidence of local arrangements to ensure that children and young people have their immunisation status checked at specific educational stages.,NA,NA
4,process,a,QS145-4-process-a,Proportion of children aged under 5 years who have their immunisation status checked at preschool entry by a health visitor.,The number in the denominator who have their immunisation status checked at preschool entry by the Healthy Child Programme team.,The number of children aged under 5 years.
4,process,b,QS145-4-process-b,Proportion of children aged 4 to 5 years who have their immunisation status checked at school entry.,The number in the denominator who have their immunisation status checked at school entry.,The number of children aged 4 to 5 years entering school.
4,process,c,QS145-4-process-c,Proportion of children and young people aged 4 to 19 years who have their immunisation status checked when they transfer to a new school.,The number in the denominator who have their immunisation status checked when they transfer to a new school.,The number of children and young people aged 5 to 19 years transferring to a new school.
4,process,d,QS145-4-process-d,Proportion of young people aged under 19 years who have their immunisation status checked at further educational setting entry.,The number in the denominator who have their immunisation status checked at further educational setting entry.,The number of young people aged under 19 years entering a further educational setting.
4,outcome,a,QS145-4-outcome-a,Identified children and young people in education with gaps in vaccination history.,NA,NA
4,outcome,b,QS145-4-outcome-b,Vaccine uptake in children and young people.,NA,NA
5,structure,a,QS145-5-structure-a,Evidence of local arrangements to ensure that young offenders have their immunisation status checked on entry into a secure setting.,NA,NA
5,structure,b,QS145-5-structure-b,Evidence of local arrangements to ensure that young offenders in secure settings are offered outstanding vaccinations.,NA,NA
5,process,a,QS145-5-process-a,Proportion of young offenders in secure settings who have their immunisation status checked on entry.,The number in the denominator who have their immunisation status checked on entry.,The number of young people entering secure settings.
5,process,b,QS145-5-process-b,Proportion of young offenders in secure settings identified as having gaps in their immunisation history who are offered outstanding vaccinations.,The number in the denominator who are offered outstanding vaccinations.,The number of young people entering secure settings identified as having gaps in their immunisation history.
5,outcome,a,QS145-5-outcome-a,Immunisation coverage in young offenders.,NA,NA
