statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS179-1-structure-a,Evidence of local arrangements to ensure that people whose work brings them into contact with children or young people are trained to recognise alerting features for abuse and neglect.,NA,NA,"Local data collection, for example, audit of organisational safeguarding policies and training records."
1,structure,b,QS179-1-structure-b,Evidence of local arrangements to ensure that people whose work brings them into contact with children or young people are trained to respond to child abuse and neglect in line with local safeguarding procedures.,NA,NA,"Local data collection, for example, audit of organisational safeguarding policies and training records."
1,structure,c,QS179-1-structure-c,"Evidence of local arrangements to ensure that there is a clear referral pathway to local authority children's social care, to be followed by anyone who has concerns about child abuse and neglect.",NA,NA,"Local data collection, for example, audit of organisational safeguarding policies, local authority referral pathways."
1,outcome,a,QS179-1-outcome-a,Number of children in need because of abuse or neglect.,To be determined locally,To be determined locally,"Characteristics of children in need: 2017 to 2018, Department for Education."
1,outcome,b,QS179-1-outcome-b,Number of children who were the subject of a child protection plan.,To be determined locally,To be determined locally,"Children in need census 2010 to 2011 (provisional), Department for Education."
2,structure,a,QS179-2-structure-a,Evidence of local arrangements to ensure that children and young people who have experienced abuse or neglect receive support from a consistent group of practitioners.,NA,NA,"Local data collection, for example, audit of service specification, protocols or practice."
2,structure,b,QS179-2-structure-b,Evidence of local arrangements to ensure that practitioners supporting children and young people who have experienced abuse or neglect work closely with other agencies involved in supporting the children and young people and their families.,NA,NA,"Local data collection, for example, audit of service specification, protocols or communication between agencies."
2,process,a,QS179-2-process-a,Proportion of children and young people supported by social workers because of their experience of abuse or neglect who had a change of social worker in the past 12 months.,The number in the denominator who had a change of social worker in the past 12 months.,The number of children and young people supported by a social worker because of their experience of abuse or neglect.,"Local data collection, for example, audit of children's social care records. The National Audit Office's pilot stability index for children in care requires data submission by the local authorities on changes to a social worker."
2,process,b,QS179-2-process-b,Proportion of children and young people supported by mental health practitioners because of their experience of abuse or neglect who had a change of practitioner in the past 12 months.,The number in the denominator who had a change of practitioner in the past 12 months.,The number of children and young people supported by a mental health practitioner because of their experience of abuse or neglect.,"Local data collection, for example, audit of child and adolescent mental health services records."
2,outcome,a,QS179-2-outcome-a,Experience of care and support received by children and young people who have experienced abuse or neglect.,To be determined locally,To be determined locally,"Local data collection, for example, feedback from children and young people supported by children's services."
