statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS138-1-structure-a,Deficiency anaemia who are having surgery are offered iron supplementation before surgery.,NA,NA
1,structure,b,QS138-1-structure-b,Deficiency anaemia are offered iron supplementation after surgery.,NA,NA
1,process,a,QS138-1-process-a,Deficiency anaemia who are having surgery and receive iron supplementation before surgery.,The number in the denominator who receive iron supplementation before surgery.,Deficiency anaemia who are having surgery.
1,process,b,QS138-1-process-b,Deficiency anaemia who receive iron supplementation after surgery.,The number in the denominator who receive iron supplementation.,Deficiency anaemia who have had surgery.
1,outcome,a,QS138-1-outcome-a,Blood transfusion rates associated with surgery.,NA,NA
2,structure,a,QS138-2-structure-a,Evidence of local arrangements to ensure that adults who are having surgery and are expected to have moderate blood loss are offered tranexamic acid.,NA,NA
2,process,a,QS138-2-process-a,Proportion of adults who are having surgery and are expected to have moderate blood loss who receive tranexamic acid.,The number of adults in the denominator who receive tranexamic acid.,The number of adults who are having surgery and are expected to have moderate blood loss.
2,outcome,a,QS138-2-outcome-a,Blood transfusion rates associated with surgery.,NA,NA
3,structure,a,QS138-3-structure-a,"Evidence of local arrangements to ensure that people are clinically reassessed after each unit of red blood cells they receive, unless they are bleeding or are on a chronic transfusion programme.",NA,NA
3,structure,b,QS138-3-structure-b,"Evidence of local arrangements to ensure that people have their haemoglobin levels checked after each unit of red blood cells they receive, unless they are bleeding or are on a chronic transfusion programme.",NA,NA
3,process,a,QS138-3-process-a,"Proportion of red blood cell transfusions where a clinical reassessment of the person is carried out after each unit of blood transfused, unless they are bleeding or on a chronic transfusion programme.",The number in the denominator where a clinical reassessment is carried out after each unit of blood transfused.,The number of red blood cell transfusions in people who are not bleeding or on a chronic transfusion programme.
3,process,b,QS138-3-process-b,"Proportion of red blood cell transfusions where the haemoglobin level of the person is checked after each unit of blood transfused, unless they are bleeding or on a chronic transfusion programme.",The number in the denominator where the haemoglobin level of the person is checked after each unit of blood transfused.,The number of red blood cell transfusions in people who are not bleeding or on a chronic transfusion programme.
3,outcome,a,QS138-3-outcome-a,Incidence of serious adverse events after red blood cell transfusion.,NA,NA
4,structure,a,QS138-4-structure-a,Evidence of local arrangements to ensure that people who may need or who have had a blood transfusion are given verbal and written information about blood transfusion.,NA,NA
4,process,a,QS138-4-process-a,Proportion of people who may need a blood transfusion who are given verbal and written information about blood transfusion.,The number in the denominator who are given verbal and written information about blood transfusion.,The number of people who may need a blood transfusion.
4,process,b,QS138-4-process-b,Proportion of people who have had a blood transfusion who are given verbal and written information about blood transfusion.,The number in the denominator who are given verbal and written information about blood transfusion.,The number of people who have had a blood transfusion.
4,outcome,a,QS138-4-outcome-a,Patient satisfaction with information they are given about blood transfusion.,NA,NA
