statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS103-1-structure-a,Evidence of local arrangements to ensure that adults presenting to hospital with new suspected acute heart failure have a single measurement of natriuretic peptide.,NA,NA
1,process,a,QS103-1-process-a,Proportion of adults presenting to hospital with new suspected acute heart failure who have a single measurement of natriuretic peptide.,The number in the denominator who have a single measurement of natriuretic peptide.,The number of presentations of adults to hospital with new suspected acute heart failure.
1,process,b,QS103-1-process-b,Proportion of hospitals that use appropriate assay thresholds of plasma BNP less than 100 ng/litre and plasma NT‑proBNP less than 300 ng/litre.,The number in the denominator that use appropriate assay thresholds of plasma BNP less than 100 ng/litre and plasma NT‑proBNP less than 300 ng/litre.,The number of hospitals in England to which people may present with suspected acute heart failure.
1,outcome,a,QS103-1-outcome-a,Mortality rates.,NA,NA
1,outcome,b,QS103-1-outcome-b,Length of stay.,NA,NA
1,outcome,c,QS103-1-outcome-c,Readmission rates.,NA,NA
2,structure,a,QS103-2-structure-a,Evidence of local arrangements to ensure that adults admitted to hospital with new suspected acute heart failure and raised natriuretic peptide levels have a transthoracic doppler 2D echocardiogram within 48 hours of admission.,NA,NA
2,process,a,QS103-2-process-a,Proportion of adults admitted to hospital with new suspected acute heart failure and raised natriuretic peptide levels who have a transthoracic doppler 2D echocardiogram within 48 hours of admission.,The number in the denominator who have a transthoracic doppler 2D echocardiogram within 48 hours of admission.,The number of hospital episodes of adults with new suspected acute heart failure and raised natriuretic peptide levels.
2,outcome,a,QS103-2-outcome-a,Mortality rates.,NA,NA
2,outcome,b,QS103-2-outcome-b,Length of stay.,NA,NA
2,outcome,c,QS103-2-outcome-c,.,NA,NA
2,outcome,d,QS103-2-outcome-d,Readmission rates.,NA,NA
3,structure,a,QS103-3-structure-a,Evidence of local arrangements to ensure that adults admitted to hospital with acute heart failure have input within 24 hours of admission from a dedicated specialist heart failure team.,NA,NA
3,process,a,QS103-3-process-a,Proportion of adults admitted to hospital with acute heart failure who have input within 24 hours of admission from a dedicated specialist heart failure team.,The number in the denominator who receive input within 24 hours of admission from a dedicated specialist heart failure team.,The number of adults admitted to hospital with acute heart failure.
3,outcome,a,QS103-3-outcome-a,Mortality rates.,NA,NA
3,outcome,b,QS103-3-outcome-b,Readmission rates.,NA,NA
4,structure,a,QS103-4-structure-a,"Evidence of local arrangements to ensure that adults with acute heart failure due to left ventricular systolic dysfunction are started on, or continue with, beta‑blocker treatment during their hospital admission.",NA,NA
4,process,a,QS103-4-process-a,Proportion of adults with acute heart failure due to left ventricular systolic dysfunction who are started on beta‑blocker treatment during their hospital admission.,The number in the denominator who are started on beta‑blocker treatment during their hospital admission.,The number of hospital admissions of adults with acute heart failure due to left ventricular systolic dysfunction in which the patient is not already taking a beta‑blocker.
4,process,b,QS103-4-process-b,Proportion of adults with acute heart failure due to left ventricular systolic dysfunction who continue with beta‑blocker treatment during their hospital admission.,The number in the denominator who continue beta‑blocker treatment during their hospital admission.,The number of hospital admissions of adults with acute heart failure due to left ventricular systolic dysfunction.
4,outcome,a,QS103-4-outcome-a,Mortality rates.,NA,NA
4,outcome,b,QS103-4-outcome-b,Readmission rates.,NA,NA
4,outcome,c,QS103-4-outcome-c,.,NA,NA
4,outcome,d,QS103-4-outcome-d,Beta‑blocker use at follow‑up.,NA,NA
4,outcome,e,QS103-4-outcome-e,Readmission rates.,NA,NA
5,structure,a,QS103-5-structure-a,Evidence of local arrangements to ensure that adults admitted to hospital with acute heart failure and reduced left ventricular ejection fraction are offered an ACE inhibitor and an aldosterone antagonist.,NA,NA
5,process,a,QS103-5-process-a,Proportion of new hospital admissions for adults with acute heart failure and reduced left ventricular ejection fraction when an ACE inhibitor and an aldosterone antagonist are offered.,The number in the denominator treated with an ACE inhibitor and an aldosterone antagonist.,The number of new hospital admissions for adults with acute heart failure and reduced left ventricular ejection fraction.
5,outcome,a,QS103-5-outcome-a,Mortality rates.,NA,NA
5,outcome,b,QS103-5-outcome-b,Readmission rates.,NA,NA
6,structure,a,QS103-6-structure-a,Or hospital‑based specialist heart failure team within 2 weeks of hospital discharge.,NA,NA
6,process,a,QS103-6-process-a,Or hospital‑based specialist heart failure team within 2 weeks of hospital discharge.,Or hospital‑based specialist heart failure team within 2 weeks of hospital discharge.,The number of hospital discharges of adults with a diagnosis of acute heart failure.
6,outcome,a,QS103-6-outcome-a,Mortality rates.,NA,NA
6,outcome,b,QS103-6-outcome-b,Readmission rates.,NA,NA
