statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS203-1-structure-a,Evidence of local arrangements to give GPs direct access to MRI for adults with suspected brain tumour.,NA,NA,"Data can be collected from information recorded locally by provider organisations, for example, service protocols that may be developed to support NHS England's Neurosurgery Transformation Programme."
1,process,a,QS203-1-process-a,Proportion of referrals for brain MRI that are GP direct referrals.,The number in the denominator that are GP direct referrals.,The number of referrals for brain MRI.,NHS England's Diagnostic imaging dataset includes details of GP direct referrals for brain MRI.
1,outcome,a,QS203-1-outcome-a,Time from presentation at GP to brain tumour diagnosis.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records."
2,structure,a,QS203-2-structure-a,Evidence of local processes to ensure that adults with brain tumours are assigned a named healthcare professional who coordinates their health and social care support at all stages of the care pathway.,NA,NA,"Data can be collected from information recorded locally by provider organisations, for example from service protocols."
2,process,a,QS203-2-process-a,Proportion of adults with brain tumours who have the name and contact details of a healthcare professional who coordinates their health and social care support.,The number in the denominator who have the name and contact details of a healthcare professional who coordinates their health and social care support.,The number of adults with brain tumours.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, audit of patient records. Providers may wish to check if some groups are less likely to have a named healthcare professional, such as those with a non-malignant tumour or those diagnosed following an emergency presentation. NHS England's National Cancer Patient Experience Survey includes data for part of the pathway for adults with brain tumours admitted to hospital for treatment who were given the name of a clinical nurse specialist who would support them during treatment."
2,outcome,a,QS203-2-outcome-a,Proportion of adults with brain tumours who are satisfied with the coordination of their health and social care support by their named healthcare professional.,The number in the denominator who are satisfied with the coordination of their health and social care support by their named healthcare professional.,The number of adults with brain tumours.,No routinely collected national data for this measure has been identified. Data could be collected from a local survey of adults with brain tumours and their family and carers. NHS England's National Cancer Patient Experience Survey includes data on ease of contacting a clinical nurse specialist for adults with brain tumours receiving hospital treatment.
3,structure,a,QS203-3-structure-a,Evidence that 5‑ALA-guided resection is available for adults with radiologically enhancing suspected high-grade gliomas that are suitable for resection of all enhancing tumour.,NA,NA,Data can be collected from implementation plans including access to a fluorescence-detecting microscope and specialist skills to undertake 5‑ALA-guided resection.
3,process,a,QS203-3-process-a,Proportion of adults with radiologically enhancing suspected high-grade gliomas that are suitable for resection of all enhancing tumour who received 5‑ALA-guided resection.,The number in the denominator who received 5‑ALA-guided resection.,The number of adults with radiologically enhancing suspected high-grade gliomas that are suitable for resection of all enhancing tumour.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records."
3,outcome,a,QS203-3-outcome-a,Proportion of adults with radiologically enhancing high-grade gliomas that are suitable for resection of all enhancing tumour who underwent resection where a 95% or greater reduction in tumour volume was achieved.,The number in the denominator who underwent resection where a 95% or greater reduction in tumour volume was achieved.,The number of adults with radiologically enhancing high-grade gliomas that are suitable for resection of all enhancing tumour.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records."
3,outcome,b,QS203-3-outcome-b,Progression-free survival in adults with radiologically enhancing high-grade gliomas that are suitable for resection of all enhancing tumour who had 5‑ALA-guided resection.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records."
4,structure,a,QS203-4-structure-a,"Evidence of local protocol to assess and discuss the risk of late effects of treatment with adults who finish treatment for brain tumours, at their first follow‑up appointment.",NA,NA,"Data could be collected from information recorded locally by healthcare professionals and provider organisations, for example, from service protocol and written treatment summaries."
4,process,a,QS203-4-process-a,Proportion of adults who finish treatment for brain tumours who have an assessment for their risk of late effects of treatment at their first follow‑up appointment.,The number in the denominator who have an assessment for their risk of late effects of treatment at their first follow‑up appointment.,The number of adults who finish treatment for brain tumours.,"Data could be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records."
4,process,b,QS203-4-process-b,Proportion of adults who finish treatment for brain tumours who have a documented discussion about their risk of late effects of treatment at their first follow‑up appointment.,The number in the denominator who have a documented discussion about their risk of late effects of treatment at their first follow‑up appointment.,The number of adults who finish treatment for brain tumours.,"Data could be collected from information recorded locally by healthcare professionals and provider organisations, for example, from patient records."
4,outcome,a,QS203-4-outcome-a,Adults who finish treatment for brain tumours feel informed about their risk of late effects of treatment.,To be determined locally,To be determined locally,Data could be collected from a local survey of adults who finish treatment for brain tumours and their family and carers.
5,structure,a,QS203-5-structure-a,"Evidence of local arrangements to provide neurological rehabilitation in the community and as an outpatient or inpatient, for adults with brain tumours.",NA,NA,"Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from referral criteria and pathways to neurological rehabilitation services."
5,outcome,a,QS203-5-outcome-a,Related quality of life for adults with brain tumours.,To be determined locally,To be determined locally,No routinely collected national data for this measure has been identified. Data could be collected from a local quality-of-life survey of adults with brain tumours and their family and carers including patient-reported outcome measures.
