statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS71-1-structure-a,"Evidence of local arrangements to ensure that people who have had a suspected transient loss of consciousness have an initial assessment to record details of the event, clinical history and physical examination.",NA,NA
1,process,a,QS71-1-process-a,Proportion of people with a suspected transient loss of consciousness who have the details of the event recorded.,The number in the denominator who have the details of the event recorded.,The number of people with a suspected transient loss of consciousness.
1,process,b,QS71-1-process-b,Proportion of people with a suspected transient loss of consciousness who have the details of the clinical history and physical examination assessment recorded.,The number in the denominator who have the details of the clinical history and physical examination assessment recorded.,The number of people with a suspected transient loss of consciousness.
2,structure,a,QS71-2-structure-a,Evidence of local arrangements to ensure that people who have had a transient loss of consciousness have a 12‑lead ECG during initial assessment.,NA,NA
2,process,a,QS71-2-process-a,Proportion of people who have had a transient loss of consciousness who have a 12‑lead ECG during initial assessment.,The number in the denominator who have a 12‑lead ECG during initial assessment.,The number of people who have had a transient loss of consciousness.
3,structure,a,QS71-3-structure-a,Evidence of local arrangements to ensure that people who have had a transient loss of consciousness and 1 or more 'red flag' signs or symptoms identified have an urgent specialist cardiovascular assessment within 24 hours of the initial assessment.,NA,NA
3,process,a,QS71-3-process-a,Proportion of people who have had transient loss of consciousness and 1 or more 'red flag' signs or symptoms identified who have an urgent specialist cardiovascular assessment within 24 hours of the initial assessment.,The number in the denominator who have an urgent specialist cardiovascular assessment within 24 hours.,The number of people who have had transient loss of consciousness and 1 or more 'red flag' signs or symptoms identified at initial assessment.
4,structure,a,QS71-4-structure-a,Evidence of local arrangements to ensure that people who have had a transient loss of consciousness are not routinely offered an EEG to investigate the event.,NA,NA
4,process,a,QS71-4-process-a,Proportion of people who have had a transient loss of consciousness who have an EEG recorded to investigate the event.,The number in the denominator who have an EEG recorded to investigate the event.,The number of people who have had a transient loss of consciousness.
5,structure,a,QS71-5-structure-a,Evidence of local arrangements to ensure that people who have had a transient loss of consciousness are advised not to drive while they are awaiting specialist assessment.,NA,NA
5,process,a,QS71-5-process-a,Proportion of people who have had transient loss of consciousness who are advised not to drive whilst awaiting specialist assessment.,The number in the denominator who are advised not to drive.,The number of people who have had transient loss of consciousness and are awaiting specialist assessment.
6,structure,a,QS71-6-structure-a,"Evidence of local arrangements to ensure that people with a suspected cardiac arrhythmic cause of syncope are offered an ambulatory ECG as a first‑line specialist investigation, with the type of ambulatory ECG chosen according to the person's history and frequency of transient loss of consciousness.",NA,NA
6,process,a,QS71-6-process-a,Proportion of people with a suspected cardiac arrhythmic cause of syncope who are offered an ambulatory ECG as a first‑line specialist investigation.,"The number in the denominator who receive an ambulatory ECG as a first‑line specialist investigation, with the type of ambulatory ECG chosen according to the person's history and frequency of transient loss of consciousness.",The number of people with a suspected cardiac arrhythmic cause of syncope.
