statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS114-1-structure-a,Evidence of local arrangements to ensure that adults with symptoms of irritable bowel syndrome are offered tests for inflammatory markers as first‑line investigation to exclude inflammatory causes.,NA,NA
1,process,a,QS114-1-process-a,Proportion of adults with symptoms of irritable bowel syndrome who have tests for inflammatory markers as first‑line investigation to exclude inflammatory causes.,The number in the denominator who have tests for inflammatory markers as first‑line investigation to exclude inflammatory causes.,The number of adults with symptoms of irritable bowel syndrome.
1,outcome,a,QS114-1-outcome-a,Number of adults diagnosed with irritable bowel syndrome.,NA,NA
2,structure,a,QS114-2-structure-a,Evidence of local arrangements to ensure that adults with symptoms of irritable bowel syndrome are given a positive diagnosis if no red flag indicators are present and investigations identify no other cause of symptoms.,NA,NA
2,process,a,QS114-2-process-a,Proportion of adults with symptoms of irritable bowel syndrome who receive a positive diagnosis if no red flag indicators are present and investigations identify no other cause of symptoms.,The number in the denominator who receive a positive diagnosis of irritable bowel syndrome.,The number of adults with symptoms of irritable bowel syndrome who have no red flag indicators and investigations identify no other cause of symptoms.
2,outcome,a,QS114-2-outcome-a,Incidence of irritable bowel syndrome.,NA,NA
2,outcome,b,QS114-2-outcome-b,Satisfaction with the irritable bowel syndrome diagnostic process.,NA,NA
3,structure,a,QS114-3-structure-a,Evidence of local arrangements to ensure that adults with irritable bowel syndrome are offered advice on further dietary management if their symptoms persist after they have followed general lifestyle and dietary advice.,NA,NA
3,process,a,QS114-3-process-a,Proportion of adults with irritable bowel syndrome who are offered advice on further dietary management if their symptoms persist after they have followed general lifestyle and dietary advice for an agreed time.,The number in the denominator who receive advice on further dietary management.,The number of adults with irritable bowel syndrome whose symptoms persist after they have followed general lifestyle and dietary advice for an agreed time.
3,outcome,a,QS114-3-outcome-a,People with irritable bowel syndrome feel confident to manage their condition.,NA,NA
3,outcome,b,QS114-3-outcome-b,Satisfaction with care received for irritable bowel syndrome.,NA,NA
4,structure,a,QS114-4-structure-a,Evidence of local arrangements to ensure that adults with irritable bowel syndrome agree their follow‑up with their healthcare professional.,NA,NA
4,structure,b,QS114-4-structure-b,To ensure that adults with irritable bowel syndrome have follow‑up as agreed with their healthcare professional.,NA,NA
4,process,a,QS114-4-process-a,Proportion of adults with irritable bowel syndrome who agree their follow‑up arrangements with their healthcare professional.,The number in the denominator who agree their follow‑up arrangements with their healthcare professional.,The number of adults with irritable bowel syndrome.
4,process,b,QS114-4-process-b,Proportion of adults with irritable bowel syndrome whose follow‑up takes place by the date agreed with their healthcare professional.,The number in the denominator whose follow‑up takes place by the date agreed.,The number of adults with irritable bowel syndrome who have a follow‑up date agreed with their healthcare professional.
4,outcome,a,QS114-4-outcome-a,People with irritable bowel syndrome feel confident to manage their condition.,NA,NA
4,outcome,b,QS114-4-outcome-b,Satisfaction with care received for irritable bowel syndrome.,NA,NA
