statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS44-1-structure-a,"Evidence of local arrangements to ensure that children with atopic eczema are offered, at diagnosis, an assessment that includes recording of their detailed clinical and treatment histories and identification of potential trigger factors.",NA,NA
1,process,a,QS44-1-process-a,"The proportion of children with atopic eczema who receive, at diagnosis, an assessment that includes recording of their detailed clinical and treatment histories and identification of potential trigger factors.","The number of children in the denominator who receive, at diagnosis, an assessment that includes recording of their detailed clinical and treatment histories and identification of potential trigger factors.",The number of children with newly diagnosed atopic eczema.
2,structure,a,QS44-2-structure-a,"Evidence of local arrangements to ensure that children with atopic eczema are offered treatment based on recorded eczema severity using the stepped-care plan, supported by education.",NA,NA
2,process,a,QS44-2-process-a,The proportion of children with atopic eczema who have their eczema severity recorded at each eczema consultation.,The number of children in the denominator who have their eczema severity recorded at each eczema consultation.,The number of eczema consultations with children with atopic eczema.
2,process,b,QS44-2-process-b,"The proportion of children with atopic eczema who receive treatment based on recorded eczema severity using the stepped-care plan, supported by education.","The number of children in the denominator who receive treatment based on recorded eczema severity using the stepped-care plan, supported by education.",The number of children with atopic eczema.
3,structure,a,QS44-3-structure-a,Evidence of local arrangements to ensure that children with atopic eczema have their (and their families') psychological wellbeing and quality of life discussed and recorded at each eczema consultation.,NA,NA
3,process,a,QS44-3-process-a,The proportion of eczema consultations with children with atopic eczema at which their (and their families') psychological wellbeing and quality of life is discussed and recorded.,The number of consultations in the denominator at which children's (and their families') psychological wellbeing and quality of life is discussed and recorded.,The number of eczema consultations with children with atopic eczema.
4,structure,a,QS44-4-structure-a,Evidence of local arrangements to prescribe children with atopic eczema sufficient quantities (250 g to 500 g weekly) from a choice of unperfumed emollients for daily use.,NA,NA
4,process,a,QS44-4-process-a,The proportion of children with atopic eczema who are prescribed sufficient quantities (250 g to 500 g weekly) of unperfumed emollients for daily use.,The number of children in the denominator who are prescribed sufficient quantities (250 g to 500 g weekly) of unperfumed emollients for daily use.,The number of children with atopic eczema.
5,structure,a,QS44-5-structure-a,"Evidence of local arrangements for children with uncontrolled or unresponsive atopic eczema, including recurring infections, or psychosocial problems related to the atopic eczema to be referred for specialist dermatological advice.",NA,NA
5,process,a,QS44-5-process-a,"The proportion of children with uncontrolled or unresponsive atopic eczema, including recurring infections, or psychosocial problems related to the atopic eczema who are referred for specialist dermatological advice.",The number of children in the denominator who are referred for specialist dermatological advice.,"The number of children with uncontrolled or unresponsive atopic eczema, including recurring infections, or psychosocial problems related to the atopic eczema."
6,structure,a,QS44-6-structure-a,Evidence of local arrangements for infants and young children with moderate or severe atopic eczema that has not been controlled by optimal treatment to be referred for specialist investigation to identify possible food and other allergies.,NA,NA
6,process,a,QS44-6-process-a,The proportion of infants and young children with moderate or severe atopic eczema that has not been controlled by optimal treatment who are referred for specialist investigation to identify possible food and other allergies.,The number of infants and young children in the denominator who are referred for specialist investigation to identify possible food and other allergies.,The number of infants and young children with moderate or severe atopic eczema that has not been controlled by optimal treatment.
7,structure,a,QS44-7-structure-a,Evidence of local arrangements to ensure that children with atopic eczema who have suspected eczema herpeticum receive immediate treatment with systemic aciclovir and are referred for same-day specialist dermatological advice.,NA,NA
7,process,a,QS44-7-process-a,The proportion of children with atopic eczema who have suspected eczema herpeticum who receive immediate treatment with systemic aciclovir and are referred for same-day specialist dermatological advice.,The number of children in the denominator who receive immediate treatment with systemic aciclovir and are referred for same-day specialist dermatological advice.,The number of children with atopic eczema who have suspected eczema herpeticum.
