statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS51-1-structure-a,Evidence of local arrangements to ensure that people with possible autism referred for a diagnostic assessment by an autism team have the assessment started within 3 months of their referral.,NA,NA
1,process,a,QS51-1-process-a,Proportion of people with possible autism referred to an autism team for a diagnostic assessment who have the assessment started within 3 months of their referral.,The number in the denominator who have a diagnostic assessment started within 3 months of referral to the autism team.,The number of people with possible autism referred to an autism team for a diagnostic assessment.
2,structure,a,QS51-2-structure-a,Evidence of local arrangements to ensure that people having a diagnostic assessment for autism are also assessed for coexisting physical health conditions and mental health problems.,NA,NA
2,process,a,QS51-2-process-a,The proportion of people having a diagnostic assessment for autism who are also assessed for coexisting physical health conditions and mental health problems.,The number in the denominator who have an assessment for coexisting physical health conditions and mental health problems.,The number of people having a diagnostic assessment for autism.
2,outcome,a,QS51-2-outcome-a,Morbidity from unidentified physical health conditions and mental health problems that affect the psychosocial functioning of the autistic person.,NA,NA
3,structure,a,QS51-3-structure-a,And the autism team.,NA,NA
3,process,a,QS51-3-process-a,And the autism team.,And the autism team.,The number of people diagnosed with autism.
3,process,b,QS51-3-process-b,And the autism team.,And the autism team.,The number of autistic people who have a personalised plan developed.
4,structure,a,QS51-4-structure-a,Evidence of local arrangements for autistic people to be offered a named key worker to coordinate the care and support detailed in their personalised plan.,NA,NA
4,process,a,QS51-4-process-a,The proportion of autistic people who are having the care and support detailed in their personalised plan coordinated by a named key worker.,The number in the denominator who are having their care and support coordinated by a named key worker.,The number of autistic people with an agreed personalised plan.
5,structure,a,QS51-5-structure-a,Appropriate psychosocial interventions to help address the core features of autism.,NA,NA
5,process,a,QS51-5-process-a,Appropriate psychosocial interventions to help address the core features of autism.,Appropriate psychosocial interventions to help address the core features of autism.,The number of autistic people.
6,structure,a,QS51-6-structure-a,Evidence of local arrangements to ensure that autistic people are not prescribed medication to address the core features of autism.,NA,NA
6,process,a,QS51-6-process-a,The proportion of autistic people who are prescribed medication to address the core features of autism.,The number in the denominator who are prescribed medication to address the core features of their autism.,The number of autistic people.
7,structure,a,QS51-7-structure-a,"Evidence of local arrangements to ensure that autistic people who develop behaviour that challenges are assessed for possible triggers, including physical health conditions, mental health problems and environmental factors.",NA,NA
7,process,a,QS51-7-process-a,"The proportion of autistic people who develop behaviour that challenges who are assessed for possible triggers, including physical health conditions, mental health problems and environmental factors.","The number in the denominator who are assessed for possible triggers, including physical health conditions, mental health problems and environmental factors.",The number of autistic people who develop behaviour that challenges.
8,structure,a,QS51-8-structure-a,Evidence of local arrangements to monitor the use of antipsychotic medication in autistic people with behaviour that challenges.,NA,NA
8,process,a,QS51-8-process-a,The proportion of autistic people with behaviour that challenges having antipsychotic medication for the treatment of their behaviour that challenges in whom psychosocial interventions are insufficient or cannot be delivered because of the severity of the behaviour.,The number in the denominator for whom psychosocial interventions are insufficient or cannot be delivered because of the severity of the behaviour.,The number of autistic people with behaviour that challenges currently receiving antipsychotic medication to manage their behaviour that challenges.
