statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS143-1-structure-a,"Evidence of local arrangements to ensure that women over 45 years presenting with menopausal symptoms are diagnosed with perimenopause or menopause based on their symptoms alone, without confirmatory laboratory tests.",NA,NA
1,process,a,QS143-1-process-a,"Proportion of women over 45 years diagnosed with perimenopause and menopause whose diagnosis is based on their symptoms alone, without confirmatory laboratory tests.","The number in the denominator whose diagnosis is based on their symptoms alone, without confirmatory laboratory tests.",The number of women over 45 years diagnosed with perimenopause or menopause.
1,outcome,a,QS143-1-outcome-a,Proportion of women over 45 years with menopause who felt reassured by their healthcare professional about their diagnosis.,NA,NA
1,outcome,b,QS143-1-outcome-b,Number of laboratory tests to confirm a diagnosis of menopause in women over 45 years.,NA,NA
2,structure,a,QS143-2-structure-a,Evidence of local arrangements to ensure that women under 40 years presenting with menopausal symptoms have their FSH levels measured.,NA,NA
2,process,a,QS143-2-process-a,Proportion of women under 40 years presenting with menopausal symptoms who have their FSH levels measured.,The number in the denominator who have their FSH levels measured.,The number of women under 40 years presenting with menopausal symptoms.
2,outcome,a,QS143-2-outcome-a,Proportion of women with premature ovarian insufficiency who had a positive experience of the diagnostic process.,NA,NA
2,outcome,b,QS143-2-outcome-b,Average time to diagnosis of premature ovarian insufficiency from first presenting with menopausal symptoms for women under 40 years.,NA,NA
2,outcome,c,QS143-2-outcome-c,Incidence of premature ovarian insufficiency.,NA,NA
3,structure,a,QS143-3-structure-a,Evidence of local arrangements to ensure that women with premature ovarian insufficiency are offered HRT or a combined hormonal contraceptive.,NA,NA
3,process,a,QS143-3-process-a,Proportion of women with premature ovarian insufficiency who receive HRT or a combined hormonal contraceptive.,The number in the denominator receiving HRT or a combined hormonal contraceptive.,The number of women with premature ovarian insufficiency.
3,outcome,a,QS143-3-outcome-a,Health-related quality of life for women with premature ovarian insufficiency.,NA,NA
3,outcome,b,QS143-3-outcome-b,"Long-term health effects (for example, osteoporosis or cardiovascular disease) in women with premature ovarian insufficiency.",NA,NA
4,structure,a,QS143-4-structure-a,Evidence of local arrangements to ensure that women having treatment for menopausal symptoms have a review 3 months after starting each treatment and then at least annually.,NA,NA
4,process,a,QS143-4-process-a,Proportion of women having treatment for menopausal symptoms who have a review 3 months after starting treatment.,The number in the denominator who have a review 3 months after starting treatment.,The number of women having treatment for menopausal symptoms.
4,process,b,QS143-4-process-b,Proportion of women receiving treatment for menopausal symptoms who have an annual review within 12 months of the 3-month review or last annual review.,The number in the denominator who have an annual review within 12 months of the 3-month review or last annual review.,The number of women receiving treatment for menopausal symptoms.
5,structure,a,QS143-5-structure-a,Evidence of local arrangements to ensure that women who are likely to go through menopause as a result of medical or surgical treatment are given information about menopause and fertility before they have their treatment.,NA,NA
5,process,a,QS143-5-process-a,Proportion of women having medical or surgical treatment that is likely to cause the menopause who are given information about menopause and fertility before they have their treatment.,The number in the denominator who are given information about menopause and fertility before they have their treatment.,The number of women who have medical or surgical treatment that is likely to cause the menopause.
5,outcome,a,QS143-5-outcome-a,Women having medical or surgical treatment that is likely to cause the menopause are aware of the symptoms of menopause.,NA,NA
