statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS106-1-structure-a,Evidence of local arrangements to ensure that adults having TURBT have detrusor muscle obtained during the procedure.,NA,NA,Local data collection.
1,process,a,QS106-1-process-a,Proportion of TURBT procedures during which detrusor muscle was obtained.,The number in the denominator in which detrusor muscle was taken at the time of performing the TURBT.,The number of TURBT procedures performed.,Local data collection.
2,structure,a,QS106-2-structure-a,"Evidence of local arrangements and written clinical protocols to ensure that adults with suspected bladder cancer who are having a first TURBT are offered a single dose of intravesical mitomycin C, given at the same time as the TURBT.",NA,NA,Local data collection.
2,process,a,QS106-2-process-a,Proportion of first TURBT procedures in which adults with suspected bladder cancer are given a single dose of intravesical mitomycin C.,The number in the denominator in which a single dose of intravesical mitomycin C is given.,The number of first TURBTs performed for adults with suspected bladder cancer.,Local data collection.
3,structure,a,QS106-3-structure-a,Evidence of local arrangements and written clinical protocols to ensure that designated clinical nurse specialists are accessible to adults with bladder cancer.,NA,NA,Local data collection.
3,process,a,QS106-3-process-a,Proportion of adults with bladder cancer who have a designated clinical nurse specialist.,The number in the denominator who have a designated clinical nurse specialist.,The number of adults with bladder cancer in secondary care.,Local data collection.
3,outcome,a,QS106-3-outcome-a,"Satisfaction with support received from a clinical nurse specialist, reported by adults with bladder cancer.",To be determined locally,To be determined locally,Local data collection. The National cancer patient experience survey collects data on support from a clinical nurse specialist for adults with urological cancers.
4,structure,a,QS106-4-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults with newly diagnosed non‑muscle‑invasive bladder cancer have a risk classification of their cancer completed.,NA,NA,Local data collection.
4,process,a,QS106-4-process-a,Proportion of adults with newly diagnosed non‑muscle‑invasive bladder cancer who have a risk classification of their cancer completed.,The number in the denominator who have a risk classification of their cancer completed.,The number of adults with a new diagnosis of non‑muscle‑invasive bladder cancer.,Local data collection.
5,structure,a,QS106-5-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults with high‑risk non‑muscle‑invasive bladder cancer discuss intravesical BCG and radical cystectomy with a urologist who performs both treatments and a clinical nurse specialist before a treatment option is agreed.,NA,NA,Local data collection.
5,process,a,QS106-5-process-a,The proportion of adults with high‑risk non‑muscle‑invasive bladder cancer who discuss intravesical BCG and radical cystectomy with a urologist who performs both treatments and a clinical nurse specialist before agreeing a treatment option.,The number in the denominator who have a discussion about intravesical BCG and radical cystectomy with a urologist who performs both treatments and a clinical nurse specialist before agreeing a treatment option.,The number of adults with newly diagnosed high‑risk non‑muscle‑invasive bladder cancer.,Local data collection.
5,outcome,a,QS106-5-outcome-a,Satisfaction with explanation of treatment options reported by adults with high‑risk non‑muscle‑invasive bladder cancer.,To be determined locally,To be determined locally,Local data collection.
6,structure,a,QS106-6-structure-a,"Evidence of local arrangements and written clinical protocols to ensure that adults with muscle‑invasive urothelial bladder cancer discuss neoadjuvant chemotherapy, radical cystectomy and radiotherapy using a radiosensitiser with a urologist who performs radical cystectomy, a clinical oncologist and a clinical nurse specialist.",NA,NA,Local data collection.
6,process,a,QS106-6-process-a,"The proportion of adults with muscle‑invasive urothelial bladder cancer who discuss neoadjuvant chemotherapy, radical cystectomy and radiotherapy using a radiosensitiser with a urologist who performs radical cystectomy, a clinical oncologist and a clinical nurse specialist before agreeing a treatment option.","The number in the denominator who have a discussion about neoadjuvant chemotherapy, radical cystectomy and radiotherapy using a radiosensitiser with a urologist who performs radical cystectomy, a clinical oncologist and a clinical nurse specialist before agreeing a treatment option.",The number of adults with muscle‑invasive urothelial bladder cancer.,Local data collection.
6,outcome,a,QS106-6-outcome-a,Satisfaction with explanation of treatment options reported by adults with muscle‑invasive urothelial bladder cancer.,To be determined locally,To be determined locally,Local data collection.
7,structure,a,QS106-7-structure-a,Evidence of local arrangements for adults who have had low‑risk non‑muscle‑invasive bladder cancer and who have no recurrence of the bladder cancer within 12 months of their initial TURBT to be discharged to primary care.,NA,NA,Local data collection.
7,process,a,QS106-7-process-a,Proportion of adults who have had low‑risk non‑muscle‑invasive bladder cancer and who have no recurrence of the bladder cancer within 12 months of their initial TURBT who are discharged to primary care.,The number in the denominator who are discharged to primary care.,The number of adults who have had low‑risk non‑muscle‑invasive bladder cancer who have no recurrence of the bladder cancer within 12 months of their initial TURBT.,Local data collection.
7,outcome,a,QS106-7-outcome-a,Satisfaction with discharge to primary care reported by adults who have had low‑risk non‑muscle‑invasive bladder cancer.,To be determined locally,To be determined locally,Local data collection.
