statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS78-1-structure-a,Evidence that sarcoma advisory groups and sarcoma MDTs have pathways for referral and diagnosis in place for people with suspected sarcoma.,NA,NA
1,structure,b,QS78-1-structure-b,Evidence of local arrangements to agree and communicate diagnostic pathways with primary and secondary care providers.,NA,NA
1,outcome,a,QS78-1-outcome-a,Stage of sarcoma at diagnosis.,NA,NA
2,structure,a,QS78-2-structure-a,"Evidence of written protocols and local arrangements for adults, children and young people with bone sarcoma and adults with soft tissue sarcoma to have their care plan confirmed by a sarcoma MDT and treatment delivered by services designated by the sarcoma advisory group.",NA,NA
2,structure,b,QS78-2-structure-b,Evidence of written protocols and pathways agreed between sarcoma MDTs and site‑specific cancer MDTs clarifying the circumstances in which patient care should be transferred from one team to the other.,NA,NA
2,process,a,QS78-2-process-a,"Proportion of adults, children and young people with bone sarcomas who have their care plan confirmed by a sarcoma MDT and treatment delivered by services designated by the sarcoma advisory group.",The number in the denominator who have their care plan confirmed by a sarcoma MDT and treatment delivered by services designated by the sarcoma advisory group.,"The number of adults, children and young people with bone sarcomas."
2,process,b,QS78-2-process-b,Proportion of adults with soft tissue sarcomas who have their care plan confirmed by a sarcoma MDT and treatment delivered by services designated by the sarcoma advisory group.,The number in the denominator who have their care plan confirmed by a sarcoma MDT and treatment delivered by services designated by the sarcoma advisory group.,The number of adults with soft tissue sarcomas.
3,structure,a,QS78-3-structure-a,"Evidence of local arrangements for sarcoma MDTs to publish information about shared pathways, activity and patient outcomes, including information on site‑specific sarcomas.",NA,NA
4,structure,a,QS78-4-structure-a,Evidence of local arrangements and protocols to ensure that people with a retroperitoneal sarcoma are referred before having any treatment to a sarcoma treatment centre with special expertise in managing this type of tumour.,NA,NA
4,process,a,QS78-4-process-a,Proportion of people with a retroperitoneal sarcoma who are referred before having any treatment to a sarcoma treatment centre with special expertise in managing this type of tumour.,The number in the denominator who are referred before having any treatment to a sarcoma treatment centre with special expertise in managing this type of tumour.,The number of people with a retroperitoneal sarcoma.
4,outcome,a,QS78-4-outcome-a,Retroperitoneal sarcoma survival rate.,NA,NA
5,structure,a,QS78-5-structure-a,Evidence of local arrangements and protocols to ensure that people who have planned resection of their sarcoma have it performed by a surgeon who is a core or extended member of a sarcoma MDT.,NA,NA
5,process,a,QS78-5-process-a,Proportion of planned sarcoma resections that are performed by a surgeon who is a core or extended member of a sarcoma MDT.,The number in the denominator that are performed by a surgeon who is a core or extended member of a sarcoma MDT.,The number of planned sarcoma resections.
5,outcome,a,QS78-5-outcome-a,30‑day mortality rate post‑sarcoma resection.,NA,NA
5,outcome,b,QS78-5-outcome-b,Recurrence within 2 years of initial surgery.,NA,NA
6,structure,a,QS78-6-structure-a,Evidence of local arrangements to provide a designated key worker with specialist knowledge of sarcomas and their treatment for all people with sarcoma.,NA,NA
6,process,a,QS78-6-process-a,Proportion of people with sarcoma who have an allocated key worker with specialist knowledge of sarcomas and their treatment.,The number in the denominator who are allocated a key worker with specialist knowledge of sarcomas and their treatment.,The number of people with sarcoma.
6,outcome,a,QS78-6-outcome-a,Coordination of care.,NA,NA
6,outcome,b,QS78-6-outcome-b,Patient satisfaction and availability of key worker.,NA,NA
