statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS129-1-structure-a,"Evidence that accessible information is available about the full range of contraceptive methods, including long-acting reversible contraception, and the local services that provide them.",NA,NA,Local data collection.
1,structure,b,QS129-1-structure-b,"Evidence of local processes and referral pathways to ensure that women asking for contraception from contraceptive services are given information about, and offered a choice of, all methods including long-acting reversible contraception.",NA,NA,Local data collection.
1,process,a,QS129-1-process-a,"Proportion of women who ask for contraception from contraceptive services who are given information about all methods, including long-acting reversible contraception.","The number in the denominator who are given information about all methods, including long-acting reversible contraception.",The number of women who ask for contraception from contraceptive services.,Local data collection.
1,process,b,QS129-1-process-b,"Proportion of women who ask for contraception from contraceptive services who are offered a choice of all contraceptive methods, including long-acting reversible contraception.","The number in the denominator who are offered a choice of all contraceptive methods, including long-acting reversible contraception.",The number of women who ask for contraception from contraceptive services.,Local data collection.
1,outcome,a,QS129-1-outcome-a,Contraceptive use in women.,To be determined locally,To be determined locally,Local data collection.
1,outcome,b,QS129-1-outcome-b,Uptake of long-acting reversible contraception.,To be determined locally,To be determined locally,Local data collection.
1,outcome,c,QS129-1-outcome-c,Women's satisfaction with their choice of contraceptive method.,To be determined locally,To be determined locally,Local data collection.
2,structure,a,QS129-2-structure-a,Evidence of local processes to ensure that women asking for emergency contraception are told that an intrauterine device is more effective than an oral method.,NA,NA,Local data collection.
2,process,a,QS129-2-process-a,Proportion of requests for emergency contraception where the woman is told that an intrauterine device is more effective than an oral method.,The number in the denominator where the woman is told that an intrauterine device is more effective than an oral method.,The number of requests for emergency contraception.,Local data collection. NHS Quality and Outcomes Framework indicator CON003 captures data on the provision of information about long-acting reversible methods of contraception to women who are prescribed emergency hormonal contraception by their GP.
2,outcome,a,QS129-2-outcome-a,Intrauterine device use as an emergency contraceptive.,To be determined locally,To be determined locally,Local data collection. NHS Digital's Sexual and Reproductive Health Activity Dataset includes information on methods of contraception for people using dedicated sexual and reproductive health services.
2,outcome,b,QS129-2-outcome-b,Abortion rate.,To be determined locally,To be determined locally,Local data collection. The Department of Health and Social Care's Abortion statistics can be analysed geographically.
3,structure,a,QS129-3-structure-a,Evidence of local processes to ensure that women discuss contraception and all contraceptive methods with a healthcare practitioner when being assessed for an abortion.,NA,NA,Local data collection.
3,structure,b,QS129-3-structure-b,Evidence of local processes to ensure that a healthcare practitioner offers women a choice of all contraceptive methods before discharge from an abortion service.,NA,NA,Local data collection.
3,process,a,QS129-3-process-a,Proportion of women who discuss contraception and all contraceptive methods with a healthcare practitioner at an assessment for abortion.,The number in the denominator who discuss contraception and all contraceptive methods with a healthcare practitioner.,The number of women having an assessment for abortion.,Local data collection.
3,process,b,QS129-3-process-b,Proportion of women who are offered a choice of all contraceptive methods before discharge from an abortion service.,The number in the denominator who are offered a choice of all contraceptive methods before discharge.,The number of women discharged from an abortion service.,Local data collection.
3,outcome,a,QS129-3-outcome-a,Uptake of long-acting reversible contraception at the time of abortion.,To be determined locally,To be determined locally,Local data collection.
3,outcome,b,QS129-3-outcome-b,Contraception uptake rate after abortion.,To be determined locally,To be determined locally,Local data collection.
3,outcome,c,QS129-3-outcome-c,Women who have more than 1 abortion.,To be determined locally,To be determined locally,Local data collection. The Department of Health and Social Care's Abortion statistics include data on repeat abortions.
4,structure,a,QS129-4-structure-a,Evidence of local processes to ensure that women who give birth are given information about all contraceptive methods by their midwife within 7 days of delivery.,NA,NA,Local data collection.
4,structure,b,QS129-4-structure-b,Evidence of local processes and referral pathways to ensure that women who give birth are offered a choice of all contraceptive methods by their midwife within 7 days of delivery.,NA,NA,Local data collection.
4,process,a,QS129-4-process-a,Proportion of women who give birth who are given information about all contraceptive methods by their midwife within 7 days of delivery.,The number in the denominator who are given information about all contraceptive methods by their midwife within 7 days of delivery.,The number of women who give birth.,Local data collection.
4,process,b,QS129-4-process-b,Proportion of women who give birth who are offered a choice of all contraceptive methods by their midwife within 7 days of delivery.,The number in the denominator who are offered a choice of all contraceptive methods by their midwife within 7 days of delivery.,The number of women who give birth.,Local data collection.
4,outcome,a,QS129-4-outcome-a,Satisfaction with advice about contraceptive methods after childbirth.,To be determined locally,To be determined locally,Local data collection
4,outcome,b,QS129-4-outcome-b,Contraception uptake rates in women who have given birth.,To be determined locally,To be determined locally,Local data collection.
4,outcome,c,QS129-4-outcome-c,Women who have a short interpregnancy interval.,To be determined locally,To be determined locally,Local data collection.
