statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS48-1-structure-a,Evidence of local arrangements to ensure that children and young people with suspected depression have a diagnosis confirmed and recorded in their medical records.,NA,NA,Local data collection.
1,process,a,QS48-1-process-a,Proportion of children and young people with suspected depression who have a diagnosis confirmed and recorded in their medical records.,The number of people in the denominator who have a diagnosis confirmed and recorded in their medical records.,The number of children and young people who presented with suspected depression.,Local data collection.
2,structure,a,QS48-2-structure-a,Evidence of local arrangements to ensure that children and young people with depression are given information appropriate to their age about the diagnosis and their treatment options.,NA,NA,Local data collection.
2,process,a,QS48-2-process-a,Proportion of children and young people with depression who are given information appropriate to their age about the diagnosis and their treatment options.,The number of people in the denominator given information appropriate to their age about the diagnosis and their treatment options.,The number of children and young people diagnosed with depression.,Local data collection.
2,outcome,a,QS48-2-outcome-a,Evidence from experience surveys and feedback that children and young people with depression understand the diagnosis and their treatment options.,To be determined locally,To be determined locally,Local data collection.
3,structure,a,QS48-3-structure-a,Evidence of local arrangements to ensure that CAMHS professionals assess all children and young people with suspected severe depression and at high risk of suicide within a maximum of 24 hours of referral.,NA,NA,NA
3,structure,b,QS48-3-structure-b,Evidence of local arrangements to ensure that children and young people with suspected severe depression and at high risk of suicide who are referred to CAMHS are provided with a safe place if necessary while waiting for an assessment.,NA,NA,Local data collection.
3,process,a,QS48-3-process-a,Proportion of children and young people with suspected severe depression and at high risk of suicide who are assessed by CAMHS professionals within 24 hours of referral.,The number of people in the denominator assessed by CAMHS professionals within 24 hours of referral.,The number of children and young people referred to CAMHS with suspected severe depression and at high risk of suicide.,"Local data collection. For CAMHS, data on referral and waiting times are collected in the Child and Adolescent Mental Health Services secondary uses data set."
4,structure,a,QS48-4-structure-a,Evidence of local arrangements to ensure that CAMHS professionals assess children and young people with suspected severe depression but not at high risk of suicide within a maximum of 2 weeks of referral.,NA,NA,Local data collection.
4,process,a,QS48-4-process-a,Proportion of children and young people with suspected severe depression but not at high risk of suicide who are assessed by CAMHS professionals within 2 weeks of referral.,The number of people in the denominator assessed by CAMHS professionals within 2 weeks of referral.,The number of children and young people referred to CAMHS with suspected severe depression but not at high risk of suicide.,"Local data collection. For CAMHS, data on referral and waiting times are collected in the Child and Adolescent Mental Health Services secondary uses data set."
5,structure,a,QS48-5-structure-a,Evidence of local arrangements to ensure that the health outcomes of children and young people receiving treatment for depression are recorded at the beginning and end of each step in treatment.,NA,NA,Local data collection.
5,process,a,QS48-5-process-a,Proportion of children and young people receiving treatment for depression who have their health outcomes recorded at the beginning and end of each step in treatment.,The number of people in the denominator who have their health outcomes recorded at the beginning and end of each step in treatment.,The number of children and young people receiving treatment for depression.,"Local data collection. For CAMHS (Child and Adolescent Mental Health Services), data on outcomes are collected in the Child and Adolescent Mental Health Services secondary uses data set. Routine outcome monitoring is part of The Children and Young People's IAPT project."
