statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS122-1-structure-a,Evidence of local prescribing protocols to direct antibiotic prescribing in children with bronchiolitis.,NA,NA
1,process,a,QS122-1-process-a,Proportion of diagnoses of bronchiolitis with a prescription for antibiotics in primary care.,The number in the denominator with a prescription for antibiotics.,The number of diagnoses of acute bronchiolitis in primary care.
1,process,b,QS122-1-process-b,Proportion of diagnoses of bronchiolitis with a prescription for antibiotics in secondary care.,The number in the denominator with a prescription for antibiotics.,The number of diagnoses of bronchiolitis in secondary care.
2,structure,a,QS122-2-structure-a,Limiting.,NA,NA
2,process,a,QS122-2-process-a,Limiting.,Limiting.,The number of diagnoses of bronchiolitis in primary care.
2,process,b,QS122-2-process-b,Limiting.,Limiting.,The number of diagnoses of bronchiolitis in secondary care.
2,outcome,a,QS122-2-outcome-a,Reported confidence in caring for children with bronchiolitis at home.,NA,NA
2,outcome,b,QS122-2-outcome-b,Antibiotic prescribing rates for bronchiolitis.,NA,NA
3,structure,a,QS122-3-structure-a,Evidence of local arrangements to ensure key safety information is provided to parents and carers of children with bronchiolitis being cared for at home.,NA,NA
3,process,a,QS122-3-process-a,Proportion of diagnoses of bronchiolitis in primary care where the parents and carers are given key safety information if the child is to be cared for at home.,The number in the denominator where the parents and carers are given key safety information.,The number of diagnoses of bronchiolitis in primary care where the child is to be cared for at home.
3,process,b,QS122-3-process-b,Proportion of discharges from hospital or emergency care of children with bronchiolitis where the parents and carers are given key safety information.,The number in the denominator where the parents and carers are given key safety information.,The number of discharges from hospital or emergency care of children with bronchiolitis.
3,outcome,a,QS122-3-outcome-a,Reported confidence in caring for children with bronchiolitis at home.,NA,NA
4,placeholder,NA,NA,NA,NA,NA
