statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS136-1-structure-a,Evidence of local arrangements to ensure that existing care plans for adults with social care needs are shared with the admitting team when they are admitted to hospital.,NA,NA
1,process,a,QS136-1-process-a,The proportion of adults with social care needs who have existing care plans shared with the admitting team when they are admitted to hospital.,The number in the denominator where the person's existing care plans are shared with the admitting team.,The number of hospital admissions of adults with social care needs.
1,outcome,a,QS136-1-outcome-a,People's experience of hospital admission.,NA,NA
2,structure,a,QS136-2-structure-a,Evidence of local arrangements to ensure that older people with complex needs have a comprehensive geriatric assessment started on admission to hospital.,NA,NA
2,process,a,QS136-2-process-a,Proportion of older people with complex needs who have a comprehensive geriatric assessment started on admission to hospital.,The number in the denominator where a comprehensive geriatric assessment is started on admission to hospital.,The number of hospital admissions of older people with complex needs.
2,outcome,a,QS136-2-outcome-a,Length of hospital stay for older people with complex needs.,NA,NA
2,outcome,b,QS136-2-outcome-b,Delayed transfers of care for older people with complex needs.,NA,NA
2,outcome,c,QS136-2-outcome-c,Permanent admissions to residential and nursing care homes in the 12 months after hospital admission.,NA,NA
3,structure,a,QS136-3-structure-a,Evidence of local arrangements to ensure that adults with social care needs who are in hospital have a named discharge coordinator.,NA,NA
3,process,a,QS136-3-process-a,Proportion of discharges from hospital of adults with social care needs where there is a named discharge coordinator.,The number in the denominator where there is a named discharge coordinator.,The number of discharges from hospital of adults with social care needs.
3,outcome,a,QS136-3-outcome-a,Delayed transfers of care for adults with social care needs.,NA,NA
3,outcome,b,QS136-3-outcome-b,Experience of the discharge process for adults with social care needs.,NA,NA
3,outcome,c,QS136-3-outcome-c,Readmission rates for adults with social care needs.,NA,NA
4,structure,a,QS136-4-structure-a,Evidence of local arrangements to ensure that adults with social care needs are given a copy of their agreed discharge plan before leaving hospital.,NA,NA
4,process,a,QS136-4-process-a,Proportion of discharges from hospital of adults with social care needs that include the person being given a copy of their agreed discharge plan before leaving hospital.,The number in the denominator where the person is given a copy of their agreed discharge plan before leaving hospital.,The number of discharges from hospital of adults with social care needs.
4,outcome,a,QS136-4-outcome-a,Readmission rates for adults with social care needs.,NA,NA
4,outcome,b,QS136-4-outcome-b,The experience of discharge from hospital for adults with social care needs.,NA,NA
5,structure,a,QS136-5-structure-a,Evidence of local arrangements to ensure that adults with social care needs have family or carers involved in discharge planning if they are providing support after discharge.,NA,NA
5,process,a,QS136-5-process-a,Proportion of discharges from hospital of adults with social care needs where family or carers are involved in discharge planning if they are providing support after discharge.,The number in the denominator where family and carers are involved in discharge planning.,The number of discharges from hospital of adults with social care needs where family or carers are providing support after discharge.
5,outcome,a,QS136-5-outcome-a,Delayed transfers of care for adults with social care needs.,NA,NA
5,outcome,b,QS136-5-outcome-b,Readmission rates for adults with social care needs.,NA,NA
5,outcome,c,QS136-5-outcome-c,Family and carer satisfaction with involvement in discharge planning for adults with social care needs.,NA,NA
