statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS79-1-structure-a,Evidence of local arrangements to ensure the availability of a multidisciplinary team with expertise in interstitial lung disease to diagnose idiopathic pulmonary fibrosis.,NA,NA
1,process,a,QS79-1-process-a,Proportion of people diagnosed with idiopathic pulmonary fibrosis by a multidisciplinary team with expertise in interstitial lung disease.,The number in the denominator whose condition was diagnosed with the consensus of a multidisciplinary team with expertise in interstitial lung disease.,The number of people diagnosed with idiopathic pulmonary fibrosis.
2,structure,a,QS79-2-structure-a,Evidence of local arrangements to ensure that an interstitial lung disease specialist nurse is available to people with idiopathic pulmonary fibrosis at all stages of the care pathway.,NA,NA
2,process,a,QS79-2-process-a,Proportion of people with idiopathic pulmonary fibrosis with an allocated interstitial lung disease specialist nurse.,The number in the denominator with an allocated interstitial lung disease specialist nurse.,The number of people with idiopathic pulmonary fibrosis.
2,outcome,a,QS79-2-outcome-a,"Satisfaction of people with idiopathic pulmonary fibrosis, and their families and carers, with the support they receive.",NA,NA
3,structure,a,QS79-3-structure-a,Evidence of local arrangements to ensure that people with idiopathic pulmonary fibrosis have an assessment for home and ambulatory oxygen therapy considered at each follow‑up appointment.,NA,NA
3,structure,b,QS79-3-structure-b,Evidence of local arrangements to ensure that people with idiopathic pulmonary fibrosis are assessed for home and ambulatory oxygen therapy before discharge if they have been admitted to hospital because of an exacerbation of the disease.,NA,NA
3,process,a,QS79-3-process-a,Proportion of idiopathic pulmonary fibrosis follow‑up appointments at which an assessment for home and ambulatory oxygen therapy was made.,The number in the denominator at which assessment for home and ambulatory oxygen therapy was carried out.,The number of follow‑up appointments for people with idiopathic pulmonary fibrosis.
3,process,b,QS79-3-process-b,Proportion of hospital stays because of an exacerbation of idiopathic pulmonary fibrosis during which an assessment for home and ambulatory oxygen therapy was made.,The number in the denominator during which an assessment for home and ambulatory oxygen therapy was carried out before discharge.,The number of hospital stays because of an exacerbation of idiopathic pulmonary fibrosis.
3,outcome,a,QS79-3-outcome-a,Quality of life and wellbeing of people with idiopathic pulmonary fibrosis.,NA,NA
4,structure,a,QS79-4-structure-a,Evidence of local arrangements to ensure that pulmonary rehabilitation programmes are tailored to the needs of people with idiopathic pulmonary fibrosis.,NA,NA
4,process,a,QS79-4-process-a,Proportion of people with idiopathic pulmonary fibrosis who are offered pulmonary rehabilitation tailored to idiopathic pulmonary fibrosis.,The number in the denominator whose pulmonary rehabilitation is tailored to idiopathic pulmonary fibrosis.,The number of people with idiopathic pulmonary fibrosis who start pulmonary rehabilitation.
4,outcome,a,QS79-4-outcome-a,Quality of life and wellbeing of people with idiopathic pulmonary fibrosis.,NA,NA
4,outcome,b,QS79-4-outcome-b,"Hospital admissions, inpatient hospital days and readmissions for people with idiopathic pulmonary fibrosis.",NA,NA
5,structure,a,QS79-5-structure-a,Evidence of local arrangements to ensure that people with idiopathic pulmonary fibrosis and their families and carers have access to services that meet their palliative care needs.,NA,NA
5,process,a,QS79-5-process-a,.,Have been assessed.,The number of follow‑up appointments for people with idiopathic pulmonary fibrosis.
5,process,b,QS79-5-process-b,Are met.,Are met.,The number of people with idiopathic pulmonary fibrosis whose palliative care needs have been assessed.
5,outcome,a,QS79-5-outcome-a,"Satisfaction of people with idiopathic pulmonary fibrosis, and their families and carers, with the support they receive to manage their condition.",NA,NA
