statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS20-1-structure-a,Evidence of local arrangements to ensure that there is a clinical lead responsible for implementing the testing pathway for Lynch syndrome.,NA,NA,Cancer Alliances in England have a record of the clinical lead responsible for implementing the testing pathway for Lynch syndrome within regional cancer multidisciplinary teams.
1,process,a,QS20-1-process-a,Proportion of adults with a new diagnosis of colorectal cancer who had IHC for mismatch repair proteins or microsatellite instability testing on the tumour.,The number in the denominator who had IHC for mismatch repair proteins or microsatellite instability testing on the tumour.,The number of adults with a new diagnosis of colorectal cancer.,The National Disease Registration Service collects data on IHC for mismatch repair proteins and microsatellite instability tests and results from pathology laboratories and genomic laboratory hubs. The National Bowel Cancer Audit collects patient-level data on performance of mismatch repair protein and microsatellite instability tests.
1,process,b,QS20-1-process-b,"Proportion of adults with a new diagnosis of colorectal cancer and a tumour that shows abnormal MLH1 expression by IHC, or microsatellite instability, who had BRAF V600E mutation testing.",The number in the denominator who had BRAF V600E mutation testing.,"The number of adults with a new diagnosis of colorectal cancer and a tumour that shows abnormal MLH1 expression by IHC, or microsatellite instability.",The National Disease Registration Service collects data on performance of BRAF V600E mutation testing and results. The National Bowel Cancer Audit collects data on performance of BRAF V600E mutation tests.
1,process,c,QS20-1-process-c,"Proportion of adults with a new diagnosis of colorectal cancer and a tumour that shows abnormal MLH1 expression by IHC, or microsatellite instability, and a negative BRAF V600E test who had MLH1 promoter hypermethylation testing.",The number in the denominator who had MLH1 promoter hypermethylation testing.,"The number of adults with a new diagnosis of colorectal cancer and a tumour that shows abnormal MLH1 expression by IHC, or microsatellite instability, and a negative BRAF V600E test.",The National Disease Registration Service collects data on MLH1 promoter hypermethylation testing and results.
1,process,d,QS20-1-process-d,Proportion of adults with a new diagnosis of colorectal cancer and test results suggestive of Lynch syndrome-associated colorectal cancer who had genetic testing of germline DNA to confirm Lynch syndrome.,The number in the denominator who had genetic testing of germline DNA to confirm Lynch syndrome.,The number of adults with a new diagnosis of colorectal cancer and test results suggestive of Lynch syndrome-associated colorectal cancer.,The National Disease Registration Service collects data on the performance of germline testing for Lynch syndrome.
1,outcome,a,QS20-1-outcome-a,Rate of diagnosis of Lynch syndrome in adults with a new diagnosis of colorectal cancer.,To be determined locally,To be determined locally,The National Disease Registration Service collects data on germline testing for Lynch syndrome.
2,structure,a,QS20-2-structure-a,Evidence of availability of information to support discussions about all potential treatment options for adults with early rectal cancer.,NA,NA,"No routinely collected national data for this measure has been identified. Data could be collected from information recorded locally by healthcare professionals, for example the availability of resources to help prepare for discussing options and making shared decisions. The National Bowel Cancer Audit organisational survey in 2022 will include a question at provider level on whether written information on different treatment options is provided to adults with rectal cancer."
2,process,a,QS20-2-process-a,Proportion of adults with early rectal cancer who had a discussion about all potential treatment options with their healthcare professional.,The number in the denominator who had a discussion about all potential treatment options with their healthcare professional.,The number of adults with early rectal cancer.,"No routinely collected national data for this measure in adults with early rectal cancer has been identified. Data can be collected from information recorded locally by healthcare professionals, for example from patient records. The National Cancer Patient Experience Survey includes a question that asks if treatment options were discussed with the person with colorectal cancer before cancer treatment started, but this is not limited to those with early rectal cancer."
3,structure,a,QS20-3-structure-a,Evidence of local arrangements and clinical protocols to ensure that adults with metastatic colorectal cancer suitable for systemic anti-cancer treatment have testing to identify tumours with RAS and BRAF V600E mutations.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example written clinical protocols. The National Bowel Cancer Audit plans to report on RAS and BRAF testing at provider level."
3,process,a,QS20-3-process-a,Proportion of adults with metastatic colorectal cancer suitable for systemic anti-cancer treatment who had testing to identify tumours with RAS and BRAF V600E mutations.,The number in the denominator who had testing to identify tumours with RAS and BRAF V600E mutations.,The number of adults with metastatic colorectal cancer suitable for systemic anti-cancer treatment.,The National Disease Registration Service collects data on RAS and BRAF testing. The National Bowel Cancer Audit collects patient-level data on the performance of RAS and BRAF V600E tests in stage IV disease.
