statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS177-1-structure-a,Evidence of specialist pancreatic cancer MDTs in the area.,NA,NA,"Local data collection, for example service protocols, or local or regional network arrangements."
1,structure,b,QS177-1-structure-b,Evidence of clear care pathways between local cancer units and specialist pancreatic cancer MDTs.,NA,NA,"Local data collection, for example local or regional network arrangements, documented local referral policies or agreed patient pathways."
1,process,a,QS177-1-process-a,Proportion of adults with suspected pancreatic cancer who have their diagnosis and care agreed by a specialist pancreatic cancer MDT.,The number in the denominator who have their diagnosis and care agreed by a specialist pancreatic cancer MDT.,The number of adults with suspected pancreatic cancer.,"Local data collection, for example patient records or local cancer unit reports."
1,outcome,a,QS177-1-outcome-a,Proportion of adults with a pancreatic cancer diagnosis confirmed by a specialist pancreatic cancer MDT.,To be determined locally,To be determined locally,National Cancer Registration and Analysis Service.
1,outcome,b,QS177-1-outcome-b,Proportion of adults with pancreatic cancer receiving pancreatic cancer treatment.,To be determined locally,To be determined locally,National Cancer Registration and Analysis Service.
1,outcome,c,QS177-1-outcome-c,Proportion of adults with pancreatic cancer who agree they were given enough care and support from healthcare services.,To be determined locally,To be determined locally,"Local data collection, for example surveys carried out with people with pancreatic cancer or their families."
2,structure,a,QS177-2-structure-a,"Evidence of local arrangements to ensure that FDG‑PET/CT is used for staging in adults with localised pancreatic cancer on CT before they have surgery, radiotherapy or systemic therapy.",NA,NA,"Local data collection, for example service protocols."
2,process,a,QS177-2-process-a,"Proportion of adults with localised pancreatic cancer on CT having surgery, radiotherapy or systemic therapy who had FDG‑PET/CT before receiving cancer treatment.",The number in the denominator who had FDG‑PET/CT staging before receiving treatment.,"The number of adults with localised pancreatic cancer on CT who had surgery, radiotherapy or systemic therapy.","Local data collection, for example patient records."
2,outcome,a,QS177-2-outcome-a,Proportion of adults with pancreatic cancer who have staging recorded at diagnosis.,To be determined locally,To be determined locally,National Cancer Registration and Analysis Service.
2,outcome,b,QS177-2-outcome-b,Proportion of adults with localised pancreatic cancer on CT who were found to have metastatic disease on FDG‑PET/CT.,To be determined locally,To be determined locally,National Cancer Registration and Analysis Service.
3,structure,a,QS177-3-structure-a,"Evidence of local care protocols, which ensure that adults with resectable pancreatic cancer and obstructive jaundice have resectional surgery without preoperative biliary drainage unless the drainage is specifically indicated.",NA,NA,"Local data collection, for example service protocols, regional network arrangements, documented local referral policies or agreed patient pathways."
3,process,a,QS177-3-process-a,Proportion of adults with resectable pancreatic cancer and obstructive jaundice with no indication for preoperative biliary drainage who had resectional surgery without the drainage.,The number in the denominator who had resectional surgery without preoperative biliary drainage.,The number of adults with resectable pancreatic cancer and obstructive jaundice with no indication for preoperative biliary drainage.,"Local data collection, for example patient records."
3,outcome,a,QS177-3-outcome-a,Time to resectional surgery for adults with resectable pancreatic cancer and obstructive jaundice.,To be determined locally,To be determined locally,NHS England's cancer waiting times.
3,outcome,b,QS177-3-outcome-b,Disease-free survival in adults with resectable pancreatic cancer and obstructive jaundice who had resectable surgery without preoperative biliary drainage.,To be determined locally,To be determined locally,"Local data collection, for example patient records."
3,outcome,c,QS177-3-outcome-c,Overall survival in adults with resectable pancreatic cancer.,To be determined locally,To be determined locally,"Local data collection, for example patient records."
3,outcome,d,QS177-3-outcome-d,Health-related quality of life in adults with pancreatic cancer.,To be determined locally,To be determined locally,"Local data collection, for example surveys carried out with people with pancreatic cancer or their families."
4,structure,a,QS177-4-structure-a,Evidence of local arrangements to ensure that adults with unresectable pancreatic cancer are prescribed enteric-coated pancreatin.,NA,NA,"Local data collection, for example service specification or local protocols."
4,structure,b,QS177-4-structure-b,Evidence of local arrangements to ensure that adults with unresectable pancreatic cancer prescribed enteric-coated pancreatin receive advice on how to take it.,NA,NA,"Local data collection, for example service specification or local protocols."
4,process,a,QS177-4-process-a,Proportion of adults with unresectable pancreatic cancer prescribed enteric-coated pancreatin.,The number in the denominator prescribed enteric-coated pancreatin.,The number of adults with unresectable pancreatic cancer.,"Local data collection, for example patient records."
4,outcome,a,QS177-4-outcome-a,Malnutrition Universal Screening Tool (MUST) score in adults with unresectable pancreatic cancer.,To be determined locally,To be determined locally,"Local data collection, for example patient records."
4,outcome,b,QS177-4-outcome-b,Health-related quality of life in people with pancreatic cancer.,To be determined locally,To be determined locally,National cancer patient experience survey.
5,placeholder,NA,QS177-5-placeholder,NA,NA,NA,NA
