statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS62-1-structure-a,Evidence of local arrangements to ensure that children and young people with constipation receive a full assessment before a diagnosis of idiopathic constipation is made.,NA,NA
1,process,a,QS62-1-process-a,Proportion of children and young people with constipation who receive a full assessment.,The number in the denominator who receive a full assessment.,The number of children and young people with constipation.
2,structure,a,QS62-2-structure-a,Line treatment.,NA,NA
2,process,a,QS62-2-process-a,Proportion of diagnosed cases of idiopathic constipation in children and young people for which oral macrogols are prescribed as first‑line treatment.,The number in the denominator for which oral macrogols are prescribed as first‑line treatment.,The number of diagnosed cases of idiopathic constipation in children and young people.
2,outcome,a,QS62-2-outcome-a,Rates of unplanned hospital attendance for idiopathic constipation.,NA,NA
3,structure,a,QS62-3-structure-a,Evidence of local arrangements to ensure that children and young people with idiopathic constipation starting faecal disimpaction therapy have their treatment reviewed by a healthcare professional within 1 week.,NA,NA
3,process,a,QS62-3-process-a,Proportion of children and young people with idiopathic constipation starting disimpaction therapy who receive a review of their treatment from a healthcare professional within 1 week.,The number in the denominator who receive a review of their treatment from a healthcare professional within 1 week.,The number of children and young people with idiopathic constipation starting disimpaction therapy.
3,outcome,a,QS62-3-outcome-a,Rates of reimpaction.,NA,NA
3,outcome,b,QS62-3-outcome-b,Production of regular soft stools.,NA,NA
3,outcome,c,QS62-3-outcome-c,Rates of unplanned hospital attendance for constipation.,NA,NA
4,structure,a,QS62-4-structure-a,Evidence of local arrangements to ensure that children and young people with idiopathic constipation starting maintenance therapy receive their first treatment review from a healthcare professional within 6 weeks.,NA,NA
4,process,a,QS62-4-process-a,Proportion of children and young people with idiopathic constipation starting maintenance therapy who receive a review of their treatment from a healthcare professional within 6 weeks.,The number in the denominator who receive their first treatment review from a healthcare professional within 6 weeks.,The number of children and young people with idiopathic constipation starting maintenance therapy.
4,outcome,a,QS62-4-outcome-a,Rates of reimpaction.,NA,NA
4,outcome,b,QS62-4-outcome-b,Production of regular soft stools.,NA,NA
4,outcome,c,QS62-4-outcome-c,Rates of unplanned hospital attendance for constipation.,NA,NA
5,structure,a,QS62-5-structure-a,"Evidence of local arrangements for children and young people with idiopathic constipation starting laxative treatment, or their parents or carers, to receive written information about laxatives.",NA,NA
5,process,a,QS62-5-process-a,"Proportion of children and young people with idiopathic constipation starting laxative treatment, or their parents or carers, who receive written information about laxatives.",The number in the denominator receiving written information about laxatives at the start of treatment.,"The number of children and young people with idiopathic constipation starting laxative treatment, or their parents or carers."
5,outcome,a,QS62-5-outcome-a,"Satisfaction of children and young people, or their parents or carers, with the provision of information on laxatives to help them to manage the condition.",NA,NA
6,structure,a,QS62-6-structure-a,Evidence of local arrangements and written clinical protocols to ensure that children and young people with idiopathic constipation that does not respond to initial treatment within 3 months are referred to a healthcare professional with expertise in the problem.,NA,NA
6,process,a,QS62-6-process-a,Proportion of children and young people with idiopathic constipation that does not respond to initial treatment within 3 months who are referred to a healthcare professional with expertise in the problem.,The number in the denominator who are referred to a healthcare professional with expertise in the problem.,The number of children and young people with idiopathic constipation that does not respond to initial treatment within 3 months.
6,outcome,a,QS62-6-outcome-a,Rates of recurrent presentation to general practice.,NA,NA
