statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS58-1-structure-a,"Evidence of local arrangements to ensure that people who present at hospital with an acute painful sickle cell episode have a pain assessment, a clinical assessment and appropriate analgesia within 30 minutes of presentation.",NA,NA
1,process,a,QS58-1-process-a,"Proportion of people who present at hospital with an acute painful sickle cell episode and have a pain assessment, a clinical assessment and appropriate analgesia within 30 minutes of presentation.","The number of people in the denominator who have a pain assessment, a clinical assessment and appropriate analgesia within 30 minutes of presentation.",The number of people who present at hospital with an acute painful sickle cell episode.
1,process,b,QS58-1-process-b,Proportion of people who present at hospital with an acute painful sickle cell episode who have their pain assessed using an age-appropriate pain scoring tool.,The number of people in the denominator who have their pain assessed using an age-appropriate pain scoring tool.,The number of people who present at hospital with an acute painful sickle cell episode.
2,structure,a,QS58-2-structure-a,Evidence of local arrangements to ensure that people with an acute painful sickle cell episode have their pain relief reassessed every 30 minutes until satisfactory pain relief has been achieved and then at least every 4 hours.,NA,NA
2,process,a,QS58-2-process-a,Proportion of people with an acute painful sickle cell episode who have their pain relief reassessed every 30 minutes after pain relief is started until satisfactory pain relief has been achieved.,The number of people in the denominator who have their pain relief reassessed every 30 minutes after pain relief is started until satisfactory pain relief has been achieved.,The number of people with an acute painful sickle cell episode.
2,process,b,QS58-2-process-b,Proportion of people with an acute painful sickle cell episode who have achieved satisfactory pain relief who have their pain relief assessed at least every 4 hours until discharge or the end of the episode.,The number of people in the denominator who have their pain relief assessed at least every 4 hours until discharge or the end of the episode.,The number of people with an acute painful sickle cell episode who have achieved satisfactory pain relief.
2,process,c,QS58-2-process-c,Proportion of people with an acute painful sickle cell episode who have their pain relief reassessed using an age-appropriate pain scoring tool.,The number of people in the denominator who have their pain relief reassessed using an age-appropriate pain scoring tool.,The number of people with an acute painful sickle cell episode.
3,structure,a,QS58-3-structure-a,Evidence of local arrangements to ensure that people with an acute painful sickle cell episode who are taking strong opioids have monitoring for adverse events every hour for the first 6 hours after first administration or step up of pain relief and then at least every 4 hours.,NA,NA
3,process,a,QS58-3-process-a,Proportion of people with an acute painful sickle cell episode taking strong opioids who are monitored for adverse events every hour for the first 6 hours after first administration or step up of pain relief.,The number of people in the denominator who are monitored for adverse events every hour for the first 6 hours after first administration or step up of pain relief.,The number of people with an acute painful sickle cell episode taking strong opioids.
3,process,b,QS58-3-process-b,Proportion of people with an acute painful sickle cell episode taking strong opioids who have had hourly monitoring for adverse events for the first 6 hours after first administration or step up of pain relief and who are then monitored for adverse events at least every 4 hours until discharge or the end of the episode.,The number of people in the denominator who are monitored for adverse events at least every hour 4 hours until discharge or the end of the episode.,The number of people with an acute painful sickle cell episode taking strong opioids who have had hourly monitoring for adverse events for 6 hours following first administration or step up of pain relief.
4,structure,a,QS58-4-structure-a,Evidence of local arrangements to ensure that healthcare professionals caring for people with an acute painful sickle cell episode are aware of acute chest syndrome as a potential complication.,NA,NA
4,structure,b,QS58-4-structure-b,"Evidence of local arrangements to ensure that people with an acute painful sickle cell episode are assessed for acute chest syndrome if they have 1 or more of the following: abnormal respiratory signs or symptoms, chest pain, fever, or signs and symptoms of hypoxia.",NA,NA
4,process,a,QS58-4-process-a,"Proportion of people with an acute painful sickle cell episode with 1 or more of the following: abnormal respiratory signs or symptoms, chest pain, fever, or signs and symptoms of hypoxia who are assessed for acute chest syndrome.",The number of people in the denominator who are assessed for acute chest syndrome.,"The number of people with an acute painful sickle cell episode who have 1 or more of the following: abnormal respiratory signs or symptoms, chest pain, fever, or signs and symptoms of hypoxia."
5,structure,a,QS58-5-structure-a,Evidence of local arrangements to ensure that locally agreed protocols on how to treat and manage acute painful sickle cell episodes are available and reviewed regularly.,NA,NA
5,structure,b,QS58-5-structure-b,Evidence of local arrangements to ensure that all healthcare professionals who care for people with an acute painful sickle cell episode have access to specialist support from designated centres.,NA,NA
5,outcome,a,QS58-5-outcome-a,Staff awareness of how to access locally agreed protocols for treatment and management of acute painful sickle cell episodes.,NA,NA
5,outcome,b,QS58-5-outcome-b,Staff awareness of how to access specialist support from their designated specialist centre.,NA,NA
6,structure,a,QS58-6-structure-a,Evidence of local arrangements to ensure that people with an acute painful sickle cell episode are given information before discharge on how to continue to manage their current episode.,NA,NA
6,process,a,QS58-6-process-a,Proportion of people with an acute painful sickle cell episode (or their parents or carers if appropriate) who are given information before discharge on how to continue to manage their current episode.,The number of people in the denominator (or parents or carers if appropriate) who are given information on how to continue to manage their current episode.,The number of people with an acute painful sickle cell episode who are discharged from hospital.
