statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS94-1-structure-a,"Evidence that local authorities and NHS organisations provide, or make contractual arrangements for the provision of, healthy food and drink options in any vending machines in their venues that are used by children and young people.",NA,NA,Local data collection.
1,process,a,QS94-1-process-a,Proportion of local authority and NHS venues used by children and young people with vending machines that have vending machines that contain healthy food and drink options.,The number in the denominator that have vending machines that contain healthy food and drink options.,The number of local authority and NHS venues used by children and young people with vending machines.,Local data collection.
2,structure,a,QS94-2-structure-a,Evidence that local authorities and NHS organisations ensure that information on the nutritional content of meals is included on menus at venues that are used by children and young people.,NA,NA,Local data collection.
3,structure,a,QS94-3-structure-a,Evidence that local authority and NHS venues used by children and young people make arrangements to display healthy food and drink options in prominent positions.,NA,NA,Local data collection.
3,outcome,a,QS94-3-outcome-a,Sales of healthy food and drink options.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS94-4-structure-a,Evidence that an up‑to‑date list of local lifestyle weight management programmes for children and young people is made publically available by the local authority.,NA,NA,Local data collection.
4,outcome,a,QS94-4-outcome-a,"Number of referrals (including self‑referrals, by children and young people or their parents or carers) to lifestyle weight management programmes.",To be determined locally,To be determined locally,Local data collection.
5,structure,a,QS94-5-structure-a,"Evidence of written protocols and local arrangements for healthcare professionals and other professionals to give information about local lifestyle weight management programmes to children and young people identified as being overweight or obese, and their parents or carers (as appropriate).",NA,NA,Local data collection.
5,process,a,QS94-5-process-a,"Proportion of children and young people identified as being overweight or obese, and their parents or carers as appropriate, who are given information about local lifestyle weight management programmes.",The number in the denominator who are given information about local lifestyle weight management programmes.,"The number of children and young people identified as being overweight or obese, and their parents or carers as appropriate.",Local data collection.
5,outcome,a,QS94-5-outcome-a,Number of children and young people enrolling in lifestyle weight management programmes.,To be determined locally,To be determined locally,Local data collection.
6,structure,a,QS94-6-structure-a,"Evidence that providers of lifestyle weight management programmes for children and young people invite family members or carers to attend, regardless of their weight.",NA,NA,Local data collection.
6,process,a,QS94-6-process-a,Proportion of children and young people who attend a lifestyle weight management programme whose family members or carers have been invited to attend.,The number in the denominator whose family members or carers have been invited to attend.,The number of children and young people who attend a lifestyle weight management programme.,Local data collection.
6,outcome,a,QS94-6-outcome-a,Family member attendance and involvement in lifestyle weight management programmes.,To be determined locally,To be determined locally,Local data collection.
7,structure,a,QS94-7-structure-a,Evidence that commissioners and providers of lifestyle weight management programmes for children and young people jointly agree the key performance indicators to be collected for monitoring and evaluation.,NA,NA,Local data collection.
7,structure,b,QS94-7-structure-b,Evidence that commissioners and providers of lifestyle weight management programmes for children and young people have used data from monitoring and evaluation to amend and improve programmes.,NA,NA,Local data collection.
7,process,a,QS94-7-process-a,"Proportion of children and young people recruited to a lifestyle weight management programme that has data on attendance, outcomes and the views of participants and staff collected at recruitment and completion.","The number in the denominator that has data on attendance, outcomes and the views of participants and staff collected at recruitment and completion.",The number of children and young people recruited to a lifestyle weight management programme.,Local data collection.
7,process,b,QS94-7-process-b,Proportion of children and young people who complete a lifestyle weight management programme that has data on outcomes collected at 6 months after completion of the programme.,The number in the denominator that has data on outcomes collected at 6 months after completion of the programme.,The number of children and young people who complete a lifestyle weight management programme.,Local data collection.
7,process,c,QS94-7-process-c,Proportion of children and young people who complete a lifestyle weight management programme that has data on outcomes collected at 1 year after completion of the programme.,The number in the denominator that has data on outcomes collected at 1 year after completion of the programme.,The number of children and young people who complete a lifestyle weight management programme.,Local data collection.
8,placeholder,NA,QS94-8-placeholder,NA,NA,NA,NA
