statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS172-1-structure-a,Evidence of local arrangements to identify women with signs and symptoms of endometriosis.,NA,NA,"Local data collection, for example training records on endometriosis for healthcare professionals and audits of healthcare records."
1,structure,b,QS172-1-structure-b,Evidence of protocols detailing symptoms of endometriosis and the need for abdominal and pelvic examination when this is suspected.,NA,NA,"Local data collection, for example local clinical protocols."
1,process,a,QS172-1-process-a,Proportion of women who present to healthcare professionals with symptoms or signs suggesting endometriosis who have an abdominal and pelvic examination.,The number in the denominator who have an abdominal and a pelvic examination.,Number of women presenting with symptoms or signs suggesting endometriosis for whom a pelvic examination is appropriate.,"Local data collection, for example audits of GP, practice nurse, sexual health clinic, school health service or emergency department records."
1,process,b,QS172-1-process-b,Proportion of women who present to healthcare professionals with symptoms or signs suggesting endometriosis for whom a pelvic examination would not be appropriate who have an abdominal examination.,The number in the denominator who have an abdominal examination.,The number of women presenting with symptoms or signs suggesting endometriosis for whom a pelvic examination would not be appropriate.,"Local data collection, for example audits of GP, practice nurse, sexual health clinic, school health service or emergency department records."
1,outcome,a,QS172-1-outcome-a,Number of working diagnoses of endometriosis following initial presentation.,To be determined locally,To be determined locally,"Local data collection, for example audits of GP records."
1,outcome,b,QS172-1-outcome-b,Time from initial presentation with symptoms or signs of endometriosis to diagnosis.,To be determined locally,To be determined locally,"Local data collection, for example audits of GP and gynaecology services records."
2,structure,a,QS172-2-structure-a,"Evidence of local referral pathways to a gynaecology service for women in whom initial hormonal treatment for endometriosis is not effective, not tolerated or contraindicated.",NA,NA,"Local data collection, for example local commissioning agreements and service specifications."
2,process,a,QS172-2-process-a,"Proportion of women in whom initial hormonal treatment for endometriosis is not effective after 6 months, not tolerated or contraindicated who are referred to a gynaecology service.",The number in the denominator who are referred to a gynaecology service.,"The number of women in whom initial hormonal treatment for endometriosis is not effective after 6 months, not tolerated or contraindicated.","Local data collection, for example primary care referral records."
2,outcome,a,QS172-2-outcome-a,Satisfaction of women with suspected or confirmed endometriosis with their treatment plan.,To be determined locally,To be determined locally,"Local data collection, such as patient experience surveys."
3,structure,a,QS172-3-structure-a,"Evidence of local referral protocols for women with suspected or confirmed deep endometriosis involving the bowel, bladder or ureter.",NA,NA,"Local data collection, for example referral pathways and protocols for women with suspected or confirmed deep endometriosis."
3,structure,b,QS172-3-structure-b,Evidence of services working toward accreditation as specialist endometriosis services.,NA,NA,"Local data collection, for example service plans and accreditation applications."
3,process,a,QS172-3-process-a,"Proportion of women with suspected or confirmed deep endometriosis involving the bowel, bladder or ureter who are referred to a specialist endometriosis service.",The number in the denominator who are referred to a specialist endometriosis service.,"The number of women with suspected or confirmed deep endometriosis involving the bowel, bladder or ureter.","Local data collection, for example GP, gynaecology service or paediatric and adolescent gynaecology service records."
3,outcome,a,QS172-3-outcome-a,"Diagnosis rates of deep endometriosis involving the bowel, bladder or ureter.",To be determined locally,To be determined locally,"Local data collection, for example specialist endometriosis services records."
3,outcome,b,QS172-3-outcome-b,"Rates of surgical treatment for deep endometriosis involving the bowel, bladder or ureter by specialist endometriosis services.",To be determined locally,To be determined locally,"Local data collection, for example specialist endometriosis services records."
