statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS105-1-structure-a,Evidence of local arrangements to provide women at low risk of complications with a choice of all 4 birth settings.,NA,NA,Local data collection.
1,structure,b,QS105-1-structure-b,Evidence of local arrangements to provide women at low risk of complications with local information about birth outcomes.,NA,NA,Local data collection.
1,process,a,QS105-1-process-a,Proportion of women at low risk of complications with a recorded discussion at their 16‑week antenatal appointment of their preferred choice of birth setting.,The number in the denominator with a recorded discussion at their 16‑week antenatal appointment of their preferred choice of birth setting.,The number of women at low risk of complications attending a 16‑week antenatal appointment.,Local data collection.
1,process,b,QS105-1-process-b,Proportion of women at low risk of complications with a recorded discussion at their 16‑week antenatal appointment about local birth outcomes.,The number in the denominator with a recorded discussion at their 16‑week antenatal appointment about local birth outcomes.,The number of women at low risk of complications attending a 16‑week antenatal appointment.,Local data collection.
1,outcome,a,QS105-1-outcome-a,Maternal experience and satisfaction with place of birth.,To be determined locally,To be determined locally,National data is collected as part of the Care Quality Commission's Maternity Survey: question B3 ('Were you offered a choice about where to have your baby?').
2,structure,a,QS105-2-structure-a,Evidence of midwifery staff available to provide one-to-one care to women in established labour in each birth setting.,NA,NA,Local data collection.
2,process,a,QS105-2-process-a,Midwifery staffing levels as in the NICE guideline on safe midwifery staffing for maternity settings.,The number of women in the denominator who receive one-to-one care from an assigned midwife during established labour.,The number of women in established labour in a time period.,Local data collection.
2,outcome,a,QS105-2-outcome-a,Neonatal morbidity.,To be determined locally,To be determined locally,Local data collection.
2,outcome,b,QS105-2-outcome-b,Maternal morbidity.,To be determined locally,To be determined locally,Local data collection. MBRRACE-UK Confidential Enquiries into Maternal Deaths and Morbidity and the National Maternity and Perinatal Audit (NMPA) report on maternal morbidity. Indicators from MBRRACE-UK and the NMPA are available via the National Maternity Services Dashboard.
2,outcome,c,QS105-2-outcome-c,Maternal satisfaction and experience of care.,To be determined locally,To be determined locally,National data is collected as part of the Care Quality Commission's Maternity Survey: section C ('Your labour and the birth of your baby').
3,error,NA,QS105-3-error,NA,NA,NA,NA
4,structure,a,QS105-4-structure-a,Evidence of local arrangements to ensure that women at low risk of complications having cardiotocography because of concern arising from intermittent auscultation have the cardiotocograph removed if the trace is normal for 20 minutes.,NA,NA,Local data collection.
4,process,a,QS105-4-process-a,Proportion of women at low risk of complications who have cardiotocography because of concern arising from intermittent auscultation have the cardiotocograph removed if the trace is normal for 20 minutes.,The number in the denominator who have the cardiotocograph removed.,The number of women in labour at low risk of complications who have cardiotocography because of concern arising from intermittent auscultation and who have a normal trace for 20 minutes.,Local data collection.
4,outcome,a,QS105-4-outcome-a,Maternal satisfaction and experience of care.,To be determined locally,To be determined locally,National data is collected as part of the Care Quality Commission's Maternity Survey: section C ('Your labour and the birth of your baby').
5,structure,a,QS105-5-structure-a,Evidence of local arrangements to ensure that women at low risk of complications who are in labour that is progressing normally do not have amniotomy or oxytocin.,NA,NA,Local data collection.
5,process,a,QS105-5-process-a,Proportion of women at low risk of complications whose labour is progressing normally who do not have amniotomy or oxytocin.,The number in the denominator who do not have amniotomy or oxytocin.,The number of women at low risk of complications whose labour is progressing normally.,Local data collection.
5,outcome,a,QS105-5-outcome-a,The number of women in labour that is progressing normally having amniotomy or oxytocin.,To be determined locally,To be determined locally,Local data collection.
5,outcome,b,QS105-5-outcome-b,Maternal satisfaction and experience of care.,To be determined locally,To be determined locally,National data is collected as part of the Care Quality Commission's Maternity Survey: section C ('Your labour and the birth of your baby').
6,structure,a,QS105-6-structure-a,Evidence of local arrangements to ensure that midwives and obstetricians do not clamp the cord earlier than 1 minute after the birth unless there is a concern about cord integrity or the baby's heartbeat.,NA,NA,Local data collection.
6,process,a,QS105-6-process-a,Proportion of cords clamped earlier than 1 minute after the birth where there is not a concern about cord integrity or the baby's heartbeat.,The number in the denominator where the cord is clamped after 1 minute after the birth.,The number of babies born where there is no concern about cord integrity or the baby's heartbeat.,Local data collection.
6,process,b,QS105-6-process-b,Proportion of cords clamped earlier than 1 minute where there is a concern about cord integrity or the baby's heartbeat.,The number in the denominator where the cord is clamped earlier than 1 minute after the birth.,The number of babies born where there is a concern about cord integrity or the baby's heartbeat.,Local data collection.
6,outcome,a,QS105-6-outcome-a,Maternal satisfaction and experience of care.,To be determined locally,To be determined locally,National data is collected as part of the Care Quality Commission's Maternity Survey: section C ('Your labour and the birth of your baby').
7,structure,a,QS105-7-structure-a,Evidence of local arrangements to ensure that midwives and obstetricians encourage women to have skin-to-skin contact with their babies after the birth.,NA,NA,Local data collection.
7,process,a,QS105-7-process-a,"Proportion of women with a record of having skin-to-skin contact with their babies after the birth. (Note: It is important that this happens as soon as possible, but timescales should be determined locally, depending on the setting and whether the baby and mother are stable.)",The number in the denominator where there is a record of the woman having skin-to-skin contact with the baby.,The number of babies born.,Local data collection. The Maternity Services Data Set collects data on whether a mother had skin-to-skin contact with their baby within 1 hour of birth.
7,outcome,a,QS105-7-outcome-a,Women's satisfaction with the support received to have skin-to-skin contact with their babies after the birth.,To be determined locally,To be determined locally,Local data collection.
