statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS156-1-structure-a,"Evidence of local arrangements to ensure that an accurate list of a person's current medicines is obtained from the person's GP, other healthcare professionals and, where appropriate, the transferring prison healthcare team.",NA,NA,Local data collection including local data sharing agreements and prison transfer protocols.
1,structure,b,QS156-1-structure-b,Evidence of local arrangements to ensure that a list of the medicines currently being taken by a person is obtained from them.,NA,NA,Local data collection including first-stage health assessment documentation.
1,structure,c,QS156-1-structure-c,Evidence of local arrangements to ensure that medicines reconciliation is carried out before the second-stage health assessment.,NA,NA,Local data collection including medicines pathways.
1,process,a,QS156-1-process-a,Proportion of second-stage health assessments for people entering or transferring between prisons where medicines reconciliation has already been carried out.,The number in the denominator where a medicines reconciliation was carried out before the second-stage health assessment.,The number of second-stage health assessments for people entering or transferring between prisons.,The NHS England health and justice indicators of performance include data on medicines reconciliation being completed within 72 hours of entering prison.
1,outcome,a,QS156-1-outcome-a,Number of adverse medication events in prison.,To be determined locally,To be determined locally,Local data collection including healthcare records (SystmOne).
1,outcome,b,QS156-1-outcome-b,Number of hospital admissions of people in prison because of adverse medication events.,To be determined locally,To be determined locally,Local data collection including healthcare records. The NHS England health and justice indicators of performance include data on escorts and bedwatches for urgent care.
2,structure,a,QS156-2-structure-a,Evidence of local arrangements to ensure that prison healthcare services are available to carry out a second-stage health assessment within 7 days of people entering or transferring between prisons.,NA,NA,Local data collection including assessment protocols and audits.
2,process,a,QS156-2-process-a,Proportion of prison stays where a second-stage health assessment takes place within 7 days of arrival in prison.,The number in the denominator where a second-stage health assessment takes place within 7 days.,The number of prison stays which last for more than 7 days.,Local data collection including healthcare records and audits.
2,outcome,a,QS156-2-outcome-a,"Uptake rates of national screening programmes in prison (for example retinal screening, breast, cervical and bowel cancer screening).",To be determined locally,To be determined locally,Local data collection including healthcare records. The NHS England health and justice indicators of performance include data on the uptake of cancer and non-cancer screening.
2,outcome,b,QS156-2-outcome-b,Number of deaths in prisons.,To be determined locally,To be determined locally,Local data collection. The Ministry of Justice safety in custody statistics include data on deaths in prisons.
2,outcome,c,QS156-2-outcome-c,Number of people in prison engaging with healthcare services.,To be determined locally,To be determined locally,Local data collection including healthcare records.
3,structure,a,QS156-3-structure-a,Evidence of local arrangements to test for blood-borne viruses when people enter or are transferred between prisons.,NA,NA,"Local data collection including blood-borne virus testing protocols. The NHS England health and justice indicators of performance include data on the uptake of hepatitis B and C screening, and HIV testing."
3,structure,b,QS156-3-structure-b,Evidence of local arrangements to ensure that people entering or transferring between prisons are assessed for the risk of sexually transmitted infections.,NA,NA,Local data collection including sexual health policies.
3,process,a,QS156-3-process-a,Proportion of second-stage health assessments for people entering or transferring between prisons where testing for blood-borne viruses takes place or has already been completed.,The number in the denominator where testing for blood-borne viruses take place or has already been completed.,The number of second-stage health assessments for people entering or transferring between prisons.,"Local data collection including health records. The NHS England health and justice indicators of performance include data on the uptake of hepatitis B and C screening, and HIV testing."
3,process,b,QS156-3-process-b,Proportion of second-stage health assessments for people entering or transferring between prisons where assessment for the risk of sexually transmitted infections takes place or has already been completed.,The number in the denominator where assessment for the risk of sexually transmitted infections takes place or has already been completed.,The number of second-stage health assessments for people entering or transferring between prisons.,Local data collection including health records.
3,outcome,a,QS156-3-outcome-a,The number of people diagnosed and treated for blood-borne viruses in prisons.,To be determined locally,To be determined locally,Local data collection including healthcare records. The NHS England health and justice indicators of performance include data on people diagnosed with hepatitis B or C being referred to a specialised service and receiving treatment within 18 weeks. They also include data on the number of people who are HIV positive who are seen by secondary care within 2 weeks.
3,outcome,b,QS156-3-outcome-b,The number of people diagnosed and treated for sexually transmitted infections in prisons.,To be determined locally,To be determined locally,Local data collection including healthcare records. The NHS England health and justice indicators of performance include data on the uptake of chlamydia screening.
4,structure,a,QS156-4-structure-a,Evidence of local arrangements to ensure that a lead care coordinator is available for people in prison who are being cared for by different prison teams.,NA,NA,Local data collection including job descriptions.
4,process,a,QS156-4-process-a,Proportion of people in prison who have complex health and social care needs who have a lead care coordinator.,The number in the denominator who have a lead care coordinator.,The number of people in prison with complex health and social care needs.,Local data collection and audits.
4,outcome,a,QS156-4-outcome-a,Number of unplanned hospital admissions of people in prison.,To be determined locally,To be determined locally,Local data collection including healthcare records. The NHS England health and justice indicators of performance include data on escorts and bedwatches for urgent care.
4,outcome,b,QS156-4-outcome-b,Number of care plans jointly developed and shared on transfer between prisons or release from prison.,To be determined locally,To be determined locally,Local data collection including healthcare records.
5,structure,a,QS156-5-structure-a,Evidence of local arrangements to ensure that a minimum of 7 days' prescribed medicines is transferred with the property of people moving to another prison.,NA,NA,Local data collection including medication protocols and working agreements with other prisons.
