statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS204-1-structure-a,"Evidence of local arrangements to ensure that midwives and other healthcare professionals carrying out antenatal appointments are aware of the risks of drinking alcohol in pregnancy, including FASD, and the advice in the UK Chief Medical Officers' low-risk drinking guidelines on alcohol consumption in pregnancy.",NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from staff training records."
1,structure,b,QS204-1-structure-b,Evidence of local arrangements to ensure that antenatal appointments include discussion of the risks of drinking alcohol in pregnancy and the advice in the UK Chief Medical Officers' low-risk drinking guidelines.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from appointment schedules and information given to pregnant women about what is covered in their antenatal appointments."
1,process,a,QS204-1-process-a,Proportion of antenatal appointments in which pregnant women are advised not to drink alcohol during pregnancy.,The number in the denominator in which pregnant women are advised not to drink alcohol.,The total number of antenatal appointments attended.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, maternity records. Achievement levels should be agreed locally based on population needs."
1,outcome,a,QS204-1-outcome-a,Rate of alcohol-exposed pregnancies.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of maternity records. The NHS Digital Maternity Services Data Set includes information on alcohol consumption recorded at the antenatal booking appointment. The Perinatal Institute's Pregnancy notes record information on alcohol consumption in pregnancy."
2,structure,a,QS204-2-structure-a,Evidence of local arrangements to ensure that antenatal appointments include discussion about drinking alcohol in pregnancy.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from appointment schedules and information given to pregnant women about what is covered in their antenatal appointments."
2,process,a,QS204-2-process-a,Proportion of antenatal booking appointments where drinking of alcohol is reported.,The number in the denominator where the weekly number of alcohol units reported is greater than 1.,The number of antenatal booking appointments.,The NHS Digital Maternity Services Data Set includes information on the weekly number of alcohol units reported at the antenatal booking appointment. Public Health Outcomes Framework indicator C03b – 'Drinking in early pregnancy' presents this measure at national and local authority level.
2,process,b,QS204-2-process-b,Proportion of routine antenatal appointments attended in which alcohol consumption is recorded.,The number in the denominator in which alcohol consumption is recorded.,The total number of routine antenatal appointments attended.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of maternity records. The NHS Digital Maternity Services Data Set includes information on alcohol consumption recorded at the antenatal booking appointment. The Perinatal Institute's Pregnancy notes record information on alcohol consumption in pregnancy."
2,outcome,a,QS204-2-outcome-a,Diagnosis rates for FASD.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of patient records."
3,structure,a,QS204-3-structure-a,Evidence of local pathways that refer children and young people with probable prenatal alcohol exposure to a healthcare professional with additional training in FASD.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from service specifications, NHS trust directories of services and clinical commissioning group pathways."
3,structure,b,QS204-3-structure-b,Evidence of local arrangements to increase awareness of FASD among healthcare professionals.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from staff training programmes and learning resources directories."
3,structure,c,QS204-3-structure-c,Evidence of local services with healthcare professionals who have additional training in FASD.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from service specifications, NHS trust directories of services and clinical commissioning group pathways."
3,process,a,QS204-3-process-a,"Proportion of children and young people with probable prenatal alcohol exposure and significant physical, developmental or behavioural difficulties referred for assessment.",The number in the denominator referred for assessment.,"The number of children and young people with probable prenatal alcohol exposure and significant physical, developmental or behavioural difficulties.","No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of patient records."
3,outcome,a,QS204-3-outcome-a,Average time to diagnosis of FASD.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of patient records."
3,outcome,b,QS204-3-outcome-b,Diagnosis rates for FASD.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of patient records."
4,structure,a,QS204-4-structure-a,Evidence of local services with healthcare professionals with expertise in neurodevelopmental assessment who have had additional training in FASD.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example from service specifications, NHS trust directories of services and clinical commissioning group pathways."
4,outcome,a,QS204-4-outcome-a,Diagnosis rate for FASD.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of patient records."
5,structure,a,QS204-5-structure-a,Evidence of local frameworks for managing FASD that ensure healthcare professionals coordinate care across disciplines and organisations.,NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from service specifications and service protocols."
5,structure,b,QS204-5-structure-b,"Evidence of local arrangements for communicating and sharing management plans between providers of health, education and social services.",NA,NA,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from service protocols."
5,process,a,QS204-5-process-a,Proportion of children and young people diagnosed with FASD who have a management plan.,The number in the denominator who have a management plan.,The number of children and young people diagnosed with FASD.,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, from local audits of patient records. The Scottish Intercollegiate Guidelines Network's sample FASD management plan has been produced to support the source guideline."
5,outcome,a,QS204-5-outcome-a,Related quality of life for people diagnosed with FASD.,To be determined locally,To be determined locally,"No routinely collected national data for this measure has been identified. Data can be collected from information recorded locally by healthcare professionals and provider organisations, for example, a survey of people with FASD using a quality of life questionnaire."
