statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS39-1-structure-a,Evidence of local arrangements to ensure that children and young people with symptoms of ADHD are referred to an ADHD specialist for assessment.,NA,NA,Local data collection.
1,process,a,QS39-1-process-a,Proportion of children and young people with symptoms of ADHD who are referred to an ADHD specialist for assessment.,The number of children and young people in the denominator referred to an ADHD specialist for assessment.,The number of children and young people aged 3 to 18 years with symptoms of ADHD.,Local data collection.
1,outcome,a,QS39-1-outcome-a,Rates of new diagnosis of ADHD in children and young people.,To be determined locally,To be determined locally,Local data collection.
2,structure,a,QS39-2-structure-a,Evidence of local arrangements to ensure that adults who present with symptoms of ADHD who do not have a childhood diagnosis of ADHD are referred to an ADHD specialist for assessment.,NA,NA,Local data collection.
2,process,a,QS39-2-process-a,Proportion of adults who present with symptoms of ADHD without a childhood diagnosis of ADHD who are referred to an ADHD specialist for assessment.,The number of people in the denominator who are referred to an ADHD specialist for assessment.,The number of adults aged 18 years and over who present with symptoms of ADHD without a childhood diagnosis of ADHD.,Local data collection.
2,outcome,a,QS39-2-outcome-a,Rates of new diagnosis of ADHD in adults.,To be determined locally,To be determined locally,Local data collection.
3,structure,a,QS39-3-structure-a,Evidence of local arrangements to ensure that adults who present with symptoms of continuing ADHD are referred to general adult psychiatric services.,NA,NA,Local data collection.
3,process,a,QS39-3-process-a,Proportion of adults with ADHD who present with symptoms of continuing ADHD who are referred to general adult psychiatric services.,The number of people in the denominator who are referred to general adult psychiatric services.,The number of adults aged 18 years and over with ADHD who present with symptoms of continuing ADHD.,Local data collection.
3,outcome,a,QS39-3-outcome-a,Adults feel supported to manage their ADHD.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS39-4-structure-a,Evidence of local arrangements to ensure that parents or carers of children and young people with symptoms of ADHD who meet NICE eligibility criteria are offered a referral to a parent training programme.,NA,NA,Local data collection.
4,structure,b,QS39-4-structure-b,Evidence of local arrangements for provision of parent training programmes.,NA,NA,Local data collection.
4,process,a,QS39-4-process-a,Proportion of parents or carers of children and young people with symptoms of ADHD who meet NICE eligibility criteria who are referred to a parent training programme.,The number of people in the denominator referred to a parent training programme.,The number of parents or carers of children and young people with symptoms of ADHD who meet NICE eligibility criteria.,Local data collection.
4,process,b,QS39-4-process-b,Proportion of parents or carers of children and young people with symptoms of ADHD who meet NICE eligibility criteria who attend a parent training programme.,The number of people in the denominator attending a parent training programme.,The number of parents or carers of children and young people with symptoms of ADHD who are referred to a parent training programme.,Local data collection.
4,process,c,QS39-4-process-c,Proportion of parents and carers of children and young people with symptoms of ADHD who meet NICE eligibility criteria who complete a parent training programme.,The number of people in the denominator completing a parent training programme.,The number of parents or carers of children and young people with symptoms of ADHD who attend a parent training programme.,Local data collection.
4,outcome,a,QS39-4-outcome-a,Parent or carer satisfaction with the provision of parent training programmes.,To be determined locally,To be determined locally,Local data collection.
4,outcome,b,QS39-4-outcome-b,Parents or carers feel supported to manage their child's condition.,To be determined locally,To be determined locally,Local data collection.
5,error,NA,QS39-5-error,NA,NA,NA,NA
6,structure,a,QS39-6-structure-a,Evidence of local arrangements to ensure that people with ADHD who are starting drug treatment have their initial drug dose adjusted and response assessed by an ADHD specialist.,NA,NA,Local data collection.
6,process,a,QS39-6-process-a,Proportion of people with ADHD who are starting drug treatment who have their initial drug dose adjusted and response assessed by an ADHD specialist.,The number of people in the denominator who have their initial drug dose adjusted and response assessed by an ADHD specialist.,The number of people with ADHD who are starting drug treatment.,Local data collection.
6,outcome,a,QS39-6-outcome-a,Rates of drug-related side effects in people starting drug treatment for ADHD.,To be determined locally,To be determined locally,Local data collection.
7,structure,a,QS39-7-structure-a,Evidence of local arrangements to ensure that people with ADHD who are taking drug treatment have a specialist review at least annually.,NA,NA,Local data collection.
7,process,a,QS39-7-process-a,Proportion of people with ADHD who are taking drug treatment who receive a specialist review at least annually.,The number of people in the denominator receiving a specialist review with the last review date no more than 1 year after the previous review.,The number of people with ADHD who are taking drug treatment.,Local data collection.
7,outcome,a,QS39-7-outcome-a,People with ADHD feel supported to manage their condition.,To be determined locally,To be determined locally,Local data collection.
