statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS35-1-structure-a,Evidence of local arrangements to ensure that women of childbearing potential with treated hypertension are given information annually about safe antihypertensive treatment during pregnancy.,NA,NA,Local data collection.
1,process,a,QS35-1-process-a,Proportion of women who have had treated hypertension for 12 months or longer who received information about safe antihypertensive treatment during pregnancy in the past 12 months.,The number of women in the denominator who received information about safe antihypertensive treatment during pregnancy in the past 12 months.,The number of women of childbearing potential who have had treated hypertension for 12 months or longer.,Local data collection.
2,structure,a,QS35-2-structure-a,Evidence of local arrangements to ensure that pregnant women have their risk factors for pre-eclampsia identified and recorded at the booking appointment.,NA,NA,Local data collection.
2,structure,b,QS35-2-structure-b,Evidence of local arrangements to ensure that pregnant women at increased risk of pre-eclampsia at the booking appointment are offered a prescription of 75 mg to 150 mg of aspirin (unless contraindicated) to take daily from 12 weeks until birth.,NA,NA,Local data collection.
2,process,a,QS35-2-process-a,Proportion of pregnant women who have their risk factors for pre-eclampsia identified and recorded at the booking appointment.,The number of women in the denominator whose risk factors for pre-eclampsia are identified and recorded.,The number of pregnant women attending a booking appointment.,"The Maternity Services Data Set collects data on the following risk factors at the booking appointment: hypertension, renal disease, diabetes, autoimmune disease and obstetric diagnoses from previous pregnancies including 'severe pre-eclampsia requiring preterm birth', 'eclampsia' and 'gestational hypertension'."
2,process,b,QS35-2-process-b,Proportion of pregnant women at increased risk of pre-eclampsia at the booking appointment who are offered a prescription of 75 mg to 150 mg of aspirin (unless contraindicated) to take daily from 12 weeks until birth.,The number of women in the denominator offered a prescription of 75 mg to 150 mg of aspirin to take daily from 12 weeks until birth.,The number of pregnant women at increased risk of pre-eclampsia and without contraindications to aspirin at the booking appointment.,Local data collection.
2,outcome,a,QS35-2-outcome-a,Incidence of pre-eclampsia in women at increased risk of developing pre-eclampsia.,To be determined locally,To be determined locally,"The Maternity Services Data Set collects data on obstetric conditions diagnosed in the current pregnancy, including severe pre-eclampsia, severe pre-eclampsia requiring preterm birth and eclampsia."
3,structure,a,QS35-3-structure-a,Evidence of local arrangements to ensure that pregnant women taking antihypertensive medication have a blood pressure target of 135/85 mmHg or less.,NA,NA,Local data collection.
3,outcome,a,QS35-3-outcome-a,Rate of pregnant women with hypertension who maintain their target blood pressure throughout their pregnancy.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS35-4-structure-a,"Evidence of local arrangements for pregnant women with severe hypertension to be admitted for a full assessment, carried out by a healthcare professional trained in managing hypertensive disorders in pregnancy.",NA,NA,Local data collection.
