statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS50-1-structure-a,Evidence of local arrangements to ensure that older people in care homes are offered opportunities during their day to participate in meaningful activity that promotes their health and mental wellbeing.,NA,NA,Local data collection.
1,outcome,a,QS50-1-outcome-a,Feedback from older people in care homes that they are offered opportunities to take part in activity during their day.,To be determined locally,To be determined locally,"Local data collection. The following documents from the Adult Social Care Outcomes Toolkit (University of Kent) include questions about choice and control, social participation and involvement, occupation and dignity: CHINT3 care home interview schedule and CHOBS3 care home observation schedule."
1,outcome,b,QS50-1-outcome-b,Feedback from older people in care homes that they have taken part in activity during their day that is meaningful to them.,To be determined locally,To be determined locally,"Local data collection. The following documents from the Adult Social Care Outcomes Toolkit (University of Kent) include questions about choice and control, social participation and involvement, occupation and dignity: CHINT3 care home interview schedule and CHOBS3 care home observation schedule."
2,structure,a,QS50-2-structure-a,Evidence of local arrangements to ensure that older people in care homes are enabled to maintain and develop their personal identity.,NA,NA,Local data collection.
2,outcome,a,QS50-2-outcome-a,Feedback from older people in care homes that their personal identity is respected.,To be determined locally,To be determined locally,"Local data collection. The following documents from the Adult Social Care Outcomes Toolkit (University of Kent) include questions about choice and control, personal cleanliness and comfort, social participation and involvement, occupation and dignity: CHINT3 care home interview schedule and CHOBS3 care home observation schedule."
3,structure,a,QS50-3-structure-a,"Evidence of protocols to ensure that staff are trained to recognise the symptoms and signs of mental health conditions in older people, and record them in their care plan.",NA,NA,Local data collection.
4,structure,a,QS50-4-structure-a,"Evidence of protocols to ensure that staff are trained to recognise specific needs arising from sensory impairment in older people, and record these needs as part of their care plan.",NA,NA,Local data collection.
4,process,a,QS50-4-process-a,Proportion of older people in care homes who have regular sight tests.,The number of people in the denominator who have had a sight test within the past 2 years.,The number of older people in care homes.,Local data collection.
5,structure,a,QS50-5-structure-a,"Evidence of protocols to ensure that staff are trained to recognise the symptoms and signs of physical problems in older people in care homes, and record them as part of their care plan.",NA,NA,Local data collection.
6,structure,a,QS50-6-structure-a,Evidence of referral arrangements to ensure that older people in care homes are given access to the full range of healthcare services when they need them.,NA,NA,Local data collection.
6,outcome,a,QS50-6-outcome-a,"Feedback from older people in care homes and from their family, friends and/or carers that they are satisfied with the care they have received.",To be determined locally,To be determined locally,NA
