statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS185-1-structure-a,"Evidence of referral pathways in place to ensure adults with earwax that is contributing to hearing loss or other symptoms, or preventing ear examination or ear canal impressions being taken, have earwax removal in primary care or community ear care services.",NA,NA
1,structure,b,QS185-1-structure-b,Evidence of local arrangements for healthcare professionals to have training to use earwax removal methods.,NA,NA
1,structure,c,QS185-1-structure-c,Evidence of the availability of equipment to remove earwax in primary care or community ear care services.,NA,NA
1,process,a,QS185-1-process-a,"Proportion of attendances of adults with earwax that is contributing to hearing loss or other symptoms, or preventing ear examination or ear canal impressions being taken, in which earwax is removed in primary care or community ear care services.",The number in the denominator for which earwax is removed in primary care or community ear care services.,"The number of attendances of adults with earwax that is contributing to hearing loss or other symptoms, or preventing ear examination or ear canal impressions being taken."
1,outcome,a,QS185-1-outcome-a,"Related quality of life for adults with earwax that has contributed to hearing loss or other symptoms, or has prevented ear examination or ear canal impressions being taken.",NA,NA
2,structure,a,QS185-2-structure-a,"Service, an audiovestibular medicine service or an emergency department for specialist medical care.",NA,NA
2,process,a,QS185-2-process-a,Specialist medical care in an ENT service or an emergency department.,Specialist medical care in an ENT service or an emergency department.,The number of adults with hearing loss in one or both ears that has developed over 3 days or less within the past 30 days.
2,process,b,QS185-2-process-b,Specialist medical care in an ENT or audiovestibular medicine service.,Specialist medical care in an ENT or audiovestibular medicine service.,The number of adults with hearing loss in one or both ears that developed over 3 days or less more than 30 days ago.
2,outcome,a,QS185-2-outcome-a,Morbidity rates for adults who have sudden onset of hearing loss.,NA,NA
3,structure,a,QS185-3-structure-a,Service or an audiovestibular medicine service for specialist medical care.,NA,NA
3,process,a,QS185-3-process-a,Specialist medical care in an ENT or audiovestibular medicine service.,Specialist medical care in an ENT or audiovestibular medicine service.,The number of adults with hearing loss in one or both ears that has worsened over a period of 4 to 90 days.
3,outcome,a,QS185-3-outcome-a,Morbidity rates for adults who have rapid worsening of hearing loss.,NA,NA
4,structure,a,QS185-4-structure-a,Evidence of referral pathways in place to ensure adults presenting for the first time with hearing difficulties have an audiological assessment.,NA,NA
4,structure,b,QS185-4-structure-b,Evidence that healthcare practitioners have training and access to information to enable them to recognise hearing and communication difficulties for which referral for an audiological assessment is needed.,NA,NA
4,process,a,QS185-4-process-a,Proportion of adults presenting for the first time with hearing difficulties not caused by impacted earwax or acute infection who have an audiological assessment.,The number in the denominator who have an audiological assessment.,The number of adults presenting for the first time with hearing difficulties not caused by impacted earwax or acute infection.
4,outcome,a,QS185-4-outcome-a,Related quality of life for adults presenting with hearing difficulties not caused by impacted earwax or acute infection.,NA,NA
5,structure,a,QS185-5-structure-a,Evidence of local arrangements to ensure that adults with hearing loss affecting their ability to communicate and hear are offered hearing aids.,NA,NA
5,process,a,QS185-5-process-a,Proportion of adults presenting with hearing loss affecting their ability to communicate and hear who have aidable hearing loss in one ear who are given one hearing aid.,The number in the denominator who are given one hearing aid.,The number of adults presenting with hearing loss affecting their ability to communicate and hear who have aidable hearing loss in one ear.
5,process,b,QS185-5-process-b,Proportion of adults presenting with hearing loss affecting their ability to communicate and hear who have aidable hearing loss in both ears who are given two hearing aids.,The number in the denominator who are given two hearing aids.,The number of adults presenting with hearing loss affecting their ability to communicate and hear who have aidable hearing loss in both ears.
5,outcome,a,QS185-5-outcome-a,Related quality of life for adults with hearing loss.,NA,NA
6,structure,a,QS185-6-structure-a,Up audiology appointment 6 to 12 weeks after the hearing aids are fitted.,NA,NA
6,structure,b,QS185-6-structure-b,Up appointment 6 to 12 weeks after the hearing aids are fitted.,NA,NA
6,process,a,QS185-6-process-a,Proportion of adults who have a follow‑up audiology appointment 6 to 12 weeks after new hearing aids are fitted.,The number in the denominator who have a follow‑up audiology appointment 6 to 12 weeks after the hearing aids are fitted.,The number of adults with new hearing aids.
6,process,b,QS185-6-process-b,Face follow‑up audiology appointment 6 to 12 weeks after new hearing aids are fitted.,Face follow‑up audiology appointment 6 to 12 weeks after the hearing aids are fitted.,The number of adults with new hearing aids.
6,process,c,QS185-6-process-c,Proportion of adults who have a telephone follow‑up audiology appointment 6 to 12 weeks after new hearing aids are fitted.,The number in the denominator who have a telephone follow‑up audiology appointment 6 to 12 weeks after the hearing aids are fitted.,The number of adults with new hearing aids.
6,process,d,QS185-6-process-d,Proportion of adults who have a follow‑up audiology appointment by electronic communication 6 to 12 weeks after new hearing aids are fitted.,The number in the denominator who have a follow‑up audiology appointment by electronic communication 6 to 12 weeks after the hearing aids are fitted.,The number of adults with new hearing aids.
6,outcome,a,QS185-6-outcome-a,"Up, and at 12 and 24 months.","Up, and at 12 and 24 months.",The number of adults with new hearing aids.
6,outcome,b,QS185-6-outcome-b,Related quality of life for adults with aidable hearing loss.,NA,NA
