statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS170-1-structure-a,"Evidence of local arrangements to raise awareness of signs, symptoms and risk factors of axial and peripheral spondyloarthritis in primary care.",NA,NA
1,structure,b,QS170-1-structure-b,Evidence of local referral criteria and pathways to ensure that adults with suspected axial or peripheral spondyloarthritis are referred to a rheumatologist.,NA,NA
1,process,a,QS170-1-process-a,Proportion of adults with suspected axial or peripheral spondyloarthritis referred to a rheumatologist.,The number in the denominator referred to a rheumatologist.,The number of adults with suspected axial or peripheral spondyloarthritis.
1,outcome,a,QS170-1-outcome-a,Time from first presentation of symptoms to diagnosis for adults with spondyloarthritis.,NA,NA
1,outcome,b,QS170-1-outcome-b,Health-related quality-of-life score of adults with spondyloarthritis.,NA,NA
1,outcome,c,QS170-1-outcome-c,Functional ability score of adults with axial spondyloarthritis.,NA,NA
1,outcome,d,QS170-1-outcome-d,Joint replacement surgery for adults with peripheral spondyloarthritis.,NA,NA
2,structure,a,QS170-2-structure-a,Evidence of local arrangements to ensure that rheumatologists and musculoskeletal interface services can access X‑ray and MRI diagnostic services for people with suspected axial spondyloarthritis.,NA,NA
2,structure,b,QS170-2-structure-b,Evidence of local arrangements to ensure that a musculoskeletal radiologist interprets imaging for people with suspected axial spondyloarthritis when appropriate.,NA,NA
2,structure,c,QS170-2-structure-c,Evidence of an inflammatory back pain protocol outlining how to perform MRI on adults with suspected axial spondyloarthritis.,NA,NA
2,process,a,QS170-2-process-a,Proportion of adults with suspected axial spondyloarthritis and an X‑ray that does not show sacroiliitis that have an MRl.,The number in the denominator that have an MRI.,The number of adults with suspected axial spondyloarthritis who have had an X‑ray that does not show sacroiliitis.
2,process,b,QS170-2-process-b,Proportion of MRIs for suspected axial spondyloarthritis in adults performed using an inflammatory back pain protocol.,The number in the denominator performed using an inflammatory back pain protocol.,The number of MRIs performed to investigate suspected axial spondyloarthritis in adults.
2,outcome,a,QS170-2-outcome-a,Time from first presentation of symptoms to diagnosis for adults with axial spondyloarthritis.,NA,NA
2,outcome,b,QS170-2-outcome-b,Health-related quality-of-life score of adults with axial spondyloarthritis.,NA,NA
2,outcome,c,QS170-2-outcome-c,Functional ability score of adults with axial spondyloarthritis.,NA,NA
3,structure,a,QS170-3-structure-a,Evidence of local referral pathways to specialist physiotherapists for adults with axial spondyloarthritis.,NA,NA
3,process,a,QS170-3-process-a,Proportion of adults with axial spondyloarthritis referred to a specialist physiotherapist for a structured exercise programme.,The number in the denominator referred to a specialist physiotherapist for a structured exercise programme.,The number of adults with axial spondyloarthritis.
3,process,b,QS170-3-process-b,Proportion of adults with axial spondyloarthritis referred to a specialist physiotherapist for a structured exercise programme who attended the programme.,The number in the denominator who attended the programme.,The number of adults with axial spondyloarthritis referred to a specialist physiotherapist for a structured exercise programme.
3,outcome,a,QS170-3-outcome-a,Functional ability score of adults with axial spondyloarthritis.,NA,NA
3,outcome,b,QS170-3-outcome-b,Self-reported pain score of adults with axial spondyloarthritis.,NA,NA
3,outcome,c,QS170-3-outcome-c,Self-reported fatigue score of adults with axial spondyloarthritis.,NA,NA
3,outcome,d,QS170-3-outcome-d,Spinal mobility score of adults with axial spondyloarthritis.,NA,NA
4,structure,a,QS170-4-structure-a,"Evidence that written information is available for adults with spondyloarthritis about their condition, who will be involved with their care, and how and when to get in touch with them.",NA,NA
4,structure,b,QS170-4-structure-b,"Evidence of local processes to ensure that adults with spondyloarthritis have a discussion with a healthcare professional about their condition, who will be involved with their care, and how and when to get in touch with them.",NA,NA
4,process,a,QS170-4-process-a,"Proportion of adults with spondyloarthritis who are given written information about their condition, which healthcare professionals will be involved with their care, and how and when to get in touch with them.","The number in the denominator who are given written information about their condition, which healthcare professionals will be involved with their care, and how and when to get in touch with them.",The number of adults with spondyloarthritis.
4,process,b,QS170-4-process-b,"Proportion of adults with spondyloarthritis who have a record of a discussion about their condition, which healthcare professionals will be involved with their care, and how and when to get in touch with them.","The number in the denominator who have a record of a discussion about their condition, which healthcare professionals will be involved with their care, and how and when to get in touch with them.",The number of adults with spondyloarthritis.
4,outcome,a,QS170-4-outcome-a,Adults with spondyloarthritis know how to self-manage their condition.,NA,NA
4,outcome,b,QS170-4-outcome-b,Adults with spondyloarthritis know how to access care when they need additional support.,NA,NA
