statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS196-1-structure-a,Evidence of local arrangements to ensure that people who have a long-term health condition or those who look for support to improve their health and wellbeing are offered advice and education when they use community pharmacy services.,NA,NA,"Local data collection, for example, review of community pharmacies' standard operating procedures submitted through the Community Pharmacy Assurance Framework (dispensing)."
1,outcome,a,QS196-1-outcome-a,Proportion of people using community pharmacy services who received health and wellbeing advice or education.,The number in the denominator who received health and wellbeing advice or education.,The number of people using community pharmacy services.,"Local data collection, for example, review of information recorded as part of the Community Pharmacy Patient Questionnaire."
1,outcome,b,QS196-1-outcome-b,Proportion of people using community pharmacy services who were satisfied with the health and wellbeing advice or education they received.,The number in the denominator satisfied with the advice they received.,The number of people using community pharmacy services who received health and wellbeing advice or education.,"Local data collection, for example, review of information recorded as part of the Community Pharmacy Patient Questionnaire."
2,structure,a,QS196-2-structure-a,Evidence of local initiatives to raise awareness of the health and wellbeing expertise and services available from community pharmacy teams among members of the public.,NA,NA,"Local data collection, for example, review of activities carried out by partners within the primary care network to raise awareness of the health and wellbeing expertise and services available from community pharmacy teams."
2,structure,b,QS196-2-structure-b,Evidence of local initiatives to raise awareness of the health and wellbeing expertise and services available from community pharmacy teams among health and social care practitioners.,NA,NA,"Local data collection, for example, review of the primary care network's activity to increase awareness of the role of community pharmacies."
2,outcome,a,QS196-2-outcome-a,Uptake of referrals into community pharmacy.,Number in the denominator presenting to community pharmacy after the referral.,Number of referrals from GP practices and NHS111 into community pharmacy.,"Local data collection, for example, review of pharmacy systems recording inward referrals."
2,outcome,b,QS196-2-outcome-b,Public understanding of the support available from local community pharmacies.,To be determined locally,To be determined locally,"Local data collection, for example, review of information recorded as part of the Community Pharmacy Patient Questionnaire."
3,structure,a,QS196-3-structure-a,Evidence of community pharmacies and commissioners working together to integrate community pharmacy services into care and referral pathways.,NA,NA,"Local data collection, for example, review of actions taken by commissioners, primary care networks and community pharmacies to facilitate integration."
3,structure,b,QS196-3-structure-b,"Evidence of defined referral pathways between community pharmacies, primary care networks, health, social care and support service providers.",NA,NA,"Local data collection, for example, review of arrangements agreed locally between community pharmacies, primary care networks, health, social care and support service providers."
3,structure,c,QS196-3-structure-c,"Evidence of key performance indicators (KPIs) being agreed for the pathways defined between community pharmacies, primary care networks, health, social care and support service providers.",NA,NA,"Local data collection, for example, review of KPIs agreed locally between community pharmacies, primary care networks, health, social care and support service providers."
3,outcome,a,QS196-3-outcome-a,Proportion of community pharmacy team members satisfied with the availability of referral pathways.,The number in the denominator satisfied with the availability of referral pathways.,The number of community pharmacy team members.,"Local data collection, for example, information collected through surveys of community pharmacy teams."
4,structure,a,QS196-4-structure-a,Evidence of actions taken locally between community pharmacies and commissioners to agree health and wellbeing interventions needed to support people from underserved groups.,NA,NA,"Local data collection, for example, review of arrangements between community pharmacies and primary care networks agreed locally."
4,structure,b,QS196-4-structure-b,Evidence of local commissioning agreements for provision of health and wellbeing interventions according to local need.,NA,NA,"Local data collection, for example, review of local contracts with relevant commissioners."
4,outcome,a,QS196-4-outcome-a,Proportion of community pharmacy team members who agree that the health and wellbeing services that they are commissioned to deliver reflect the needs of the local population.,The number in the denominator who agree that the health and wellbeing services that they are commissioned to deliver reflect the needs of the local population.,The number of community pharmacy team members.,"Local data collection, for example, information collected through surveys of community pharmacy teams."
