statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS85-1-structure-a,Evidence of local arrangements to ensure that a list is made of a person's medicines on the day that they transfer into a care home.,NA,NA
1,process,a,QS85-1-process-a,Proportion of transfers of people into a care home where a list of the person's medicines is made by the care home on the day of transfer.,The number in the denominator where a list of the person's medicines is made by the care home on the day of transfer.,The number of transfers of people into a care home.
1,outcome,a,QS85-1-outcome-a,Time between a person moving into a care home and completion of a list of their medicines.,NA,NA
2,structure,a,QS85-2-structure-a,"Evidence of local arrangements to ensure that a discharge summary, including details of a person's current medicines, is sent with a person when they transfer to or from a care home.",NA,NA
2,process,a,QS85-2-process-a,"Proportion of transfers of people to a care home in which a discharge summary, including details of a person's current medicines, is sent with the person.","The number in the denominator in which a discharge summary, including details of a person's current medicines, is sent with the person.",The number of transfers of people to a care home.
2,process,b,QS85-2-process-b,"Proportion of transfers of people from a care home in which a discharge summary, including details of a person's current medicines, is sent with the person.","The number in the denominator in which a discharge summary, including details of a person's current medicines, is sent with the person.",The number of transfers of people from a care home.
3,structure,a,QS85-3-structure-a,Evidence of local arrangements that care home staff provide support for residents to self‑administer their medicines unless a risk assessment has indicated otherwise.,NA,NA
3,structure,b,QS85-3-structure-b,Evidence of local arrangements to ensure that individual risk assessments are carried out that identify and document any support that a care home resident needs to self‑administer their medicines.,NA,NA
3,process,a,QS85-3-process-a,Proportion of people who live in a care home who have an individual risk assessment to identify any support they need to self‑administer their medicines.,The number in the denominator who have an individual risk assessment to identify any support they need to self‑administer their medicines.,The number of people who live in a care home.
3,process,b,QS85-3-process-b,"Proportion of people who live in a care home who wish to self‑administer their medicines, and who have not had a risk assessment that indicates that this would put themselves or others at risk, who self‑administer their medicines.",The number in the denominator who self‑administer their medicines.,"The number of people who live in a care home who wish to self‑administer their medicines, and who have not had a risk assessment that indicates that this would put themselves or others at risk."
3,outcome,a,QS85-3-outcome-a,"Feedback from care home residents that they feel supported to self‑administer their medicines, if they wish to and if they have not had a risk assessment that indicates that this would put themselves or others at risk.",NA,NA
4,structure,a,QS85-4-structure-a,Evidence of local arrangements that prescribers responsible for people who live in care homes provide comprehensive instructions for using and monitoring all newly prescribed medicines.,NA,NA
4,process,a,QS85-4-process-a,The proportion of newly prescribed medicines for people who live in care homes that are provided with comprehensive instructions for use and monitoring.,The number in the denominator that are provided with comprehensive instructions for use and monitoring.,The number of newly prescribed medicines for people who live in care homes.
4,outcome,a,QS85-4-outcome-a,Medicines‑related problems attributable to incomplete information provided with a prescription.,NA,NA
5,structure,a,QS85-5-structure-a,Evidence of local arrangements that medication reviews for people who live in care homes involve a multidisciplinary team who agree and document the roles and responsibilities of each member of the team and how they work together.,NA,NA
5,process,a,QS85-5-process-a,Proportion of medication reviews carried out for people who live in care homes that involve a multidisciplinary team.,The number in the denominator that involve a multidisciplinary team.,The number of medication reviews carried out for people who live in care homes.
6,structure,a,QS85-6-structure-a,Evidence of local arrangements to agree a management plan after a best interests meeting in which a decision is made to covertly administer medicines to an adult care home resident.,NA,NA
6,process,a,QS85-6-process-a,Proportion of adults in a care home being covertly administered medicine who have a record of a best interests meeting and management plan.,The number in the denominator with a record of a best interests meeting and management plan.,The number of adults in a care home being covertly administered medicine.
