statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS187-1-structure-a,Evidence of local arrangements to ensure that people growing older with a learning disability are actively involved when their care and support needs are being assessed.,NA,NA
1,structure,b,QS187-1-structure-b,.,NA,NA
1,outcome,a,QS187-1-outcome-a,Proportion of people growing older with a learning disability who feel actively involved in shaping the care and support they receive.,The number in the denominator who feel actively involved in shaping the care and support they receive.,The number of people growing older with a learning disability who receive care and support from health and social care services.
2,structure,a,QS187-2-structure-a,Evidence of local arrangements to ensure that named lead practitioners are responsible for coordinating care and support of people growing older with a learning disability.,NA,NA
2,structure,b,QS187-2-structure-b,Evidence of local arrangements to ensure that lead practitioners have access to all agencies involved in supporting people growing older with a learning disability.,NA,NA
2,process,a,QS187-2-process-a,Proportion of people growing older with a learning disability who have a named lead practitioner.,The number in the denominator who have a named lead practitioner.,The number of people growing older with a learning disability.
2,outcome,a,QS187-2-outcome-a,Proportion of people growing older with a learning disability who feel they can access the support they need when they need it.,The number in the denominator who feel they can access the support they need when they need it.,The number of people growing older with a learning disability who receive care and support from health and social care services.
3,structure,a,QS187-3-structure-a,Evidence of local arrangements to ensure that health and social care practitioners who have a good relationship with people growing older with a learning disability work with them and their support network to develop a plan for the future.,NA,NA
3,process,a,QS187-3-process-a,Proportion of people growing older with a learning disability who have a plan for the future.,The number in the denominator who have a plan for the future.,The number of people growing older with a learning disability.
3,process,b,QS187-3-process-b,Proportion of people growing older with a learning disability who were involved in developing their plan for the future.,The number in the denominator who were involved in developing their plan for the future.,The number of people growing older with a learning disability who have a plan for the future.
3,process,c,QS187-3-process-c,Proportion of people growing older with a learning disability who had their plan for the future reviewed in the past 12 months.,The number in the denominator who had the plan for the future reviewed in the past 12 months.,The number of people growing older with a learning disability who have a plan for the future.
3,outcome,a,QS187-3-outcome-a,Proportion of people growing older with a learning disability who feel that their wishes are respected as their circumstances change.,The number in the denominator who reported feeling that their wishes were respected as their circumstances changed.,The number of people growing older with a learning disability who receive care and support from health and social care services.
4,structure,a,QS187-4-structure-a,Date register of people growing older with a learning disability.,NA,NA
4,structure,b,QS187-4-structure-b,Evidence of local arrangements to ensure that GP practices offer annual health checks for people growing older with a learning disability.,NA,NA
4,structure,c,QS187-4-structure-c,Evidence of local processes to ensure that health action plans for people growing older with a learning disability are updated after the annual health checks are carried out.,NA,NA
4,process,a,QS187-4-process-a,Proportion of people growing older with a learning disability who had a health check within the past 12 months.,The number in the denominator who had a health check within the past 12 months.,The number of people growing older with a learning disability.
4,process,b,QS187-4-process-b,Proportion of people with a learning disability who had their health action plan updated after an annual health check.,The number in the denominator who had their health action plan updated after the health check.,The number of people with a learning disability who had a health check within the past 12 months.
5,structure,a,QS187-5-structure-a,Evidence of local arrangements to ensure that a learning disability is recorded in hospital case notes and electronic health records.,NA,NA
5,structure,b,QS187-5-structure-b,Evidence of hospital protocols to ensure that reasonable adjustments are put in place for people growing older with a learning disability before a planned hospital admission.,NA,NA
5,structure,c,QS187-5-structure-c,Evidence of team structure including learning disability liaison nurse.,NA,NA
5,process,a,QS187-5-process-a,Admission planning meeting.,Admission planning meeting.,The number of planned hospital admissions for people growing older with a learning disability.
5,outcome,a,QS187-5-outcome-a,Proportion of people growing older with a learning disability who felt satisfied with the support provided during their planned hospital stay.,The number in the denominator who felt satisfied with the support provided during their planned hospital stay.,The number of people growing older with a learning disability who had a planned hospital stay.
