statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS127-1-structure-a,Evidence of local arrangements to ensure that people are informed of their BMI when it is calculated.,NA,NA
1,structure,b,QS127-1-structure-b,Evidence of local arrangements to ensure that people have a discussion with the healthcare professional about the associated health risks related to their BMI measurement.,NA,NA
1,process,a,QS127-1-process-a,Proportion of people who are informed of their BMI when it is calculated.,The number in the denominator who are informed of their BMI.,The number of people who have had their BMI calculated.
1,process,b,QS127-1-process-b,Proportion of people who have a discussion with their healthcare professional about their associated health risks in relation to their BMI.,The number in the denominator who had a discussion with their healthcare professional about their associated health risks in relation to their BMI.,The number of people informed of their BMI.
1,outcome,a,QS127-1-outcome-a,Patient awareness of their BMI measurement.,NA,NA
1,outcome,b,QS127-1-outcome-b,Patient understanding of the health risks associated with their weight.,NA,NA
2,structure,a,QS127-2-structure-a,"Evidence of local arrangements and written protocols to ensure that adults with a BMI of 30 or more for whom tier 2 interventions have been unsuccessful have a discussion about the choice of alternative interventions for weight management, including tier 3 services.",NA,NA
2,process,a,QS127-2-process-a,"Proportion of adults with a BMI of 30 or more for whom tier 2 interventions have been unsuccessful who have a discussion about the choice of alternative interventions for weight management, including tier 3 services.","The number in the denominator who have a discussion about the choice of alternative interventions for weight management, including tier 3 services.",The number of adults with a BMI of 30 or more for whom tier 2 interventions have been unsuccessful.
2,outcome,a,QS127-2-outcome-a,Patient satisfaction with knowing the full range of choices on offer.,NA,NA
3,structure,a,QS127-3-structure-a,Evidence of local arrangements and written protocols to ensure that children and young people who are overweight or obese and have significant comorbidities or complex needs are referred to a paediatrician with a special interest in obesity.,NA,NA
3,process,a,QS127-3-process-a,Proportion of children and young people who are overweight or obese and have significant comorbidities who are referred to a paediatrician with a special interest in obesity.,The number in the denominator who are referred to a paediatrician with a special interest in obesity.,The number of children and young people who are overweight or obese and have significant comorbidities.
3,process,b,QS127-3-process-b,Proportion of children and young people who are overweight or obese and have complex needs who are referred to a paediatrician with a special interest in obesity.,The number in the denominator who are referred to a paediatrician with a special interest in obesity.,The number of children and young people who are overweight or obese and have complex needs.
3,outcome,a,QS127-3-outcome-a,Access to tier 3 services for children and young people who are overweight or obese and have significant comorbidities or complex needs.,NA,NA
3,outcome,b,QS127-3-outcome-b,Weight loss in children and young people who are overweight or obese and have significant comorbidities or complex needs.,NA,NA
3,outcome,c,QS127-3-outcome-c,Exclusion of underlying medical causes of obesity in children and young people who are overweight or obese.,NA,NA
3,outcome,d,QS127-3-outcome-d,Treatment of comorbidity in children and young people who are overweight or obese.,NA,NA
4,structure,a,QS127-4-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults with a BMI of 35 or more who have been diagnosed with type 2 diabetes within the past 10 years are offered an expedited referral for bariatric surgery assessment.,NA,NA
4,process,a,QS127-4-process-a,Proportion of adults with a BMI of 35 or more who have been diagnosed with type 2 diabetes within the past 10 years who have an expedited referral for bariatric surgery assessment.,The number in the denominator who have an expedited referral for bariatric surgery assessment.,The number of adults with a BMI of 35 or more who have been diagnosed with type 2 diabetes within the past 10 years.
4,outcome,a,QS127-4-outcome-a,Bariatric surgery assessments for adults with a BMI of 35 or more diagnosed with type 2 diabetes within the past 10 years.,NA,NA
5,structure,a,QS127-5-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults with a BMI above 50 are offered a referral for bariatric surgery assessment.,NA,NA
5,process,a,QS127-5-process-a,Proportion of adults with a BMI above 50 who are referred for bariatric surgery assessment.,The number in the denominator who are referred for bariatric surgery assessment.,The number of adults with a BMI above 50.
5,outcome,a,QS127-5-outcome-a,Bariatric surgery assessments for adults with a BMI above 50.,NA,NA
6,structure,a,QS127-6-structure-a,Evidence of local arrangements to ensure that people who have had bariatric surgery are offered a follow-up care package within the bariatric service for a minimum of 2 years.,NA,NA
6,process,a,QS127-6-process-a,Proportion of people who have had bariatric surgery who have a follow-up care package within the bariatric service for a minimum of 2 years after bariatric surgery.,The number in the denominator who have a postoperative follow-up care package within the bariatric service.,The number of people who had bariatric surgery within the past 2 years.
6,outcome,a,QS127-6-outcome-a,Nutritional status in the first 2 years following bariatric surgery.,NA,NA
6,outcome,b,QS127-6-outcome-b,Patient satisfaction with bariatric surgery.,NA,NA
7,structure,a,QS127-7-structure-a,Evidence of local arrangements and written clinical protocols to ensure that people are offered at least annual monitoring of nutritional status and appropriate supplementation after discharge from bariatric surgery service follow-up as part of a shared-care model of management.,NA,NA
7,structure,b,QS127-7-structure-b,"Evidence of a locally agreed shared-care model of management for people who are discharged from bariatric surgery service follow-up, developed by tier 3 specialists and primary care.",NA,NA
7,process,a,QS127-7-process-a,Proportion of people discharged from bariatric surgery service follow-up who have at least annual monitoring of nutritional status and appropriate supplementation as part of a shared-care model of management.,The number in the denominator who have had their nutritional status monitored within the past year as part of a shared-care model of management.,The number of people discharged from bariatric surgery service follow-up more than 1 year ago.
7,outcome,a,QS127-7-outcome-a,Nutritional status after discharge from bariatric surgery service follow-up.,NA,NA
