statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS166-1-structure-a,"Evidence of the availability of healthcare professionals trained to perform drug‑assisted RSI of anaesthesia and intubation at the scene, or of systems to transport people to the nearest emergency department where it can be performed.",NA,NA
1,structure,b,QS166-1-structure-b,"Evidence of local arrangements to support decision‑making about whether to dispatch trained healthcare professionals to the scene to deliver drug‑assisted RSI of anaesthesia and intubation, or transport the person to the nearest emergency department where it can be performed.",NA,NA
1,process,a,QS166-1-process-a,Proportion of people with major trauma who cannot maintain their airway and/or ventilation who have drug‑assisted RSI of anaesthesia and intubation.,The number in the denominator who have drug‑assisted RSI of anaesthesia and intubation.,The number of people with major trauma who cannot maintain their airway and/or ventilation.
1,process,b,QS166-1-process-b,Proportion of people with major trauma who cannot maintain their airway and/or ventilation who have drug‑assisted RSI of anaesthesia and intubation within 45 minutes of the initial call to the emergency services.,The number in the denominator who have drug‑assisted RSI of anaesthesia and intubation within 45 minutes of the initial call to the emergency services.,The number of people with major trauma who cannot maintain their airway and/or ventilation and have drug‑assisted RSI of anaesthesia and intubation.
1,outcome,a,QS166-1-outcome-a,Mortality rates from major trauma.,NA,NA
1,outcome,b,QS166-1-outcome-b,Rates of brain injury resulting from lack of oxygen caused by major trauma.,NA,NA
2,structure,a,QS166-2-structure-a,"Evidence of local arrangements to ensure that provisional written radiology reports of urgent 3D imaging for chest trauma, haemorrhage and spinal injury are available within 60 minutes of the scan.",NA,NA
2,process,a,QS166-2-process-a,Proportion of urgent 3D images for chest trauma with a provisional written radiology report available within 60 minutes of the scan.,The number in the denominator with a provisional written radiology report available within 60 minutes of the scan.,The number of urgent 3D images for chest trauma.
2,process,b,QS166-2-process-b,Proportion of urgent 3D images for haemorrhage with a provisional written radiology report available within 60 minutes of the scan.,The number in the denominator with a provisional written radiology report available within 60 minutes of the scan.,The number of urgent 3D images for haemorrhage.
2,process,c,QS166-2-process-c,Proportion of urgent 3D images for spinal injury with a provisional written radiology report available within 60 minutes of the scan.,The number in the denominator with a provisional written radiology report available within 60 minutes of the scan.,The number of urgent 3D images for spinal injury.
2,outcome,a,QS166-2-outcome-a,Mortality rates from major trauma.,NA,NA
2,outcome,b,QS166-2-outcome-b,Length of hospital stay for people with major trauma.,NA,NA
2,outcome,c,QS166-2-outcome-c,Health-related quality of life for people who have experienced major trauma.,NA,NA
3,structure,a,QS166-3-structure-a,"Evidence that orthopaedic and plastic surgery specialities have a joint orthoplastic surgery service that allows for fixation and definitive soft tissue cover of open fractures of long bones, the hindfoot or midfoot within 72 hours of injury if this cannot be performed at the same time as debridement.",NA,NA
3,process,a,QS166-3-process-a,"Proportion of open fractures of long bones, the hindfoot or midfoot with fixation and definitive soft tissue cover performed within 72 hours of injury if this cannot be performed at the same time as debridement.",The number in the denominator with fixation and definitive soft tissue cover performed within 72 hours of injury.,"The number of open fractures of long bones, the hindfoot or midfoot where fixation and soft tissue cover cannot be performed at the same time as debridement."
3,process,b,QS166-3-process-b,"Proportion of open fractures of long bones, the hindfoot or midfoot with fixation and definitive soft tissue cover performed within 72 hours of injury.",The number in the denominator with fixation and definitive soft tissue cover performed within 72 hours of injury.,"The number of open fractures of long bones, the hindfoot or midfoot."
3,outcome,a,QS166-3-outcome-a,Rates of unplanned surgery after surgery on open fractures.,NA,NA
3,outcome,b,QS166-3-outcome-b,Non-emergency amputation rates for people with open fractures.,NA,NA
3,outcome,c,QS166-3-outcome-c,Length of hospital stay for people with open fractures.,NA,NA
3,outcome,d,QS166-3-outcome-d,Time taken to return to normal activities for people with open fractures.,NA,NA
4,structure,a,QS166-4-structure-a,Evidence of the documented use of checklists to ensure that the Canadian C‑spine rule is used to assess people with full in‑line spinal immobilisation for their risk of cervical spine injury.,NA,NA
4,process,a,QS166-4-process-a,Proportion of people with full in‑line spinal immobilisation who have had their risk of cervical spine injury assessed using the Canadian C‑spine rule.,The number in the denominator who have had their risk of cervical spine injury assessed using the Canadian C‑spine rule.,The number of people with full in‑line spinal immobilisation.
4,outcome,a,QS166-4-outcome-a,Rates of neurological deterioration caused by inappropriate removal of spinal immobilisation.,NA,NA
4,outcome,b,QS166-4-outcome-b,Rates of appropriate removal of full in-line spinal immobilisation.,NA,NA
5,structure,a,QS166-5-structure-a,Evidence of a dedicated trauma ward for patients with multisystem injuries.,NA,NA
5,structure,b,QS166-5-structure-b,"Evidence of the availability of a designated consultant 24 hours a day, 7 days a week, who has responsibility and authority for the hospital trauma service and leads the multidisciplinary team care.",NA,NA
5,outcome,a,QS166-5-outcome-a,Mortality rates from major trauma.,NA,NA
5,outcome,b,QS166-5-outcome-b,Length of hospital stay for people who have had major trauma.,NA,NA
5,outcome,c,QS166-5-outcome-c,Patient experience of major trauma services.,NA,NA
6,structure,a,QS166-6-structure-a,Evidence of the availability of acute specialist services for rehabilitation after major trauma.,NA,NA
6,structure,b,QS166-6-structure-b,Evidence of the availability of acute specialist services for children.,NA,NA
6,structure,c,QS166-6-structure-c,Evidence of the availability of acute specialist services for older people.,NA,NA
6,outcome,a,QS166-6-outcome-a,Morbidity from major trauma.,NA,NA
6,outcome,b,QS166-6-outcome-b,Length of hospital stay for people who have had major trauma.,NA,NA
6,outcome,c,QS166-6-outcome-c,Patient experience of major trauma services.,NA,NA
