statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS8-1-structure-a,"Evidence of an assessment process for people who may have depression that identifies the severity of symptoms, the degree of associated functional impairment and the duration of the episode.",NA,NA,NA
1,process,a,QS8-1-process-a,"Proportion of people who receive an assessment for depression that identifies the severity of symptoms, the degree of associated functional impairment and the duration of the episode.","The number of people in the denominator receiving an assessment that identifies the severity of symptoms, the degree of associated functional impairment and the duration of the episode.",The number of people receiving an assessment for depression.,NA
2,structure,a,QS8-2-structure-a,"Evidence of local arrangements for the regular supervision of practitioners delivering pharmacological, psychological or psychosocial interventions for people with depression.",NA,NA,NA
2,structure,b,QS8-2-structure-b,"Evidence of local arrangements for regular monitoring of compliance with applicable competencies for practitioners delivering pharmacological, psychological or psychosocial interventions.",NA,NA,NA
2,structure,c,QS8-2-structure-c,"Evidence that services are commissioned to provide pharmacological, psychological or psychosocial interventions of content and duration in accordance with NICE guidance for people with depression.",NA,NA,NA
2,process,a,QS8-2-process-a,"Proportion of practitioners delivering pharmacological, psychological or psychosocial interventions for people with depression who receive regular supervision.",The number of practitioners in the denominator receiving regular supervision.,"The number of practitioners delivering pharmacological, psychological or psychosocial interventions for people with depression.",NA
2,process,b,QS8-2-process-b,Proportion of people with depression receiving interventions who receive interventions of appropriate content in accordance with NICE guidance.,The number of people in the denominator receiving interventions of appropriate content in accordance with NICE guidance.,"The number of people with depression receiving psychological, psychosocial or pharmacological interventions.",NA
2,process,c,QS8-2-process-c,Proportion of people with depression receiving interventions who receive interventions of appropriate duration in accordance with NICE guidance.,The number of people in the denominator receiving interventions of appropriate duration in accordance with NICE guidance.,"The number of people with depression receiving psychological, psychosocial or pharmacological interventions.",NA
3,structure,a,QS8-3-structure-a,Evidence of systems in place to monitor health outcomes for people with depression at each appointment and use the findings to adjust delivery of interventions.,NA,NA,NA
3,process,a,QS8-3-process-a,"Proportion of people with depression receiving pharmacological, psychological or psychosocial interventions who have their health outcomes recorded at initial contact and subsequent review.",The number of people in the denominator whose health outcomes are recorded at initial contact and subsequent review.,"The number of people with depression receiving pharmacological, psychological or psychosocial interventions.",NA
4,structure,a,QS8-4-structure-a,Evidence of local arrangements to provide appropriate low-intensity psychosocial interventions to people with persistent subthreshold depressive symptoms or mild to moderate depression.,NA,NA,NA
4,process,a,QS8-4-process-a,Proportion of people with persistent subthreshold symptoms or mild to moderate depression who receive appropriate low-intensity psychosocial interventions.,The number of people in the denominator receiving appropriate low-intensity psychosocial interventions.,The number of people with persistent subthreshold depressive symptoms or mild to moderate depression.,NA
5,structure,a,QS8-5-structure-a,Evidence of local arrangements to support the correct prescribing of antidepressants to people with persistent subthreshold depressive symptoms or mild depression in accordance with the NICE guidance.,NA,NA,NA
