statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS73-1-structure-a,"Evidence of local arrangements to ensure that people who are concerned that it is taking longer than expected to conceive are given written and verbal advice on the impact that lifestyle (including body weight, smoking, alcohol and recreational drug use) can have on their chances of getting pregnant.",NA,NA
1,process,a,QS73-1-process-a,"Proportion of people who are concerned that it is taking longer than expected to conceive who are given written and verbal advice on the impact that lifestyle (including body weight, smoking, alcohol and recreational drug use) can have on their chances of getting pregnant.","The number in the denominator given written and verbal advice on the impact that lifestyle (including body weight, smoking, alcohol and recreational drug use) can have on their chances of getting pregnant.",The number of people who are concerned that it is taking longer than expected to conceive.
1,outcome,a,QS73-1-outcome-a,People who are concerned that it is taking longer than expected to conceive feel informed about the impact that lifestyle can have on their chances of getting pregnant.,NA,NA
2,structure,a,QS73-2-structure-a,"Evidence of local arrangements to ensure that referral pathways are in place for specialist consultation when women have not conceived after 1 year of intercourse or after 6 cycles of artificial insemination, or earlier in certain circumstances.",NA,NA
2,process,a,QS73-2-process-a,"Proportion of people (women aged 35 years or under and men) who are referred for specialist consultation if the woman has not conceived after 1 year of intercourse or after 6 cycles of artificial insemination, when there is no known clinical cause or history of predisposing factors for infertility in the woman or man.",The number in the denominator who are referred for specialist consultation.,The number of people (women aged 35 years or under and men) who have not conceived after 1 year of intercourse or after 6 cycles of artificial insemination and there is no known clinical cause or history of predisposing factors for infertility in the woman or man.
2,process,b,QS73-2-process-b,"Proportion of people who are referred for specialist consultation within 1 year of identification of fertility problems when there is a known clinical cause in the woman or man, a history of predisposing factors for infertility or the woman is aged 36 years or older.",The number in the denominator who are referred for specialist consultation within 1 year of identification of fertility problems.,"The number of people who have not conceived and have a known clinical cause, a history of predisposing factors for infertility or the woman is aged 36 years or older."
3,structure,a,QS73-3-structure-a,"Evidence of local arrangements to ensure that people who are having problems conceiving are offered counselling before, during and after investigation and treatment for their fertility problems in secondary or tertiary care.",NA,NA
3,process,a,QS73-3-process-a,Proportion of people who are having problems conceiving and who are having investigations for fertility problems in secondary or tertiary care who receive counselling.,The number in the denominator who receive counselling.,The number of people who are having problems conceiving and who are having investigations for their fertility problems in secondary or tertiary care.
3,process,b,QS73-3-process-b,Proportion of people who are having problems conceiving and who are having treatment for fertility problems in secondary or tertiary care who receive counselling.,The number in the denominator who receive counselling.,The number of people who are having problems conceiving and who are having treatment for their fertility problems in secondary or tertiary care.
3,process,c,QS73-3-process-c,Proportion of people who are having problems conceiving and who have received treatment for fertility problems in secondary and tertiary care who receive counselling.,The number in the denominator who receive counselling.,The number of people who are having problems conceiving and who have received treatment for fertility problems in secondary or tertiary care.
3,outcome,a,QS73-3-outcome-a,People who are having problems conceiving feel supported throughout and after investigation and treatment for their fertility problems.,NA,NA
4,structure,a,QS73-4-structure-a,Evidence of a quality assurance programme to ensure that services analysing semen samples use methods and reference values in accordance with the most recent World Health Organization laboratory manual.,NA,NA
5,structure,a,QS73-5-structure-a,Evidence of local arrangements to provide 3 full cycles of IVF for women aged under 40 years who meet the criteria for IVF.,NA,NA
5,process,a,QS73-5-process-a,Proportion of women aged under 40 years who meet the criteria for IVF who are offered 3 full cycles of IVF.,The number in the denominator who receive 3 full cycles of IVF.,The number of women aged under 40 years who meet the criteria for IVF.
6,structure,a,QS73-6-structure-a,Evidence of a locally agreed policy on provision of 1 full cycle of IVF for women aged 40–42 years who meet the criteria for IVF.,NA,NA
6,process,a,QS73-6-process-a,Proportion of women aged 40–42 years who meet the criteria for IVF who are offered 1 full cycle of IVF.,The number in the denominator who receive 1 full cycle of IVF.,The number of women aged 40–42 years who meet the criteria for IVF.
7,structure,a,QS73-7-structure-a,"Evidence of local arrangements to ensure that ICSI is offered only if there are severe deficits in semen quality, obstructive azoospermia, non‑obstructive azoospermia or if previous IVF treatment resulted in failed or very poor fertilisation.",NA,NA
7,process,a,QS73-7-process-a,"Proportion of women having IVF with ICSI because of severe deficits in semen quality, obstructive azoospermia, non‑obstructive azoospermia or because previous IVF treatment resulted in failed or very poor fertilisation.","The number in the denominator having ICSI because of severe deficits in semen quality, obstructive azoospermia, non‑obstructive azoospermia or because previous IVF treatment resulted in failed or very poor fertilisation.",The number of women having IVF with ICSI.
8,structure,a,QS73-8-structure-a,"Evidence of local arrangements to implement an agreed embryo transfer strategy in which 1 or 2 embryos are transferred according to the woman's or donor's age, the cycle number and the quality of the embryos.",NA,NA
8,process,a,QS73-8-process-a,Proportion of IVF cycles in which embryo transfers are carried out in line with Fertility (NICE guideline CG156) (see also the definitions section below).,The number in the denominator carried out in line with Fertility (NICE guideline CG156).,The number of embryo transfers in IVF cycles.
8,outcome,a,QS73-8-outcome-a,Proportion of embryo transfers that are elective single embryo transfers.,NA,NA
8,outcome,b,QS73-8-outcome-b,Number of IVF treatments resulting in multiple pregnancy.,NA,NA
9,error,NA,QS73-9-error,NA,NA,NA
