statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS10-1-structure-a,Evidence of local arrangements and written clinical protocols to ensure that people aged over 35 years presenting with a risk factor and one or more symptoms of COPD have post‑bronchodilator spirometry.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme.
1,structure,b,QS10-1-structure-b,Evidence of local arrangements and written clinical protocols to ensure that healthcare professionals in primary care using post‑bronchodilator spirometry are trained and competent in its use.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme.
1,structure,c,QS10-1-structure-c,Evidence of local arrangements to ensure that primary care services providing post‑bronchodilator spirometry are supported by quality control processes.,NA,NA,Local data collection.
1,process,a,QS10-1-process-a,Proportion of people aged over 35 years presenting with a risk factor and one or more symptoms of COPD who have post‑bronchodilator spirometry.,The number in the denominator who have post‑bronchodilator spirometry.,The number of people aged over 35 years presenting with a risk factor and one or more symptoms of COPD.,Local data collection. Quality and Outcomes Framework indicator COPD002: The percentage of patients with COPD in whom the diagnosis has been confirmed by post‑bronchodilator spirometry between 3 months before and 12 months after entering on to the register.
1,outcome,a,QS10-1-outcome-a,COPD incidence.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,structure,a,QS10-2-structure-a,Evidence of local arrangements and written clinical protocols to ensure that people with COPD who are prescribed an inhaler have their technique assessed at the start of treatment and then regularly during their treatment.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,structure,b,QS10-2-structure-b,"Evidence of local arrangements and written clinical protocols to ensure that healthcare professionals in primary, community and secondary care services are trained and competent in teaching inhaler technique.",NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,process,a,QS10-2-process-a,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed at the start of treatment.,The number in the denominator who have their inhaler technique assessed at the start of treatment.,The number of people with COPD prescribed an inhaler.,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,process,b,QS10-2-process-b,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed at their annual review.,The number in the denominator whose last inhaler annual review was no longer than 12 months since the previous one or since inhaler initiation.,The number of people with COPD prescribed an inhaler for more than 12 months.,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,process,c,QS10-2-process-c,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed after a change in treatment.,The number in the denominator who had their inhaler technique assessed after a change in treatment.,The number of people with COPD prescribed an inhaler who have had their inhaler changed.,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,process,d,QS10-2-process-d,Proportion of people with COPD prescribed an inhaler who have their inhaler technique assessed after an acute exacerbation.,The number in the denominator who had their inhaler technique assessed after an acute exacerbation.,The number of people with COPD prescribed an inhaler who have had an acute exacerbation.,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,outcome,a,QS10-2-outcome-a,Exacerbation rates.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
2,outcome,b,QS10-2-outcome-b,Hospital admissions.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
3,structure,a,QS10-3-structure-a,Evidence of local arrangements and written clinical protocols to ensure that people with stable COPD and a persistent resting stable oxygen saturation level of 92% or less have their arterial blood gases measured to assess whether they need LTOT.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme.
3,process,a,QS10-3-process-a,Proportion of people with stable COPD and a persistent resting stable oxygen saturation level of 92% or less who have their arterial blood gases measured to assess whether they need LTOT.,The number in the denominator who have their arterial blood gases measured to assess whether they need LTOT.,The number of people with stable COPD and a persistent resting stable oxygen saturation level of 92% or less.,Local data collection. Royal College of Physicians' National COPD Audit Programme.
3,outcome,a,QS10-3-outcome-a,Hospital admission for acute exacerbation.,To be determined locally,To be determined locally,Local data collection.
3,outcome,b,QS10-3-outcome-b,Quality of life.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS10-4-structure-a,Evidence of local arrangements and written clinical protocols to ensure that people with stable COPD and exercise limitation due to breathlessness are referred to a pulmonary rehabilitation programme.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme: pulmonary rehabilitation clinical audit and organisational audit.
4,process,a,QS10-4-process-a,Proportion of people with stable COPD and exercise limitation due to breathlessness who are referred to a pulmonary rehabilitation programme.,The number in the denominator who are referred to a pulmonary rehabilitation programme.,The number of people with stable COPD and exercise limitation due to breathlessness.,Local data collection. Royal College of Physicians' National COPD Audit Programme: pulmonary rehabilitation clinical audit.
4,process,b,QS10-4-process-b,Proportion of referrals of people with stable COPD and exercise limitation due to breathlessness that result in the person attending a pulmonary rehabilitation programme.,The number in the denominator that result in the person attending a pulmonary rehabilitation programme.,The number of referrals of people with stable COPD and exercise limitation due to breathlessness to pulmonary rehabilitation programmes.,Local data collection. Royal College of Physicians' National COPD Audit Programme: pulmonary rehabilitation clinical audit.
4,process,c,QS10-4-process-c,Proportion of attendances of people with stable COPD and exercise limitation due to breathlessness that result in the person completing a pulmonary rehabilitation programme.,The number in the denominator that result in the person completing a pulmonary rehabilitation programme.,The number of attendances of people with stable COPD and exercise limitation due to breathlessness at pulmonary rehabilitation programmes.,Local data collection. Royal College of Physicians' National COPD Audit Programme: pulmonary rehabilitation clinical audit.
4,outcome,a,QS10-4-outcome-a,Hospital admissions for acute exacerbation.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
4,outcome,b,QS10-4-outcome-b,Quality of life.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
4,outcome,c,QS10-4-outcome-c,Exercise capacity.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme: Pulmonary rehabilitation clinical audit.
4,outcome,d,QS10-4-outcome-d,GP attendances.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
5,structure,a,QS10-5-structure-a,Evidence of local arrangements and written clinical protocols to ensure that people with COPD admitted to hospital for an acute exacerbation start a pulmonary rehabilitation programme within 4 weeks of discharge.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme: pulmonary rehabilitation clinical audit and organisational audit.
5,process,a,QS10-5-process-a,Proportion of people discharged from hospital after an acute exacerbation of COPD who start a pulmonary rehabilitation programme within 4 weeks of discharge.,The number in the denominator who start a pulmonary rehabilitation programme within 4 weeks of discharge.,The number of people discharged from hospital after an acute exacerbation of COPD.,Local data collection. Royal College of Physicians' National COPD Audit Programme: pulmonary rehabilitation clinical audit.
5,outcome,a,QS10-5-outcome-a,Hospital admissions for acute exacerbations.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
5,outcome,b,QS10-5-outcome-b,Quality of life.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
5,outcome,c,QS10-5-outcome-c,Exercise capacity.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme: pulmonary rehabilitation clinical audit.
6,structure,a,QS10-6-structure-a,Evidence of local arrangements and written clinical protocols to ensure that people receiving emergency oxygen for an acute exacerbation of COPD have their oxygen saturation levels maintained between 88% and 92%.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme.
6,process,a,QS10-6-process-a,Proportion of people receiving emergency oxygen for an acute exacerbation of COPD who have their oxygen saturation levels maintained between 88% and 92%.,The number in the denominator whose oxygen saturation levels are maintained between 88% and 92%.,The number of people with an acute exacerbation of COPD receiving emergency oxygen.,NA
6,outcome,a,QS10-6-outcome-a,Frequency of non‑invasive ventilation due to oxygen toxicity.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
6,outcome,b,QS10-6-outcome-b,Morbidity rates.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
7,structure,a,QS10-7-structure-a,Evidence of local arrangements to ensure that people with an acute exacerbation of COPD and persistent acidotic hypercapnic ventilatory failure that is not improving after 1 hour of optimal medical treatment have non‑invasive ventilation.,NA,NA,Local data collection. Royal College of Physicians' National COPD Audit Programme.
7,process,a,QS10-7-process-a,Proportion of people with an exacerbation of COPD and persistent acidotic hypercapnic ventilatory failure that is not improving after 1 hour of optimal medical treatment who have non‑invasive ventilation.,The number in the denominator who have non‑invasive ventilation.,The number of people with an acute exacerbation of COPD and persistent acidotic hypercapnic ventilatory failure that is not improving after 1 hour of optimal medical therapy.,NA
7,outcome,a,QS10-7-outcome-a,Mortality rates.,To be determined locally,To be determined locally,Local data collection. Royal College of Physicians' National COPD Audit Programme.
8,placeholder,NA,QS10-8-placeholder,NA,NA,NA,NA
