statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS59-1-structure-a,"Evidence of locally agreed protocols for the identification of school classes where a high proportion of children are at risk of developing a conduct disorder, by individuals or groups with relevant expertise in antisocial behaviour and conduct disorders in children.",NA,NA,NA
1,structure,b,QS59-1-structure-b,"Evidence of local arrangements for health and social care practitioners, managers and commissioners to work with colleagues in the education sector to design local pathways that include provision of classroom-based interventions for children at risk of developing a conduct disorder.",NA,NA,NA
1,structure,c,QS59-1-structure-c,Evidence of local arrangements to ensure that children aged 3 to 7 years in classroom populations that have a high proportion of children identified to be at risk of developing a conduct disorder are offered a classroom-based emotional learning and problem-solving programme.,NA,NA,Local data collection.
1,process,a,QS59-1-process-a,Proportion of school classes (for children aged 3 to 7 years) where a high proportion of children are identified to be at risk of developing a conduct disorder that receive a classroom-based emotional learning and problem-solving programme.,The number of school classes in the denominator that receive a classroom-based emotional learning and problem-solving programme.,The number of school classes (for children aged 3 to 7 years) that have a high proportion of children identified as at risk of developing a conduct disorder.,Local data collection.
1,outcome,a,QS59-1-outcome-a,Rates of antisocial behaviour within a classroom population.,To be determined locally,To be determined locally,Local data collection
2,structure,a,QS59-2-structure-a,"Evidence of local arrangements to ensure that children and young people with a suspected conduct disorder and any significant complicating factors have a comprehensive assessment, including an assessment of their parents or carers.",NA,NA,Local data collection.
2,process,a,QS59-2-process-a,The proportion of children and young people with a suspected conduct disorder and any significant complicating factors who have a comprehensive assessment.,The number of children and young people in the denominator who have a comprehensive assessment.,The number of children and young people with a suspected conduct disorder and any significant complicating factors.,NA
2,process,b,QS59-2-process-b,The proportion of parents or carers of children and young people with a suspected conduct disorder and any significant complicating factors who have a comprehensive assessment.,The number of parents or carers in the denominator who have a comprehensive assessment.,The number of parents or carers of children and young people with a suspected conduct disorder and any significant complicating factors.,Local data collection.
3,structure,a,QS59-3-structure-a,Evidence of local arrangements to ensure that children and young people with a conduct disorder who have been referred for treatment and support have a key worker to oversee their care and facilitate engagement with services.,NA,NA,Local data collection.
3,process,a,QS59-3-process-a,Proportion of children and young people with a conduct disorder referred for treatment and support who have a key worker.,The number of children and young people in the denominator who have a key worker.,The number of children and young people with a conduct disorder who have been referred for treatment and support.,Local data collection.
3,outcome,a,QS59-3-outcome-a,Treatment uptake rates.,To be determined locally,To be determined locally,NA
3,outcome,b,QS59-3-outcome-b,Treatment completion rates.,To be determined locally,To be determined locally,NA
3,outcome,c,QS59-3-outcome-c,'Did not attend' rates for children and young people with conduct disorders and their families.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS59-4-structure-a,Evidence of local arrangements to ensure that parents or carers of children with a conduct disorder aged 3 to 11 years are offered a referral for group or individual parent or carer training programmes.,NA,NA,Local data collection.
4,process,a,QS59-4-process-a,Proportion of parents or carers of children with a conduct disorder aged 3 to 11 years who are offered a referral for a group or individual parent or carer training programme.,The number of parents or carers in the denominator who are offered a referral for a group or individual parent or carer training programme.,The number of parents or carers of children with a conduct disorder aged 3 to 11 years.,NA
4,process,b,QS59-4-process-b,Proportion of parents or carers of children with a conduct disorder aged 3 to 11 years who attend a group or individual parent or carer training programme.,The number of parents or carers in the denominator who attend a group or individual parent or carer training programme.,The number of parents or carers of children with a conduct disorder aged 3 to 11 years.,NA
4,process,c,QS59-4-process-c,Proportion of parents or carers of children with a conduct disorder aged 3 to 11 years who complete a group or individual parent or carer training programme.,The number of parents or carers in the denominator who complete a group or individual parent or carer training programme.,The number of parents or carers of children with a conduct disorder aged 3 to 11 years.,Local data collection.
5,structure,a,QS59-5-structure-a,"Evidence of local arrangements to ensure that children and young people aged 11 to 17 years who have a conduct disorder are referred for multimodal interventions, which involve their parents or carers.",NA,NA,Local data collection.
5,process,a,QS59-5-process-a,Proportion of children and young people aged 11 to 17 years who have a conduct disorder who take part in multimodal interventions.,The number of children and young people in the denominator who take part in multimodal interventions.,The number of children and young people aged 11 to 17 years who have a conduct disorder.,NA
5,process,b,QS59-5-process-b,Proportion of parents or carers of children and young people aged 11 to 17 years who have a conduct disorder who are involved in multimodal interventions.,The number of parents or carers in the denominator who are involved in multimodal interventions.,The number of parents or carers of children and young people aged 11 to 17 years who have a conduct disorder.,Local data collection.
6,structure,a,QS59-6-structure-a,Evidence of local arrangements to ensure that children and young people with a conduct disorder and severely aggressive behaviour who have been prescribed risperidone have a baseline physical and metabolic investigation and are monitored for efficacy and adverse effects at regular intervals.,NA,NA,Local data collection.
6,process,a,QS59-6-process-a,The proportion of children and young people with a conduct disorder and severely aggressive behaviour who have been prescribed risperidone who have a baseline physical and metabolic investigation carried out and recorded before the start of treatment.,The number of children and young people in the denominator who have a baseline physical and metabolic investigation carried out and recorded before the start of treatment.,The number of children and young people with a conduct disorder and severely aggressive behaviour who have been prescribed risperidone.,NA
6,process,b,QS59-6-process-b,The proportion of children and young people with a conduct disorder and severely aggressive behaviour who are taking risperidone who have physical and metabolic investigations repeated and recorded at regular intervals.,The number of children and young people in the denominator who have physical and metabolic investigations repeated and recorded at regular intervals.,The number of children and young people with a conduct disorder and severely aggressive behaviour who are taking risperidone.,NA
6,process,c,QS59-6-process-c,The proportion of children and young people with a conduct disorder and severely aggressive behaviour who are taking risperidone who have changes in their symptoms and behaviour monitored and recorded at regular intervals.,The number of children and young people in the denominator who have changes in their symptoms and behaviour monitored and recorded at regular intervals.,The number of children and young people with a conduct disorder and severely aggressive behaviour who are taking risperidone.,Local data collection.
