statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS74-1-structure-a,Evidence of local arrangements to ensure that CT head scans can be performed within 1 hour of a risk factor for brain injury being identified in people attending emergency departments with a head injury.,NA,NA,Local data collection.
1,process,a,QS74-1-process-a,Proportion of emergency department attendances of people with a head injury for which a CT head scan is performed within 1 hour of a risk factor for brain injury being identified.,The number in the denominator having a CT head scan within 1 hour of a risk factor for brain injury being identified.,The number of emergency department attendances of people with a head injury and a risk factor for brain injury indicating the need for a CT head scan.,"Local data collection. The Trauma Audit and Research Network (TARN) collects data for a subset of the population; however, data for the entire process measure are not currently collected. TARN collects data on CT scans performed within 1 hour for people with a head injury and Glasgow Coma Scale (GCS) score of less than 13."
1,outcome,a,QS74-1-outcome-a,Mortality from skull fracture and intracranial injury.,To be determined locally,To be determined locally,"Indicator P00103 in NHS Digital's Compendium of population health indicators. Directly standardised rate, all ages, 3‑year average."
2,structure,a,QS74-2-structure-a,Evidence of local arrangements to ensure that CT head scans can be performed within 8 hours of head injury in people attending emergency departments who are taking anticoagulants but have no other risk factor for brain injury.,NA,NA,Local data source.
2,process,a,QS74-2-process-a,Proportion of emergency department attendances of people with a head injury who are taking anticoagulants but have no other risk factors for brain injury for which a CT head scan is performed within 8 hours of the injury.,The number in the denominator having a CT head scan within 8 hours of the injury.,The number of emergency department attendances of people with a head injury who are taking anticoagulants but have no other risk factors for brain injury.,Local data source.
2,outcome,a,QS74-2-outcome-a,Mortality from skull fracture and intracranial injury:,To be determined locally,To be determined locally,"Indicator P00103 in NHS Digital's Compendium of population health indicators. Directly standardised rate, all ages, 3‑year average."
3,structure,a,QS74-3-structure-a,Evidence of local arrangements to ensure that CT cervical spine scans can be performed within 1 hour of a risk factor for spinal injury being identified in people attending emergency departments with head injury.,NA,NA,Local data collection
3,process,a,QS74-3-process-a,Proportion of emergency department attendances of people with a head injury for which a CT cervical spine scan is performed within 1 hour of a risk factor for spinal injury being identified.,The number in the denominator having a CT cervical spine scan within 1 hour of a risk factor for spinal injury being identified.,The number of emergency department attendances of people with a head injury and a risk factor for spinal injury indicating the need for a cervical spine scan.,Local data collection.
4,structure,a,QS74-4-structure-a,Evidence of local arrangements to ensure provisional written radiology reports are available within 1 hour of CT head and cervical spine scans.,NA,NA,Local data collection.
4,process,a,QS74-4-process-a,Proportion of emergency department attendances for head injury for which a provisional written radiology report is available within 1 hour of any CT head or cervical spine scan.,The number in the denominator with a provisional written radiology report available within 1 hour.,The number of emergency department attendances for head injury having a CT head or cervical spine scan.,Local data collection.
5,structure,a,QS74-5-structure-a,"Evidence of locally agreed transfer protocols between the ambulance service, emergency department, district general hospital and designated neuroscience unit.",NA,NA,Local data collection.
5,process,a,QS74-5-process-a,Proportion of emergency department attendances of people with a head injury and a GCS score of 8 or lower at any time for which there is a documented record of ongoing liaison with or transfer to a neuroscience unit.,The number in the denominator for which there is a documented record of ongoing liaison with or transfer to a neuroscience unit.,The number of emergency department attendances of people with a head injury and GCS score of 8 or lower at any time.,Local data collection.
5,outcome,a,QS74-5-outcome-a,"Mortality from skull fracture and intracranial injury: directly standardised rate, all ages, 3‑year average.",To be determined locally,To be determined locally,Indicator P00103 in NHS Digital's Compendium of population health indicators.
6,structure,a,QS74-6-structure-a,"Evidence of local arrangements to ensure that inpatient rehabilitation assessments can be carried out for people who are in hospital with new cognitive, communicative, emotional, behavioural or physical difficulties continuing 72 hours after a traumatic brain injury have an assessment of inpatient rehabilitation needs.",NA,NA,Local data collection.
6,process,a,QS74-6-process-a,"Proportion of people in hospital with new cognitive, communicative, emotional, behavioural or physical difficulties continuing 72 hours after a traumatic brain injury who have an assessment for inpatient rehabilitation.",The number in the denominator who have an assessment for inpatient rehabilitation.,"The number of people who are in hospital with new cognitive, communicative, emotional, behavioural or physical difficulties continuing 72 hours after a traumatic brain injury.",Local data collection.
7,structure,a,QS74-7-structure-a,"Evidence of local arrangements to provide community‑based neuro‑rehabilitation services supplying a range of interventions to support people (aged 16 and over) with continuing cognitive, communicative, emotional, behavioural or physical difficulties as a result of a traumatic brain injury.",NA,NA,Local data source.
8,placeholder,NA,QS74-8-placeholder,NA,NA,NA,NA
