qs_id,statement_number,statement
QS22,1,"Pregnant women are supported to access antenatal care, ideally by 10 weeks 0 days."
QS22,2,Pregnant women are cared for by a named midwife throughout their pregnancy.
QS22,3,Pregnant women have a complete record of the minimum set of antenatal test results in their maternity notes.
QS22,4,Pregnant women with a body mass index of 30 kg/m2 or more at the booking appointment are offered personalised advice from an appropriately trained person on healthy eating and physical activity.
QS22,5,Pregnant women who smoke are referred for evidence-based stop-smoking support at the booking appointment.
QS22,6,Pregnant women are offered testing for gestational diabetes if they are identified as at risk of gestational diabetes at the booking appointment.
QS22,7,This statement has been removed. For more details see update information.
QS22,8,Pregnant women at risk of venous thromboembolism at the booking appointment are referred to an obstetrician for further management.
QS22,9,This statement has been merged with statement 8. For more details see update information.
QS22,10,Pregnant women are offered fetal anomaly screening in accordance with current UK National Screening Committee programmes.
QS22,11,Pregnant women with an uncomplicated singleton breech presentation at 36 weeks or later (until labour begins) who prefer cephalic vaginal birth are offered external cephalic version.
QS22,12,This statement has been moved to the NICE quality standard on inducing labour. For more details see update information.
